Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R15,R16,R17,R18,R19,R20,R21,R22,R23,QF,SF,Tot
"Bedford, Toby",On,-,-,-,-,-,-,-,,On,-,-,,-,-,-,-,-,,,,,,,2/0
"Bowey, Jake",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,-,,,
"Brayshaw, Angus",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Brown, Ben",-,-,,,,-,-,-,-,-,-,-,-,-,-,-,-,,,-,-,-,-,-,
"Brown, Mitch",,,,,,,,,,,,-,-,,-,,,,,,,,,,
"Chandler, Kade",,,,,,,On,,On,,,,On,,,,,,-,,,,,,3/0
"Dunstan, Luke",,,,,,-,-,,,-,On,,,,,,-,,,,,,,,1/0
"Fritsch, Bayley",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Gawn, Max",-,-,-,-,-,-,-,-,-,-,-,-,-,,,-,-,-,-,-,-,-,-,-,
"Harmes, James",-,-,-,-,-,-,-,-,Off,,,-,-,-,-,-,-,-,,-,-,-,-,-,0/1
"Hibberd, Michael",,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,
"Hunt, Jayden",-,-,-,-,-,-,-,-,-,-,-,-,,-,,-,,,-,-,-,-,-,-,
"Jackson, Luke",-,-,-,-,-,-,,-,-,-,-,-,-,-,,-,-,-,-,-,-,Off,-,-,0/1
"Jordon, James",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,On,,,1/0
"Langdon, Ed",-,-,-,-,-,-,-,-,-,Off,,-,-,-,-,-,-,-,-,-,-,-,-,-,0/1
"Lever, Jake",,,,-,-,,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,
"May, Steven",-,-,-,-,-,-,-,-,-,-,Off,,,-,-,-,-,-,-,-,-,-,-,-,0/1
"McDonald, Tom",-,-,-,-,-,,-,-,-,-,,,,,,,,,,,,,,,
"Melksham, Jake",,,,,,,-,,,-,-,,,,,,-,-,-,-,-,-,-,-,
"Neal-Bullen, Alex",-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Oliver, Clayton",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,
"Petracca, Christian",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Petty, Harry",,,,,-,-,,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,
"Pickett, Kysaiah",-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Rivers, Trent",,-,-,-,-,-,-,-,-,-,-,,,,,,-,-,-,-,-,-,-,-,
"Salem, Christian",Off,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,,-,-,0/1
"Smith, Joel",-,-,-,,,-,Off,,,,,,,,,,,,,,,,-,-,0/1
"Spargo, Charlie",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Sparrow, Tom",-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Tomlinson, Adam",-,-,-,-,,,,,,,,-,,,-,,-,-,,,,,,,
"Turner, Daniel",,,,,,,,,,,,,Off,,,,,,,,,,,,0/1
"Viney, Jack",-,-,-,-,-,,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Weideman, Sam",,,-,-,-,-,-,,,,-,,,-,-,,,-,-,,,,,,
Totals,,,,,,,,,,,,,,,,,,,,,,,,,
Opponent,WB,GC,ES,PA,GW,RI,HW,SK,WC,NM,FR,SY,CW,BL,AD,GE,PA,WB,FR,CW,CA,BL,SY,BL,
