Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R15,R16,R17,R18,R19,R20,R21,R22,R23,QF,SF,Tot
"Bedford, Toby",2,-,-,-,-,-,3,-,,-,1,-,,-,1,1,1,-,,,,,,,9.0
"Bowey, Jake",2,3,1,2,2,5,1,-,2,2,-,1,1,-,-,3,,,,,,-,,,25.0
"Brayshaw, Angus",1,-,1,2,-,2,-,1,3,2,2,3,1,2,2,4,-,2,1,1,1,3,1,1,36.0
"Brown, Ben",2,-,,,,4,2,3,2,1,7,1,2,2,4,2,3,,,4,5,1,-,-,45.0
"Brown, Mitch",,,,,,,,,,,,2,4,,1,,,,,,,,,,7.0
"Chandler, Kade",,,,,,,-,,-,,,,-,,,,,,-,,,,,,
"Dunstan, Luke",,,,,,1,1,,,1,1,,,,,,-,,,,,,,,4.0
"Fritsch, Bayley",-,3,3,1,-,1,2,1,-,-,1,1,1,5,-,4,-,2,1,-,2,1,-,2,31.0
"Gawn, Max",3,5,5,2,-,4,1,2,2,2,7,1,6,,,3,4,-,6,5,2,4,4,1,69.0
"Harmes, James",3,2,-,1,3,1,2,-,1,,,3,-,4,1,1,2,2,,-,-,1,2,4,33.0
"Hibberd, Michael",,,,,,,,,,,,,3,1,4,5,2,2,6,4,-,2,4,2,35.0
"Hunt, Jayden",2,1,-,6,2,4,4,-,2,3,3,1,,-,,-,,,1,2,4,1,3,2,41.0
"Jackson, Luke",1,4,-,4,1,3,,1,4,1,2,-,1,4,,3,1,1,-,2,-,1,3,1,38.0
"Jordon, James",-,2,1,2,2,-,-,-,-,-,-,3,-,-,-,-,4,-,1,-,-,-,,,15.0
"Langdon, Ed",2,-,2,2,-,1,3,-,-,-,,2,-,-,2,2,1,1,-,1,-,1,1,-,21.0
"Lever, Jake",,,,2,2,,3,5,7,6,8,8,4,8,5,1,2,,7,3,6,8,6,6,97.0
"May, Steven",12,6,9,4,8,2,9,6,7,4,2,,,6,7,3,9,5,12,6,6,5,8,4,140.0
"McDonald, Tom",4,2,1,2,-,,5,3,1,-,,,,,,,,,,,,,,,18.0
"Melksham, Jake",,,,,,,2,,,1,1,,,,,,-,1,1,-,1,-,1,-,8.0
"Neal-Bullen, Alex",2,2,-,-,2,2,,-,1,2,1,1,1,-,-,1,-,-,1,1,-,1,1,-,19.0
"Oliver, Clayton",2,-,2,3,1,2,1,2,-,1,1,3,1,2,3,2,,1,1,2,2,2,3,3,40.0
"Petracca, Christian",-,-,-,2,-,1,1,1,-,-,1,-,-,-,-,-,3,3,1,-,1,1,1,-,16.0
"Petty, Harry",,,,,6,5,,9,5,3,9,7,9,-,5,5,,9,6,6,9,7,7,7,114.0
"Pickett, Kysaiah",1,-,2,1,1,-,,3,1,1,-,3,-,2,3,1,1,-,1,1,1,-,1,-,24.0
"Rivers, Trent",,2,-,-,1,1,-,1,1,3,-,,,,,,2,3,2,-,8,2,3,3,32.0
"Salem, Christian",1,,,,,,,,,,,2,1,2,-,-,2,2,-,1,3,,4,-,18.0
"Smith, Joel",6,10,4,,,6,2,,,,,,,,,,,,,,,,-,-,28.0
"Spargo, Charlie",3,1,-,1,-,2,1,-,-,-,3,1,-,1,-,-,1,-,-,5,1,2,1,2,25.0
"Sparrow, Tom",-,1,1,3,1,4,,-,1,2,3,1,2,3,2,-,2,-,-,-,2,2,-,2,32.0
"Tomlinson, Adam",4,8,4,4,,,,,,,,6,,,-,,4,4,,,,,,,34.0
"Turner, Daniel",,,,,,,,,,,,,2,,,,,,,,,,,,2.0
"Viney, Jack",1,4,1,2,2,,4,2,3,,1,1,3,1,1,4,2,-,1,2,1,3,1,4,44.0
"Weideman, Sam",,,-,-,1,-,-,,,,4,,,2,6,,,2,1,,,,,,16.0
Totals,54,56,37,46,35,51,47,40,43,35,58,51,42,45,47,45,46,40,50,46,55,48,55,44,1116.0
Opponent,WB,GC,ES,PA,GW,RI,HW,SK,WC,NM,FR,SY,CW,BL,AD,GE,PA,WB,FR,CW,CA,BL,SY,BL,
