Player,R1,R2,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R19,R20,R21,R22,EF,SF,PF,Tot
"Anderson, Greg",3,2,2,1,1,-,-,-,-,-,-,1,-,,1,2,-,1,-,-,-,-,1,15.0
"Bickley, Mark",-,-,-,-,-,-,-,-,1,1,-,2,4,-,1,1,1,-,1,-,1,-,-,13.0
"Bone, Randall",,,,,,,,,,,-,2,1,4,-,,-,-,,-,2,-,,9.0
"Brown, David",1,1,2,1,-,-,,,,1,-,,,,,,1,1,1,1,-,-,2,12.0
"Groom, Chris",2,1,-,1,1,,,-,,,,,,,,-,,,,,,,,5.0
"Hart, Ben",-,-,-,-,-,-,-,-,-,-,1,-,-,1,-,-,-,-,-,,,,-,2.0
"Hodges, Scott",,,,1,-,1,,,4,2,,,2,6,-,-,,,,,,,1,17.0
"Ingerson, Anthony",,,,,,,,,,,,,,,,,-,,,,,,,
"Jameson, Rod",2,-,-,-,,2,-,-,-,-,1,-,-,-,-,-,,1,-,-,-,,,6.0
"Jarman, Andrew",1,1,-,-,1,-,1,-,-,1,2,,-,1,3,-,-,1,1,3,-,-,-,16.0
"Lee, Scott",-,-,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,2.0
"Liptak, Matthew",3,2,2,-,-,1,1,2,2,,,2,-,2,2,,1,1,-,2,3,1,1,28.0
"Maynard, Rodney",-,-,-,-,1,-,-,1,-,-,1,-,-,,,,,,-,,,-,-,3.0
"McDermott, Chris",-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,1.0
"McGuinness, Tony",1,1,2,-,-,-,2,1,-,-,-,-,-,1,-,1,-,-,1,2,-,-,-,12.0
"Mickan, Mark",,,,,,,-,-,,,,,,,,,,,,,,,,
"Modra, Tony",10,6,6,5,7,5,10,3,7,7,2,1,5,7,13,4,7,4,5,5,2,2,6,129.0
"Patterson, Paul",,,,,,,,-,-,,,,,,,,,,,,,,,
"Pittman, David",1,-,-,-,-,-,,,,-,,,,-,-,-,-,-,-,-,-,-,-,1.0
"Powell, Matthew",,,,,,,,,,,,1,,,,-,,,,,,,,1.0
"Rehn, Shaun",-,,,,,,-,-,-,,1,-,-,-,1,1,1,-,1,-,-,1,-,6.0
"Ricciuto, Mark",,,,,1,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,2.0
"Robran, Matthew",,,,-,-,-,4,,1,-,2,-,-,,,,,,,,,,,7.0
"Ross, Jonathan",,-,,,,,,,,,,,,,,,,,,,,,,
"Rouvray, Paul",-,-,-,-,-,,-,,,-,-,-,,,,,,,,,,,,
"Rowe, Stephen",4,-,-,-,,,1,2,3,1,1,1,3,-,1,-,,,-,,,,,17.0
"Sanderson, Brenton",,,,,,,,,,,,,,,,,1,-,,,,,,1.0
"Schwerdt, Stephen",,,,,,,,,,,,,,-,-,,-,,,,,,,
"Smart, Nigel",-,1,-,,-,-,-,1,-,2,-,5,-,-,3,1,-,1,-,3,4,-,2,23.0
"Tasker, Sean",,,-,,,-,,,,,,,,,,,,,,-,-,2,,2.0
"Tregenza, Simon",-,-,1,-,-,1,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,4.0
"Viska, Mark",,,,,,,,,-,-,-,-,1,-,,-,-,-,,-,-,-,-,1.0
"Weidemann, Wayne",-,-,-,-,-,-,-,-,,,,,,-,1,-,,3,1,1,1,-,-,7.0
"Wigney, Stuart",,,,,,,,,,,,,,,,,,,2,2,3,2,1,10.0
Totals,28,15,15,9,12,11,19,10,18,15,11,16,18,23,26,10,13,13,13,19,16,8,14,352.0
Opponent,RI,WC,FI,ME,HW,CW,NM,ES,BB,FO,CA,GE,SY,SK,RI,WC,FI,ME,HW,CW,HW,CA,ES,
