Player,R1,R2,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R19,R20,R21,R22,EF,SF,PF,Tot
"Anderson, Greg",1,-,5,2,2,-,3,2,2,1,-,2,-,,1,-,4,2,5,-,3,-,1,36.0
"Bickley, Mark",3,3,2,-,4,3,5,2,-,2,1,7,-,1,3,4,3,6,1,4,4,2,3,63.0
"Bone, Randall",,,,,,,,,,,1,2,1,3,1,,1,1,,1,-,-,,11.0
"Brown, David",2,6,1,5,1,1,,,,6,1,,,,,,1,2,-,3,-,-,2,31.0
"Groom, Chris",-,-,-,3,1,,,-,,,,,,,,-,,,,,,,,4.0
"Hart, Ben",3,3,1,1,2,2,2,2,2,-,-,2,1,1,1,1,3,3,1,,,,-,31.0
"Hodges, Scott",,,,-,2,2,,,-,1,,,1,2,1,-,,,,,,,-,9.0
"Ingerson, Anthony",,,,,,,,,,,,,,,,,2,,,,,,,2.0
"Jameson, Rod",2,1,2,4,,2,1,1,-,1,-,1,-,1,3,1,,3,3,2,2,,,30.0
"Jarman, Andrew",2,1,3,3,3,5,1,4,2,3,2,,3,2,1,1,3,2,1,2,2,-,4,50.0
"Lee, Scott",1,1,1,3,2,3,4,-,2,2,2,1,1,5,-,2,3,2,1,4,1,-,-,41.0
"Liptak, Matthew",1,-,1,1,2,1,3,3,-,,,1,2,2,3,,2,4,-,2,1,-,-,29.0
"Maynard, Rodney",5,4,2,4,-,-,1,2,3,-,2,1,-,,,,,,1,,,2,2,29.0
"McDermott, Chris",4,5,3,3,2,-,8,2,2,5,1,4,3,6,3,1,2,3,2,8,1,2,1,71.0
"McGuinness, Tony",1,1,2,7,6,-,3,2,-,3,2,2,4,2,3,2,1,-,-,1,-,2,3,47.0
"Mickan, Mark",,,,,,,1,-,,,,,,,,,,,,,,,,1.0
"Modra, Tony",1,-,-,-,1,-,1,-,-,-,-,-,-,2,-,1,-,-,1,-,-,1,-,8.0
"Patterson, Paul",,,,,,,,-,1,,,,,,,,,,,,,,,1.0
"Pittman, David",-,1,2,3,-,-,,,,-,,,,-,1,2,2,-,2,1,-,1,2,17.0
"Powell, Matthew",,,,,,,,,,,,-,,,,-,,,,,,,,
"Rehn, Shaun",-,,,,,,1,3,-,,2,2,1,-,1,-,-,2,-,-,1,1,5,19.0
"Ricciuto, Mark",,,,,3,1,2,4,-,-,3,5,1,1,1,2,1,1,-,3,1,1,3,33.0
"Robran, Matthew",,,,2,1,2,1,,-,2,-,1,-,,,,,,,,,,,9.0
"Ross, Jonathan",,-,,,,,,,,,,,,,,,,,,,,,,
"Rouvray, Paul",2,1,3,1,1,,5,,,3,1,1,,,,,,,,,,,,18.0
"Rowe, Stephen",-,-,3,3,,,-,1,1,3,-,7,3,4,1,1,,,3,,,,,30.0
"Sanderson, Brenton",,,,,,,,,,,,,,,,,1,1,,,,,,2.0
"Schwerdt, Stephen",,,,,,,,,,,,,,3,3,,1,,,,,,,7.0
"Smart, Nigel",1,1,-,,-,1,4,3,1,1,1,6,2,3,3,-,1,2,1,3,1,1,2,38.0
"Tasker, Sean",,,1,,,1,,,,,,,,,,,,,,1,2,-,,5.0
"Tregenza, Simon",1,-,1,1,1,-,-,1,1,-,1,2,-,-,-,3,2,1,2,1,4,3,3,28.0
"Viska, Mark",,,,,,,,,1,3,-,1,-,1,,-,2,1,,1,3,-,3,16.0
"Weidemann, Wayne",5,4,4,2,1,-,1,5,,,,,,1,1,2,,2,1,5,3,1,6,44.0
"Wigney, Stuart",,,,,,,,,,,,,,,,,,,1,-,1,-,-,2.0
Totals,35,32,37,48,35,24,47,37,18,36,20,48,23,40,31,23,35,38,26,42,30,17,40,762.0
Opponent,RI,WC,FI,ME,HW,CW,NM,ES,BB,FO,CA,GE,SY,SK,RI,WC,FI,ME,HW,CW,HW,CA,ES,
