Player,R1,R2,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R19,R20,R21,R22,EF,SF,PF,Tot
"Anderson, Greg",21,17,15,22,18,12,13,16,20,18,16,17,9,,26,24,15,21,19,18,23,18,11,389.0
"Bickley, Mark",7,8,13,6,7,18,9,13,14,23,13,14,16,16,29,12,13,9,13,11,16,9,8,297.0
"Bone, Randall",,,,,,,,,,,6,10,5,12,7,,5,7,,3,5,1,,61.0
"Brown, David",4,10,10,9,13,5,,,,11,2,,,,,,14,17,3,15,3,10,10,136.0
"Groom, Chris",7,9,5,10,8,,,-,,,,,,,,-,,,,,,,,39.0
"Hart, Ben",4,5,9,8,8,12,7,5,6,5,8,8,10,8,10,2,8,4,1,,,,6,134.0
"Hodges, Scott",,,,5,7,2,,,6,2,,,11,13,1,2,,,,,,,3,52.0
"Ingerson, Anthony",,,,,,,,,,,,,,,,,6,,,,,,,6.0
"Jameson, Rod",13,3,5,11,,9,6,10,14,5,10,5,9,13,10,5,,10,6,5,7,,,156.0
"Jarman, Andrew",10,9,11,7,10,14,7,9,15,2,8,,7,14,14,8,4,4,12,11,14,16,10,216.0
"Lee, Scott",11,6,13,11,17,11,12,18,14,12,12,13,17,8,22,10,13,13,16,13,11,2,3,278.0
"Liptak, Matthew",13,15,8,7,8,11,9,9,8,,,5,8,19,15,,9,9,4,17,14,9,11,208.0
"Maynard, Rodney",19,13,7,17,6,10,9,13,4,8,11,11,-,,,,,,4,,,10,5,147.0
"McDermott, Chris",10,14,12,13,10,12,19,17,12,9,8,13,14,7,6,6,7,12,17,7,15,19,15,274.0
"McGuinness, Tony",16,19,21,19,12,20,22,29,22,22,14,23,19,16,24,30,13,26,21,24,26,20,19,477.0
"Mickan, Mark",,,,,,,5,8,,,,,,,,,,,,,,,,13.0
"Modra, Tony",16,10,10,8,11,7,13,3,12,13,5,11,9,13,23,8,12,15,8,9,6,7,11,240.0
"Patterson, Paul",,,,,,,,5,3,,,,,,,,,,,,,,,8.0
"Pittman, David",7,6,3,2,3,-,,,,1,,,,-,4,2,2,5,2,2,2,6,4,51.0
"Powell, Matthew",,,,,,,,,,,,3,,,,5,,,,,,,,8.0
"Rehn, Shaun",5,,,,,,4,2,5,,6,6,5,10,6,6,2,8,13,6,5,5,10,104.0
"Ricciuto, Mark",,,,,9,10,6,13,10,8,15,20,12,15,19,14,14,13,8,12,6,17,17,238.0
"Robran, Matthew",,,,3,3,15,8,,8,12,7,2,8,,,,,,,,,,,66.0
"Ross, Jonathan",,-,,,,,,,,,,,,,,,,,,,,,,
"Rouvray, Paul",6,8,6,12,2,,7,,,5,12,5,,,,,,,,,,,,63.0
"Rowe, Stephen",10,3,4,7,,,5,14,10,5,4,5,10,5,9,5,,,6,,,,,102.0
"Sanderson, Brenton",,,,,,,,,,,,,,,,,7,4,,,,,,11.0
"Schwerdt, Stephen",,,,,,,,,,,,,,17,12,,4,,,,,,,33.0
"Smart, Nigel",4,12,1,,5,6,5,10,9,18,12,17,13,8,12,13,7,11,12,12,15,5,13,220.0
"Tasker, Sean",,,3,,,-,,,,,,,,,,,,,,2,4,6,,15.0
"Tregenza, Simon",11,18,24,10,14,17,23,21,17,19,6,14,15,13,16,17,15,20,13,23,12,17,14,369.0
"Viska, Mark",,,,,,,,,7,8,8,10,8,9,,6,8,5,,7,5,5,7,93.0
"Weidemann, Wayne",6,4,7,12,10,5,1,7,,,,,,2,2,3,,8,12,16,9,7,10,121.0
"Wigney, Stuart",,,,,,,,,,,,,,,,,,,8,6,8,7,3,32.0
Totals,200,189,187,199,181,196,190,222,216,206,183,212,205,218,267,178,178,221,198,219,206,196,190,4657.0
Opponent,RI,WC,FI,ME,HW,CW,NM,ES,BB,FO,CA,GE,SY,SK,RI,WC,FI,ME,HW,CW,HW,CA,ES,
