Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,QF,SF,PF,GF,Tot
"Baker, Phil",,,2,4,4,2,,1,,,,,,,,,,,,,,,,,,,13.0
"Blight, Malcolm",-,,2,2,4,5,6,9,3,,-,6,10,,,,,4,5,-,,,2,1,2,2,63.0
"Briedis, Arnold",1,2,1,,,,,,,,,,,,5,7,3,8,,,3,5,6,4,4,1,50.0
"Burns, John",4,3,4,1,2,8,5,1,3,,-,4,2,4,6,8,5,9,,8,3,7,4,9,6,4,110.0
"Byrne, John",,,,,,,,,,5,-,,,,-,,,2,-,-,,,,,,,7.0
"Cable, Barry",4,3,10,9,4,4,,,3,6,-,8,11,4,5,14,3,7,10,6,3,8,9,9,12,10,162.0
"Chisnall, Peter",,,,,2,8,7,1,-,5,-,3,4,-,4,3,2,1,2,1,2,,4,4,3,6,62.0
"Cowton, Gary",6,,5,5,1,9,5,2,4,6,-,4,6,,,,,,,,,,2,3,11,2,71.0
"Crosswell, Brent",,,,,,,6,1,9,10,-,2,,8,6,7,5,6,14,,3,3,5,4,3,6,98.0
"Davis, Barry",2,3,3,2,6,6,2,5,3,6,-,-,7,9,3,7,5,9,3,6,1,1,9,1,5,2,106.0
"Dawson, Mark",,2,,,,,,,,1,,,,2,,,,,2,6,1,1,,,,,15.0
"Dench, David",2,2,4,3,6,13,3,6,5,-,,,7,7,3,5,4,4,4,1,5,1,3,5,7,5,105.0
"Douglas, John",,,,,,,,,,,-,,5,-,,,,,,,,,,,,,5.0
"Farrant, Garry",4,1,1,3,,,,,,,,,,,,,,,,,,,,,1,3,13.0
"Feltham, Paul",5,3,2,-,5,15,4,3,2,8,-,3,,,,,,,,,,7,2,2,4,7,72.0
"Goodingham, Barry",,1,1,4,-,-,,-,,,-,-,6,,,,,,,,,,-,-,-,1,13.0
"Greig, Keith",3,8,9,2,5,6,5,2,1,5,-,5,6,,6,5,6,14,4,5,7,4,9,7,10,5,139.0
"Gumbleton, Frank",,2,2,2,11,,-,5,5,1,-,4,2,3,3,5,4,4,4,4,5,5,3,3,3,4,84.0
"Henshaw, Ross",,-,,,,-,3,1,3,4,-,-,-,5,4,2,5,1,3,6,1,1,4,5,4,3,55.0
"Icke, Stephen",,,,-,,,,,,,,,1,-,,3,3,,,7,4,,,,1,,19.0
"Kekovich, Sam",,,,2,6,1,1,-,,,-,1,3,-,5,-,3,4,4,,4,6,5,5,8,6,64.0
"Melrose, Graeme",4,4,8,4,6,3,2,1,3,1,-,2,3,3,4,2,3,5,5,4,-,2,5,2,,,76.0
"Michalczyk, Dick",6,4,2,,,,,,,,,2,2,2,5,4,7,6,2,4,3,3,3,,,,55.0
"Montgomery, Ken",6,8,7,3,10,11,10,7,4,7,,7,,,,,,,,7,,,,,,,87.0
"Moylan, John",3,,,,,,,,,,,,,,,4,7,,,,,,,,,,14.0
"Muir, Russell",,,,7,3,-,,4,-,8,-,5,-,4,-,,,,,,,,,,,,31.0
"Munari, Dennis",,,,,,,,,,,,,,-,,,,,-,-,-,,,,,,
"Nolan, Mick",3,2,7,1,9,2,4,4,4,6,-,5,6,7,5,11,3,7,4,6,4,3,2,3,3,3,114.0
"Rantall, John",-,3,5,,-,5,2,2,3,6,-,4,4,3,3,,3,2,4,7,3,1,2,5,3,4,74.0
"Ryan, Phil",1,,,,,,,,-,1,,,,-,3,1,1,-,-,1,3,3,,,,,14.0
"Schimmelbusch, Wayne",4,5,6,3,6,4,4,4,2,5,-,3,5,6,2,-,8,6,6,6,3,8,4,1,9,3,113.0
"Smith, Brad",3,9,,,,5,6,,,,,,,,,,,,,,,,,,,,23.0
"Smith, Rob",,,,,,,,,,,,,,,1,2,,,,,,-,,,,,3.0
"Wade, Doug",2,-,2,1,2,,1,,1,2,,,,,,3,6,2,2,,,4,,-,,3,31.0
"Zantuck, Shane",,,,,,,5,,,,,,,,,,,,,,,,,,,,5.0
Totals,63,65,83,58,92,107,81,59,58,93,0,68,90,67,73,93,86,101,78,85,58,73,83,73,99,80,1966.0
Opponent,HW,ME,CA,FI,GE,FO,CW,RI,ES,SK,SM,HW,ME,FI,CA,GE,FO,CW,RI,ES,SK,SM,CA,HW,RI,HW,
