Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,EF,SF,PF,GF,Tot
"Andrews, Ron",4,6,3,2,5,2,4,-,,5,5,2,1,2,4,1,,-,1,5,2,,,1,,,55.0
"Beddison, Wayne",1,1,-,1,1,,,,-,-,,-,1,,,,,2,,,,,,,,,7.0
"Bradbury, Peter",,,,,,,,,,,,,5,1,2,,3,1,4,,1,5,2,3,1,3,31.0
"Buhagiar, Tony",,,2,2,1,3,1,2,2,2,3,1,2,4,4,5,2,4,3,1,2,2,-,3,1,4,56.0
"Carey, Stephen",1,-,1,3,2,4,2,-,2,3,1,1,,3,7,2,1,,-,-,2,-,1,-,4,3,43.0
"Clarke, Neil",-,-,3,-,2,-,1,3,-,3,-,1,1,5,1,2,-,6,2,2,3,2,,,,,37.0
"Clayton, Cameron",-,,-,,,,-,1,1,2,1,,,,,,-,6,1,3,-,1,1,-,-,1,18.0
"Copping, Stephen",-,3,-,-,-,3,-,3,3,,1,2,3,-,1,1,2,,,1,,,,,,-,23.0
"Daniher, Terry",1,2,2,-,3,2,4,2,2,1,3,2,4,3,3,2,5,-,2,1,3,2,2,-,1,1,53.0
"Davis, Michael",,,2,,-,,,,,,,,,,,,,,,,,,,,,,2.0
"Duckworth, Bill",-,,,,,,,,,,,,,,,3,1,6,1,-,4,1,1,2,6,,25.0
"Dunell, Frank",,,,3,1,2,2,1,1,-,-,2,1,,,-,,4,3,2,-,,,-,-,,22.0
"Eustice, Mark",,,,-,,,,,,,,,,,,,,,,,,,,,,,
"Ezard, Alan",,,,,,,,,,,,,,,,,,,1,-,1,-,1,1,1,-,5.0
"Foulds, Garry",,,2,2,1,-,-,3,2,2,2,2,-,4,2,2,-,3,3,,,1,1,2,2,2,38.0
"Fowler, Grant",-,,,1,-,-,2,4,2,,,,,,,,,,,,,,,,,,9.0
"Hawker, Glenn",2,-,1,1,1,3,2,1,-,6,2,-,3,-,1,4,-,-,,1,1,3,1,1,4,1,39.0
"Heard, Shane",1,8,2,,,3,,,,1,3,3,-,1,-,3,2,,,,1,1,1,2,-,1,33.0
"Kink, Rene",,,,,,,,,,,,,,,,,,2,1,-,-,-,-,-,2,-,5.0
"Madden, Simon",2,7,2,4,2,2,5,4,6,3,7,3,3,4,1,1,2,5,1,2,3,3,5,3,2,3,85.0
"Merrett, Roger",4,7,-,3,,2,2,2,1,1,4,,,2,,,6,-,2,3,-,4,2,4,4,-,53.0
"Neagle, Merv",-,2,2,3,,1,1,1,,-,3,7,2,3,1,-,3,1,,-,2,2,2,4,2,1,43.0
"Otway, Wayne",1,3,-,,,,3,-,1,4,1,2,-,1,1,2,,2,,,,,,,,,21.0
"Reid, Alan",,1,,,,,,,,,,,,,,,,,,,,,,,,,1.0
"Richardson, Stephen",,,,,,,,,,,,,,,,,,,,1,,,,,,,1.0
"Salmon, Paul",2,5,-,,-,,,3,2,,,-,1,,,,,,-,,,,,,,,13.0
"Schultz, Graeme",,-,,,,,,,,,,,,,,,,,,,,,,,,,
"Stoneham, Alan",,2,,1,,,,3,2,-,,1,-,2,2,-,,,,,,,,,,,13.0
"Thompson, Mark",2,3,,,,,,,,,,,,,,,,,,,,,,,,,5.0
"Thomson, Michael",,,-,-,2,1,3,3,-,1,1,-,3,-,-,,,,,,,,,,,,14.0
"Vander Haar, Paul",2,,,,-,2,1,,1,3,2,,,1,3,-,1,,,,,,3,-,-,2,21.0
"Walsh, Kevin",,-,,3,1,1,1,,,,,,,,3,3,2,,,,,2,1,,2,-,19.0
"Waterson, Chris",,,,,,,,,,,2,-,3,1,,,1,4,1,,,,,,,,12.0
"Watson, Tim",2,3,-,1,-,2,4,-,1,3,1,1,2,3,2,2,1,2,4,6,1,1,-,4,3,2,51.0
"West, Tony",2,,,,3,2,,,,,,,,,4,-,,,,,,,,,,,11.0
"Weston, Paul",,3,2,1,-,1,1,3,1,1,-,2,-,2,1,3,4,-,1,-,5,2,2,4,-,1,40.0
"Williams, Darren",,,,,,,,,,,,,,,,,-,-,4,1,1,1,2,3,4,1,17.0
"Wood, Bryan",,,,,,,,,,,,,,,,,,,-,2,5,1,-,,,-,8.0
Totals,27,56,24,31,25,36,39,39,30,41,42,32,35,42,43,36,36,48,35,31,37,34,28,37,39,26,929.0
Opponent,SY,SK,FI,CW,NM,FO,RI,HW,ME,GE,CA,SY,SK,FI,CW,NM,FO,RI,HW,ME,GE,CA,CA,FI,NM,HW,
