Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R15,R16,R17,R18,R19,R20,R21,R22,R23,EF,SF,PF,GF,Tot
"Bonar, Aiden",,,,,,,,,,,,,,,,,,,-,-,,,,,,,
"Buntine, Matt",,-,-,-,-,-,-,-,,,,,-,,,-,,,,,,,,,,,
"Caldwell, Jye",,,,,,,,,,,,,,,,,,,,-,-,,,,,,
"Cameron, Jeremy",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,,-,-,-,-,-,
"Coniglio, Stephen",-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,,,,,,,,,,
"Corr, Aidan",,,,,,-,-,,,,,,,,,,,,,,-,-,-,-,-,-,
"Cumming, Isaac",,,,,,,-,,,-,-,-,,,,,,,,,,-,,,,,
"Daniels, Brent",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Davis, Phil",-,-,-,-,-,,,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,
"Deledio, Brett",-,-,,,,,,,-,-,-,-,-,-,-,-,-,,-,-,,,-,,,,
"Finlayson, Jeremy",-,-,-,-,-,-,-,-,-,-,-,-,-,1,3,,-,-,-,,,-,5,1,-,1,11.0
"Greene, Toby",-,,,,,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,,-,-,,-,
"Hately, Jackson",,,,,-,,-,,,,,,,-,-,,,-,-,-,,,,,,,
"Haynes, Nick",,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,
"Hill, Bobby",,,,,,,,,,,,,,,,-,-,-,-,-,-,-,,,-,,
"Himmelberg, Harry",-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,,-,-,-,-,1,2,4.0
"Hopper, Jacob",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,-,-,-,-,
"Idun, Connor",,,,,,,,,,,,,,,,,,,-,,,,,,,,
"Keeffe, Lachlan",-,-,,,,,,,,,-,,,,,,-,-,4,-,5,6,,,-,,15.0
"Kelly, Josh",,,-,-,-,-,,-,-,-,-,-,-,-,-,,,,,,-,-,-,-,-,-,
"Kennedy, Adam",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,-,-,-,-,-,-,-,
"Langdon, Zac",,,,,,,,-,,,,,,-,-,,,,,,,,,,,,
"Lloyd, Daniel",-,-,-,-,-,-,-,-,-,,,-,,,,-,-,-,,,,-,-,-,-,-,
"Mumford, Shane",,,31,40,42,48,49,,31,25,34,35,53,35,,,11,6,54,14,,17,39,25,14,15,618.0
"Perryman, Harry",-,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Reid, Sam",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Shaw, Heath",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Sheridan, Tom",,,-,,,,,,,,,,,,,,,,,,,,,,,,
"Simpson, Dawson",32,33,,,,,,21,,,,,,,44,41,27,21,,29,56,,,,,,304.0
"Sproule, Zach",,,,,,,,,,,,,,,,,,,,,-,,,,,,
"Stein, Jake",,,,,,,,,,,,,-,,,,-,,-,-,-,,,,,,
"Taranto, Tim",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Taylor, Sam",-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,,,-,-,-,-,-,
"Tomlinson, Adam",4,2,5,6,6,7,1,4,1,3,2,5,2,4,1,4,-,-,-,-,-,-,,-,1,-,58.0
"Ward, Callan",,,,-,,,,,,,,,,,,,,,,,,,,,,,
"Whitfield, Lachie",-,-,-,-,-,-,,,-,-,-,,,,,-,-,-,-,-,-,-,-,-,,-,
"Williams, Zac",-,-,-,-,-,-,-,-,-,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"de Boer, Matt",-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,-,-,1,-,-,-,1.0
Totals,36,35,36,46,48,55,50,25,32,28,36,40,55,41,48,45,38,27,58,43,61,23,45,26,16,18,1011.0
Opponent,ES,WC,RI,GE,FR,SY,SK,HW,CA,ME,GC,AD,NM,ES,BL,RI,CW,PA,SY,HW,WB,GC,WB,BL,CW,RI,
