Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R15,R16,R17,R18,R19,R20,R21,R22,R23,EF,SF,PF,GF,Tot
"Bonar, Aiden",,,,,,,,,,,,,,,,,,,12,7,,,,,,,19.0
"Buntine, Matt",,16,9,11,10,16,13,11,,,,,14,,,6,,,,,,,,,,,106.0
"Caldwell, Jye",,,,,,,,,,,,,,,,,,,,13,10,,,,,,23.0
"Cameron, Jeremy",13,12,30,15,11,21,15,11,27,15,20,13,9,13,14,19,20,15,,7,,19,25,16,12,13,385.0
"Coniglio, Stephen",31,20,32,34,37,24,22,26,,16,36,27,27,33,34,-,,,,,,,,,,,399.0
"Corr, Aidan",,,,,,11,6,,,,,,,,,,,,,,12,11,12,13,19,18,102.0
"Cumming, Isaac",,,,,,,10,,,6,15,9,,,,,,,,,,20,,,,,60.0
"Daniels, Brent",17,13,16,12,18,12,16,8,12,11,20,9,16,14,12,22,16,16,12,14,16,19,21,9,14,15,380.0
"Davis, Phil",12,7,15,15,15,,,11,21,12,18,15,14,15,19,8,,17,8,16,20,17,8,14,4,15,316.0
"Deledio, Brett",14,14,,,,,,,19,18,19,17,19,22,26,16,17,,23,9,,,11,,,,244.0
"Finlayson, Jeremy",9,19,15,12,10,14,8,17,12,16,23,10,10,15,5,,11,14,13,,,10,18,12,12,1,286.0
"Greene, Toby",14,,,,,18,19,13,34,19,12,,20,19,16,34,27,30,34,38,24,,20,30,,23,444.0
"Hately, Jackson",,,,,22,,21,,,,,,,13,15,,,15,15,11,,,,,,,112.0
"Haynes, Nick",,16,20,17,18,21,26,11,19,20,13,19,,13,14,20,13,21,18,21,26,,18,14,30,24,432.0
"Hill, Bobby",,,,,,,,,,,,,,,,15,11,9,11,6,8,11,,,7,,78.0
"Himmelberg, Harry",14,15,19,11,9,10,13,11,11,18,9,11,13,14,14,12,12,15,10,,9,8,12,7,8,12,297.0
"Hopper, Jacob",28,21,29,31,19,33,23,21,21,23,31,22,29,28,28,33,26,31,26,,,,30,25,22,19,599.0
"Idun, Connor",,,,,,,,,,,,,,,,,,,8,,,,,,,,8.0
"Keeffe, Lachlan",8,10,,,,,,,,,13,,,,,,10,9,4,9,3,8,,,7,,81.0
"Kelly, Josh",,,22,32,29,31,,26,35,31,36,34,35,28,26,,,,,,25,27,22,26,27,15,507.0
"Kennedy, Adam",16,23,19,16,20,17,10,15,17,13,18,15,10,18,22,15,,,,15,18,18,16,14,13,11,369.0
"Langdon, Zac",,,,,,,,10,,,,,,9,7,,,,,,,,,,,,26.0
"Lloyd, Daniel",13,10,13,14,8,12,13,7,14,,,14,,,,15,16,15,,,,12,9,9,19,15,228.0
"Mumford, Shane",,,14,13,7,14,10,,7,7,6,9,10,9,,,9,5,13,10,,11,9,9,8,10,190.0
"Perryman, Harry",6,,,,,,,,24,18,16,21,20,13,20,27,17,15,17,26,15,18,19,13,23,21,349.0
"Reid, Sam",15,14,9,15,24,10,24,15,21,15,17,18,12,11,13,7,17,24,25,12,14,14,13,11,8,12,390.0
"Shaw, Heath",19,15,17,15,12,25,18,30,31,27,21,27,18,14,13,15,26,19,19,23,20,23,25,6,16,29,523.0
"Sheridan, Tom",,,1,,,,,,,,,,,,,,,,,,,,,,,,1.0
"Simpson, Dawson",8,8,,,,,,6,,,,,,,11,12,5,4,,11,5,,,,,,70.0
"Sproule, Zach",,,,,,,,,,,,,,,,,,,,,5,,,,,,5.0
"Stein, Jake",,,,,,,,,,,,,9,,,,6,,8,7,9,,,,,,39.0
"Taranto, Tim",30,19,30,28,22,30,28,24,38,32,24,36,30,19,22,36,32,31,25,25,28,31,28,17,26,30,721.0
"Taylor, Sam",17,5,11,10,10,6,12,8,11,13,,9,8,6,13,9,17,8,,,,14,11,10,14,14,236.0
"Tomlinson, Adam",23,19,16,21,16,20,15,16,24,18,14,14,12,17,16,22,19,13,19,13,17,22,,7,15,17,425.0
"Ward, Callan",,,,1,,,,,,,,,,,,,,,,,,,,,,,1.0
"Whitfield, Lachie",30,33,42,31,25,8,,,40,29,17,,,,,33,29,27,26,29,30,27,30,13,,14,513.0
"Williams, Zac",18,25,25,16,27,30,30,22,12,,,20,28,29,28,20,26,23,32,26,27,21,20,17,25,21,568.0
"de Boer, Matt",16,20,21,15,16,22,17,14,27,12,18,16,11,,,,,,,,17,19,18,18,9,12,318.0
Totals,371,354,425,385,385,405,369,333,477,389,416,385,374,372,388,396,382,376,378,348,358,380,395,310,338,361,9850.0
Opponent,ES,WC,RI,GE,FR,SY,SK,HW,CA,ME,GC,AD,NM,ES,BL,RI,CW,PA,SY,HW,WB,GC,WB,BL,CW,RI,
