Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R15,R16,R17,R18,R19,R20,R21,R22,R23,EF,SF,PF,GF,Tot
"Bonar, Aiden",,,,,,,,,,,,,,,,,,,5,3,,,,,,,8.0
"Buntine, Matt",,6,7,3,4,7,4,1,,,,,3,,,3,,,,,,,,,,,38.0
"Caldwell, Jye",,,,,,,,,,,,,,,,,,,,6,4,,,,,,10.0
"Cameron, Jeremy",3,3,12,4,1,8,1,2,11,3,8,3,5,2,1,6,6,5,,3,,3,8,3,2,2,105.0
"Coniglio, Stephen",7,11,15,17,17,6,6,9,,6,7,10,10,14,15,-,,,,,,,,,,,150.0
"Corr, Aidan",,,,,,2,3,,,,,,,,,,,,,,4,2,3,1,7,3,25.0
"Cumming, Isaac",,,,,,,4,,,4,4,6,,,,,,,,,,7,,,,,25.0
"Daniels, Brent",8,6,9,5,7,7,8,3,6,5,10,6,8,3,5,9,10,6,4,8,10,8,9,6,8,6,180.0
"Davis, Phil",5,2,4,8,8,,,3,4,8,3,4,5,6,6,4,,6,3,8,11,9,1,7,1,4,120.0
"Deledio, Brett",8,4,,,,,,,9,6,12,9,6,9,11,8,13,,11,3,,,6,,,,115.0
"Finlayson, Jeremy",1,3,3,1,2,5,1,3,3,4,5,6,5,4,3,,1,5,2,,,2,5,3,2,-,69.0
"Greene, Toby",2,,,,,5,7,3,13,6,6,,7,11,6,12,12,11,12,13,9,,6,11,,9,161.0
"Hately, Jackson",,,,,13,,10,,,,,,,5,9,,,6,7,2,,,,,,,52.0
"Haynes, Nick",,2,6,5,10,6,5,3,4,5,3,5,,3,5,5,4,5,4,3,7,,8,4,9,3,114.0
"Hill, Bobby",,,,,,,,,,,,,,,,5,6,6,4,1,2,3,,,2,,29.0
"Himmelberg, Harry",7,7,10,6,4,4,6,2,3,6,2,5,5,3,9,7,2,8,7,,2,4,6,6,4,3,128.0
"Hopper, Jacob",11,9,18,16,12,10,8,12,14,14,12,9,14,18,12,16,15,18,10,,,,17,14,9,8,296.0
"Idun, Connor",,,,,,,,,,,,,,,,,,,3,,,,,,,,3.0
"Keeffe, Lachlan",3,5,,,,,,,,,5,,,,,,2,2,-,3,1,6,,,1,,28.0
"Kelly, Josh",,,11,18,14,12,,10,16,15,15,16,13,10,14,,,,,,14,8,9,9,7,9,220.0
"Kennedy, Adam",4,6,6,5,7,4,5,6,5,4,7,5,5,9,12,6,,,,4,8,6,5,3,3,6,131.0
"Langdon, Zac",,,,,,,,4,,,,,,4,2,,,,,,,,,,,,10.0
"Lloyd, Daniel",7,8,5,6,2,2,5,2,6,,,4,,,,6,8,7,,,,7,3,4,7,9,98.0
"Mumford, Shane",,,14,7,5,10,6,,6,5,4,8,8,7,,,5,3,8,6,,7,8,4,3,8,132.0
"Perryman, Harry",1,,,,,,,,12,6,7,5,11,4,9,12,9,2,3,9,7,5,10,3,9,11,135.0
"Reid, Sam",10,4,3,7,11,7,7,7,8,5,6,7,6,4,9,4,5,12,9,4,5,2,8,5,3,7,165.0
"Shaw, Heath",3,2,-,4,3,6,2,6,11,3,4,5,5,5,2,2,3,5,1,3,7,2,4,1,4,10,103.0
"Sheridan, Tom",,,1,,,,,,,,,,,,,,,,,,,,,,,,1.0
"Simpson, Dawson",4,6,,,,,,5,,,,,,,9,8,2,3,,5,5,,,,,,47.0
"Sproule, Zach",,,,,,,,,,,,,,,,,,,,,1,,,,,,1.0
"Stein, Jake",,,,,,,,,,,,,5,,,,1,,4,1,2,,,,,,13.0
"Taranto, Tim",9,7,13,13,11,9,9,13,12,18,10,18,9,5,5,17,16,13,12,5,15,17,9,6,3,16,290.0
"Taylor, Sam",12,3,8,4,2,4,8,4,6,7,,6,3,4,4,6,5,3,,,,9,4,5,6,8,121.0
"Tomlinson, Adam",7,6,3,9,6,7,7,7,7,9,7,6,4,4,7,8,5,6,4,3,8,10,,3,2,6,151.0
"Ward, Callan",,,,-,,,,,,,,,,,,,,,,,,,,,,,
"Whitfield, Lachie",11,7,19,11,11,4,,,19,12,9,,,,,13,11,8,8,8,13,8,9,8,,2,191.0
"Williams, Zac",7,11,5,4,6,6,5,3,3,,,7,7,8,7,9,6,9,10,3,6,5,9,3,3,10,152.0
"de Boer, Matt",11,11,17,9,11,13,14,9,12,6,12,10,8,,,,,,,,10,10,9,13,5,6,196.0
Totals,141,129,189,162,167,144,131,117,190,157,158,160,152,142,162,166,147,149,131,104,151,140,156,122,100,146,3813.0
Opponent,ES,WC,RI,GE,FR,SY,SK,HW,CA,ME,GC,AD,NM,ES,BL,RI,CW,PA,SY,HW,WB,GC,WB,BL,CW,RI,
