Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,QF,Tot
"Akermanis, Jason",,,-,-,-,,,-,-,,,-,1,2,-,1,2,-,1,-,2,1,-,10.0
"Ashcroft, Marcus",-,-,-,-,-,1,-,-,-,1,1,-,1,1,-,-,1,-,-,1,-,-,-,7.0
"Bamford, Scott",,-,-,-,-,,-,,,,,,,,,,,1,-,-,1,-,1,3.0
"Barker, John",,,,,,-,-,-,,,,,,,,,-,1,-,-,-,,,1.0
"Bews, Andrew",,-,-,,,-,1,2,3,1,,1,-,-,-,1,-,,,,,,,9.0
"Boyd, Brad",,,,,,,,,-,,,,,,,,,,,,,,,
"Bradshaw, Daniel",,,,,,,,2,1,-,1,1,-,-,-,-,1,-,1,-,-,-,-,7.0
"Carter, Nick",,,,,,,-,,,,1,,,,,,,,,,,,,1.0
"Champion, Richard",3,-,2,5,-,1,1,2,1,2,,1,-,1,-,-,-,1,1,1,2,1,,25.0
"Chapman, Nathan",,,,3,1,-,,,,-,1,,,,,,,1,-,-,1,2,-,9.0
"Clarke, Matthew",3,1,2,2,1,-,2,-,,-,4,-,2,-,1,3,-,2,1,,1,1,3,29.0
"Clayton, Shane",,,,,,,-,-,-,,,,,,,,,,,,,,,
"Dickfos, Danny",1,1,-,-,1,-,1,,1,1,1,-,1,3,1,-,1,-,2,1,2,1,-,19.0
"Fletcher, Adrian",-,2,-,-,-,-,2,-,,,-,-,1,-,-,2,-,-,2,2,2,-,3,16.0
"Gowers, Andrew",-,1,1,,,,,,,,,,,,,,,,-,1,2,1,-,6.0
"Green, Brent",,,,,,,-,,,,,,,,,,,,,-,,,,
"Hart, Shaun",-,1,2,1,-,-,2,2,-,1,1,-,-,-,-,1,2,,,,,-,1,14.0
"Johnson, Chris",2,1,2,1,-,1,1,-,-,,2,2,2,-,,,,-,-,1,1,1,1,18.0
"Keating, Clark",-,1,-,2,1,3,2,-,-,-,1,-,-,1,-,1,-,-,-,1,,,,13.0
"Kennedy, Matthew",-,-,2,-,1,1,2,-,,1,1,,,,1,-,,,,,,,,9.0
"Lambert, Craig",,-,1,1,1,3,1,1,1,3,-,2,1,2,,3,-,,,,,,-,20.0
"Lappin, Nigel",1,3,,4,1,2,-,-,1,-,2,1,-,-,-,-,-,1,,-,1,-,1,18.0
"Lawrence, Steven",,,,,,,,,,,,,,,1,1,4,1,1,1,-,1,2,12.0
"Leppitsch, Justin",-,1,,1,1,-,-,-,-,1,-,-,-,1,1,-,-,1,1,1,1,1,-,11.0
"Lynch, Alastair",1,,-,-,2,1,,,-,1,-,1,1,2,1,1,-,3,1,-,-,-,-,15.0
"Lynch, Tristan",-,,,2,2,1,-,-,2,1,1,-,1,-,1,-,1,5,1,1,1,1,1,22.0
"McIvor, Scott",1,2,1,-,-,,,1,,,,,,,,,,,-,,,,,5.0
"McLean, Michael",-,,,,,,,,,,,,,,,,,,,,,,,
"McRae, Craig",,,-,-,,-,,3,1,1,1,4,-,1,1,-,1,1,-,-,1,-,,15.0
"Molloy, Jarrod",1,1,-,,,,,,,,,1,-,-,-,-,2,-,,,,,,5.0
"Robbins, Ben",1,1,-,-,-,2,,,,,,,,,,,,-,-,-,-,-,-,4.0
"Scott, Chris",,,,,,-,,,1,1,,,,-,1,,,,,,,,,3.0
"Scott, Dion",2,-,,,,,,,2,-,,,,,,,,,,,-,1,-,5.0
"Trask, Nick",,,,,,,,,,-,-,-,-,,,,,,,,,,-,
"Voss, Brett",,,,,-,,-,,,,-,,,,,,,,,,,,,
"Voss, Michael",1,1,1,1,-,-,2,2,-,-,-,3,-,-,1,2,-,,,,,,,14.0
"White, Darryl",-,-,-,,,,,-,-,-,1,-,-,-,-,1,2,1,-,2,-,-,2,9.0
Totals,17,17,14,23,12,16,17,15,14,15,19,17,11,14,10,17,17,19,12,13,18,12,15,354.0
Opponent,AD,SK,HW,NM,PA,ES,WC,FR,GE,SY,CA,ME,CW,RI,WB,AD,SK,HW,NM,PA,ES,WC,SK,
