Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,Tot
"Alves, Stan",-,1,1,2,1,,1,-,2,2,-,2,-,2,-,1,-,2,-,,17.0
"Anderson, Tony",,-,-,-,-,-,-,-,-,,-,-,-,-,-,,,,,,
"Aubrey, Graeme",,,,,,,,,,,,,,,,,,,,2,2.0
"Biffin, Ray",,,,,,,,,,,,-,,2,-,-,-,,,,2.0
"Bourke, Barry",,,,,,,,,-,1,-,1,-,-,-,2,-,-,1,-,5.0
"Campbell, Euan",,,,,,,,,,,,,,,,-,,,,,
"Catlin, Sid",,,,,,,,,,,,-,,,,,,,,,
"Clark, Denis",,,,,-,2,-,,,,,,-,1,,,,,,,3.0
"Clarke, Kelvin",2,,,,,,,,,,,2,,,,,,,,,4.0
"Davis, Frank",-,,-,-,-,-,-,-,-,-,-,-,-,-,,,,-,-,-,
"Dillon, Ross",3,2,7,1,2,-,,,,,,,,,-,,,,,,15.0
"Dixon, Brian",-,-,-,-,-,,-,-,-,-,-,-,1,-,-,-,-,-,-,-,1.0
"Dowsing, Rob",,4,-,-,,1,,-,-,,,,,,,,,,,1,6.0
"Feldmann, Derek",-,-,-,-,-,-,-,-,-,,,-,1,-,-,-,-,-,-,-,1.0
"Forster, John",-,-,,,,,,,,,-,,,-,-,,,,,,
"Fowler, Chris",-,-,-,-,-,1,,1,1,,,-,-,-,-,-,-,1,,,4.0
"Groom, Ray",-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,
"Hardeman, Gary",-,,-,,,-,-,-,2,3,-,4,2,2,-,-,2,-,3,1,19.0
"Johnson, Tassie",-,-,-,,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.0
"Jones, Brent",-,,,-,,,-,,-,-,-,-,-,-,-,-,-,-,-,-,
"Kenneally, Bryan",-,-,-,1,-,-,-,-,-,-,-,-,-,2,,1,1,2,1,1,9.0
"Lakes, George",,,,,,,,,,,,-,-,-,-,-,1,-,-,1,2.0
"Lees, Ted",1,-,,,,,,,,-,-,,,,,,,,2,-,3.0
"Mann, Hassa",-,1,2,1,-,,3,-,-,1,3,,3,1,-,2,2,1,-,1,21.0
"Osborne, Graham",,,1,2,3,2,-,1,1,1,-,2,1,-,,-,-,-,-,-,14.0
"Osborne, Ken",,,,,,,3,1,1,-,-,,,,,,,,,,5.0
"Parke, Greg",,-,1,1,1,1,3,-,,2,-,1,-,,-,-,2,1,-,-,13.0
"Rhoden, Phil",,,,,,,-,,,,,,,,,,,,,,
"Roet, Brian",-,-,,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,
"Schwarz, Darryl",,,,,,,,,-,1,,,,,,,,,,,1.0
"Stone, Neville",,,,,,2,-,,,-,,,,,,,-,,1,,3.0
"Sullivan, Tony",,,,-,-,-,,-,,-,,,,,,-,,,,,
"Townsend, John",1,-,-,-,1,-,,2,1,-,1,,,,-,1,3,-,1,-,11.0
"Vagg, Barrie",1,-,-,2,-,1,3,2,-,2,1,3,-,,2,-,1,4,5,1,28.0
"Walker, Max",2,-,2,-,-,1,-,-,,,-,1,3,-,2,1,,-,,-,12.0
"Weekes, Peter",,,,,,,,,,,,,,,,,2,-,-,,2.0
"Whitton, Geoff",,-,-,-,-,-,,,,,,,,,,,,,,,
"Williams, Don",-,-,-,,,,,,,,,,,,,,,,,,
Totals,10,8,14,10,8,12,13,7,8,13,5,16,11,10,4,8,14,11,14,8,204.0
Opponent,FI,SK,SM,NM,GE,FO,HW,CW,RI,ES,CA,FI,SK,SM,NM,GE,FO,HW,CW,RI,
