Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,Tot
"Alves, Stan",5,5,4,2,4,,3,2,8,4,6,6,2,4,3,4,8,4,-,,74.0
"Anderson, Tony",,1,3,5,4,4,-,4,3,,3,8,6,5,1,,,,,,47.0
"Aubrey, Graeme",,,,,,,,,,,,,,,,,,,,2,2.0
"Biffin, Ray",,,,,,,,,,,,-,,3,1,-,-,,,,4.0
"Bourke, Barry",,,,,,,,,1,-,4,7,7,3,3,4,2,2,4,3,40.0
"Campbell, Euan",,,,,,,,,,,,,,,,-,,,,,
"Catlin, Sid",,,,,,,,,,,,-,,,,,,,,,
"Clark, Denis",,,,,2,4,1,,,,,,-,3,,,,,,,10.0
"Clarke, Kelvin",1,,,,,,,,,,,-,,,,,,,,,1.0
"Davis, Frank",-,,1,3,1,3,-,1,2,4,4,4,2,4,,,,1,-,2,32.0
"Dillon, Ross",5,6,11,7,5,-,,,,,,,,,2,,,,,,36.0
"Dixon, Brian",4,3,6,9,8,,5,5,7,7,7,10,7,8,1,11,7,2,7,9,123.0
"Dowsing, Rob",,3,-,-,,1,,-,-,,,,,,,,,,,3,7.0
"Feldmann, Derek",6,6,5,2,-,1,6,4,4,,,8,2,6,6,7,5,1,3,8,80.0
"Forster, John",3,-,,,,,,,,,-,,,-,-,,,,,,3.0
"Fowler, Chris",9,2,1,3,6,1,,4,4,,,3,8,6,4,5,3,1,,,60.0
"Groom, Ray",1,3,4,7,6,6,5,3,6,6,1,,2,2,4,-,4,5,7,4,76.0
"Hardeman, Gary",-,,-,,,3,-,2,5,3,6,5,4,4,3,3,1,4,3,2,48.0
"Johnson, Tassie",5,3,-,,-,2,4,3,3,2,5,1,3,5,4,4,3,5,4,6,62.0
"Jones, Brent",2,,,-,,,3,,5,2,2,7,2,3,2,1,3,4,1,4,41.0
"Kenneally, Bryan",-,2,3,1,2,2,3,3,6,4,4,2,6,6,,1,2,-,4,4,55.0
"Lakes, George",,,,,,,,,,,,4,3,8,4,3,5,5,4,6,42.0
"Lees, Ted",4,2,,,,,,,,-,-,,,,,,,,3,1,10.0
"Mann, Hassa",5,5,3,3,5,,5,6,10,5,2,,6,8,4,7,8,2,6,5,95.0
"Osborne, Graham",,,4,3,3,3,3,4,3,2,3,3,3,-,,3,4,2,4,1,48.0
"Osborne, Ken",,,,,,,3,-,4,2,1,,,,,,,,,,10.0
"Parke, Greg",,4,7,8,7,7,7,11,,7,3,12,6,,4,8,9,11,14,9,134.0
"Rhoden, Phil",,,,,,,-,,,,,,,,,,,,,,
"Roet, Brian",9,-,,3,1,3,2,1,3,3,6,6,7,6,-,,3,4,-,1,58.0
"Schwarz, Darryl",,,,,,,,,4,2,,,,,,,,,,,6.0
"Stone, Neville",,,,,,2,-,,,-,,,,,,,-,,2,,4.0
"Sullivan, Tony",,,,2,1,2,,1,,-,,,,,,2,,,,,8.0
"Townsend, John",4,-,2,4,5,3,,5,8,6,2,,,,2,1,3,2,3,3,53.0
"Vagg, Barrie",1,1,-,2,4,4,2,2,5,2,3,1,3,,4,6,2,1,6,-,49.0
"Walker, Max",2,1,3,4,-,2,3,1,,,-,1,5,2,-,2,,1,,7,34.0
"Weekes, Peter",,,,,,,,,,,,,,,,,4,4,4,,12.0
"Whitton, Geoff",,2,4,2,4,4,,,,,,,,,,,,,,,16.0
"Williams, Don",5,3,2,,,,,,,,,,,,,,,,,,10.0
Totals,71,52,63,70,68,57,55,62,91,61,62,88,84,86,52,72,76,61,79,80,1390.0
Opponent,FI,SK,SM,NM,GE,FO,HW,CW,RI,ES,CA,FI,SK,SM,NM,GE,FO,HW,CW,RI,
