Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,SF,GF,Tot
"Ablett, Geoff",2,2,2,1,1,3,3,-,1,1,-,3,3,4,2,3,1,,3,2,,3,3,-,43.0
"Bevan, Wayne",,,,,,,,,,,,,,-,,,,,,,,,,,
"Bremner, Ian",1,3,3,1,-,1,-,1,1,3,-,5,1,3,2,,,,1,1,3,-,2,2,34.0
"Cooke, Michael",,,,,,,,,,,,,,,,,,,,,,,-,1,1.0
"Crimmins, Peter",3,3,3,3,2,1,2,,,,,,,,,,,,,,,,,,17.0
"De Wolde, Alle",-,2,-,1,1,1,-,2,2,1,-,-,,,,,,,,,2,,,,12.0
"DiPierdomenico, Robert",,,,,,,,,,,,,,,,,,-,,,,,,,
"Douge, Brian",,,,,,,,,,,,,-,2,-,,-,-,,-,,-,,,2.0
"Goad, Alan",2,4,,,,,2,,-,,,,,,,1,-,,1,6,2,,,,18.0
"Harrison, Glenn",,-,-,2,1,4,-,-,2,,,,,,,,,,,,,,,,9.0
"Heath, Kevin",1,2,2,1,,,4,,,,,,,,,,,,,,-,,,,10.0
"Hendrie, John",3,1,1,9,1,4,6,1,4,4,-,1,2,1,5,4,3,7,3,4,3,3,3,2,75.0
"Jaworskyj, Bohdan",1,3,-,-,-,1,-,1,-,-,-,2,1,-,2,-,-,-,1,1,3,4,1,2,23.0
"Jones, Bernie",,,,,1,1,1,1,1,-,-,1,1,-,2,2,1,1,2,1,2,3,-,2,23.0
"Knights, Peter",1,2,-,-,1,-,3,1,3,-,-,1,1,,1,3,1,1,-,3,2,-,2,1,27.0
"Lynn, Gerry",,,,,,,,,,,,,,,,,,,,3,,,,,3.0
"Martello, Alan",5,2,2,3,3,3,1,4,4,1,-,1,3,5,4,3,1,3,1,5,6,5,3,5,73.0
"Matthews, Kelvin",2,3,1,2,2,2,2,4,4,8,-,1,2,4,3,3,1,1,-,-,2,3,3,3,56.0
"Matthews, Leigh",3,1,2,1,4,3,3,1,3,2,-,1,4,,4,6,2,2,1,2,4,2,6,3,60.0
"McCarthy, Gerald",,,,,-,-,,-,,1,-,-,1,1,-,1,1,1,1,-,2,1,-,,10.0
"Meagher, Des",-,,,,,,,,,,,,,,,,,,,,,,5,-,5.0
"Moncrieff, Michael",2,1,1,3,-,1,,2,2,2,-,2,2,3,3,3,2,4,2,4,2,3,3,1,48.0
"Moore, Kelvin",-,2,-,1,1,-,1,1,1,1,-,1,-,2,-,1,-,-,1,2,-,1,1,1,18.0
"Murphy, Shane",,,,,,,,,,,,,,,,,,,,,,2,4,1,7.0
"Petch, Len",2,2,1,1,,,,,,,,,,6,,2,,,,,,-,,,14.0
"Polkinghorne, David",,,,,,,,,,,-,,,-,,-,1,3,-,,,,,,4.0
"Rice, Leon",5,2,4,,,,,,1,2,-,3,2,5,-,4,,,,,,5,,2,35.0
"Rowlings, Barry",,,,-,,,1,1,3,2,-,1,2,2,3,2,5,1,1,3,5,3,5,3,43.0
"Scott, Don",1,4,4,5,3,6,2,4,10,6,-,2,6,,8,,4,5,4,6,2,7,7,5,101.0
"Scrimshaw, Ian",,,-,1,1,-,,-,,-,,-,,2,3,1,4,2,1,-,2,,,,17.0
"Steel, Kelvin",,,,,,,,,,,,,1,,,,,4,,,,,,,5.0
"Trott, Stuart",,,,,2,5,-,1,1,2,-,2,3,2,2,1,2,1,-,,2,-,3,-,29.0
"Tuck, Michael",1,3,2,2,4,4,5,3,6,2,-,3,2,3,4,3,3,2,3,2,6,1,2,3,69.0
"Welsh, Peter",5,1,2,1,1,-,3,2,-,3,-,-,-,-,2,4,2,4,3,2,3,,1,1,40.0
Totals,40,43,30,38,29,40,39,30,49,41,0,30,37,45,50,47,34,42,29,47,53,46,54,38,931.0
Opponent,NM,SK,RI,SM,ME,CA,FI,GE,FO,CW,ES,NM,SK,SM,RI,ME,CA,FI,GE,FO,CW,ES,NM,NM,
