Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,SF,GF,Tot
"Ablett, Geoff",1,4,3,1,1,6,2,5,2,5,-,1,2,4,5,-,-,,4,3,,3,4,4,60.0
"Bevan, Wayne",,,,,,,,,,,,,,-,,,,,,,,,,,
"Bremner, Ian",4,3,-,4,5,3,7,4,1,3,-,7,1,5,1,,,,4,11,3,5,4,7,82.0
"Cooke, Michael",,,,,,,,,,,,,,,,,,,,,,,3,-,3.0
"Crimmins, Peter",1,1,-,5,1,5,1,,,,,,,,,,,,,,,,,,14.0
"De Wolde, Alle",-,5,1,1,1,1,1,4,3,-,-,-,,,,,,,,,1,,,,18.0
"DiPierdomenico, Robert",,,,,,,,,,,,,,,,,,-,,,,,,,
"Douge, Brian",,,,,,,,,,,,,-,2,2,,-,1,,-,,-,,,5.0
"Goad, Alan",1,-,,,,,2,,1,,,,,,,1,-,,1,3,1,,,,10.0
"Harrison, Glenn",,-,-,2,1,3,2,1,1,,,,,,,,,,,,,,,,10.0
"Heath, Kevin",5,2,1,3,,,1,,,,,,,,,,,,,,-,,,,12.0
"Hendrie, John",3,2,9,7,7,3,5,12,7,6,-,5,5,2,11,4,4,8,14,3,4,10,3,3,137.0
"Jaworskyj, Bohdan",4,6,-,2,2,4,8,7,2,2,-,3,3,5,8,6,4,2,5,5,3,3,7,4,95.0
"Jones, Bernie",,,,,4,4,4,3,3,5,-,3,3,2,3,2,2,3,1,5,-,-,-,4,51.0
"Knights, Peter",4,11,6,3,7,4,-,9,7,9,-,7,3,,12,3,10,1,5,4,8,2,3,5,123.0
"Lynn, Gerry",,,,,,,,,,,,,,,,,,,,2,,,,,2.0
"Martello, Alan",1,4,-,5,5,1,2,3,3,4,-,2,4,1,5,4,4,2,1,4,-,6,1,5,67.0
"Matthews, Kelvin",3,2,1,1,-,8,4,6,5,4,-,3,2,6,1,3,2,1,1,2,3,3,3,4,68.0
"Matthews, Leigh",2,2,4,3,5,1,2,-,3,2,-,4,4,,3,6,4,5,6,6,1,5,2,3,73.0
"McCarthy, Gerald",,,,,-,-,,-,,2,-,2,3,2,2,1,1,5,1,1,2,4,-,,26.0
"Meagher, Des",-,,,,,,,,,,,,,,,,,,,,,,1,-,1.0
"Moncrieff, Michael",10,3,3,3,2,3,,6,3,5,-,6,1,2,3,5,4,5,5,1,4,4,1,1,80.0
"Moore, Kelvin",2,4,-,3,7,3,5,3,2,4,-,3,-,2,5,4,1,-,4,8,1,7,2,3,73.0
"Murphy, Shane",,,,,,,,,,,,,,,,,,,,,,4,1,2,7.0
"Petch, Len",-,1,3,-,,,,,,,,,,-,,2,,,,,,-,,,6.0
"Polkinghorne, David",,,,,,,,,,,-,,,-,,-,1,-,-,,,,,,1.0
"Rice, Leon",1,1,1,,,,,,-,1,-,-,1,-,-,2,,,,,,-,,1,8.0
"Rowlings, Barry",,,,-,,,1,2,1,-,-,-,-,2,2,5,1,1,4,1,1,4,4,2,31.0
"Scott, Don",6,4,3,5,3,1,4,5,1,1,-,3,3,,1,,-,1,4,-,3,-,3,4,55.0
"Scrimshaw, Ian",,,-,2,-,-,,-,,-,,-,,2,3,1,2,2,6,1,-,,,,19.0
"Steel, Kelvin",,,,,,,,,,,,,-,,,,,3,,,,,,,3.0
"Trott, Stuart",,,,,4,1,1,5,4,1,-,3,2,-,3,4,3,1,1,,1,-,2,-,36.0
"Tuck, Michael",3,3,1,2,6,2,4,2,3,4,-,1,-,1,2,1,2,4,4,5,3,1,4,3,61.0
"Welsh, Peter",2,4,1,1,1,2,3,5,4,-,-,2,-,-,1,2,1,-,2,1,2,,-,1,35.0
Totals,53,62,37,53,62,55,59,82,56,58,0,55,37,38,73,56,46,45,73,66,41,61,48,56,1272.0
Opponent,NM,SK,RI,SM,ME,CA,FI,GE,FO,CW,ES,NM,SK,SM,RI,ME,CA,FI,GE,FO,CW,ES,NM,NM,
