Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R12,R13,R14,R15,R16,R17,R18,Tot
"Aliir, Aliir",-,-,-,-,-,,2,-,-,-,,,-,-,-,-,1,3.0
"Amartey, Joel",,,,,,,,,,,,,,,,-,,
"Bell, James",,,,,,,,-,-,1,1,-,1,,,-,-,3.0
"Blakey, Nick",1,1,1,-,-,-,-,1,-,,2,-,1,-,-,-,1,8.0
"Brand, Kaiden",-,-,,,,,,,,,,,,,,,,
"Clarke, Ryan",,,,,-,-,1,-,-,,,,-,1,-,-,-,2.0
"Cunningham, Harry",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Dawson, Jordan",-,-,1,-,-,-,-,-,-,-,2,-,1,-,1,,1,6.0
"Florent, Oliver",-,-,-,-,1,-,-,-,1,-,-,-,-,-,2,-,-,4.0
"Foot, Zac",,,,,,,,,,,1,-,,,,,,1.0
"Fox, Robbie",,,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,
"Gray, Sam",1,-,-,,-,-,,-,-,,,,,,,,,1.0
"Hayward, Will",2,-,1,-,-,-,2,,-,-,1,-,-,1,1,2,-,10.0
"Heeney, Isaac",4,1,1,-,1,-,,,,,,,,,,,,7.0
"Hewett, George",,-,-,-,1,-,-,,,,,,,,,,,1.0
"Kennedy, Josh",1,-,-,1,-,-,,,,,,-,-,-,-,-,1,3.0
"Ling, Matt",,,,,,,,-,-,-,,,,,,,,
"Lloyd, Jake",-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.0
"McCartin, Tom",1,1,-,,,,2,1,3,-,-,1,-,-,-,-,-,9.0
"McInerney, Justin",-,-,,-,-,,,,,,,,-,2,1,-,2,5.0
"McLean, Hayden",,,1,-,2,-,,,,,,,,1,1,,,5.0
"Melican, Lewis",,,,,-,,,,,-,-,-,-,-,-,-,-,
"Mills, Callum",-,-,-,-,-,-,-,-,-,-,-,-,-,,,-,-,
"Naismith, Sam",-,,,-,,,,,,,,,,,,,,
"ORiordan, Colin",-,-,-,,-,-,-,,,,-,-,,,,,,
"Papley, Tom",1,3,2,4,1,2,2,4,1,1,-,-,1,-,-,2,2,26.0
"Parker, Luke",-,-,1,-,-,-,-,1,-,-,-,-,-,2,-,2,-,6.0
"Rampe, Dane",-,-,-,-,-,-,-,-,-,-,-,,,,,,,
"Reid, Sam",,,,,,,,1,-,-,-,-,2,-,1,-,1,5.0
"Ronke, Ben",-,,,-,-,,,,,,,,,,,,,
"Rowbottom, James",-,-,1,-,-,1,-,-,-,-,1,-,-,1,-,,-,4.0
"Sinclair, Callum",,1,-,-,,,-,-,1,-,-,-,1,-,-,,-,3.0
"Stephens, Dylan",,,,,,-,-,-,,1,1,-,,,,-,-,2.0
"Stoddart, Ryley",,,,,,-,-,,,,,,,,,,,
"Taylor, Elijah",,,,,,,-,1,-,-,,,,,,,,1.0
"Taylor, Lewis",-,3,1,-,,,,-,-,,,,,1,1,-,,6.0
"Thurlow, Jackson",,,,,,,,,,2,1,-,-,-,-,-,-,3.0
"Warner, Chad",,,,,,-,-,,,,,,,,,,,
"Wicks, Sam",,,,,,,,,,1,-,1,-,1,-,-,,3.0
Totals,11,11,10,5,6,3,9,9,6,6,10,2,7,10,8,6,9,128.0
Opponent,AD,ES,NM,WB,WC,RI,GC,HW,SK,CW,GW,FR,PA,ME,CA,BL,GE,
