Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,QF,Tot
"Alessio, Steven",,,,,,,,1,1,2,-,-,-,3,-,1,-,,,,,1,1,10.0
"Banks, Matthew",,,,,1,,,,,,,,,,,,,,,,,,,1.0
"Barnard, Paul",3,1,,,,1,,,,-,3,4,7,2,1,1,-,1,-,-,3,-,2,29.0
"Berbakov, Peter",,,-,,-,,,4,3,1,4,3,1,2,-,1,3,5,6,1,3,,,37.0
"Bewick, Darren",-,2,1,2,5,-,-,-,-,-,2,5,-,-,1,7,1,2,3,1,1,2,-,35.0
"Blumfield, Justin",,-,-,1,3,-,-,-,1,2,1,5,1,-,-,3,2,1,-,,1,1,2,24.0
"Bolton, Mark",-,1,-,2,,,,,,,,,,,,,,,,,,,,3.0
"Bomford, Andrew",,1,5,1,-,1,1,,,,1,,1,1,-,,,,,,,,,12.0
"Calthorpe, David",1,6,1,1,-,,,2,4,2,-,4,5,2,6,1,1,3,2,1,-,1,-,43.0
"Caracella, Blake",,-,-,-,1,-,4,-,-,3,-,-,1,1,,,,2,-,,,,1,13.0
"Cockatoo-Collins, Che",-,,-,2,-,-,-,,,,,-,,,-,-,,-,3,-,-,-,,5.0
"Denham, Sean",1,-,-,2,,,6,,,2,,,,,,1,4,1,,1,,,2,20.0
"Doolan, Ben",,,,2,2,-,-,-,,,,,,,-,,,,1,1,9,1,2,18.0
"Eastaugh, Simon",,,-,,,1,-,-,-,1,1,-,1,-,,,,,,,,1,1,6.0
"Fletcher, Dustin",5,3,6,5,3,8,6,,3,1,,,,12,6,5,6,6,5,1,,5,5,91.0
"Fraser, Mark",2,1,-,3,-,-,,1,-,1,-,,,,-,4,-,-,-,3,-,-,,15.0
"Hardwick, Damien",4,4,8,9,-,4,4,8,-,4,2,5,2,1,3,5,4,4,2,8,5,4,12,102.0
"Heffernan, Chris",1,1,-,2,-,,-,,,,,,,1,2,1,,,,,2,1,2,13.0
"Hird, James",-,-,,,,,,,-,-,1,3,-,,,,1,,-,3,1,6,1,16.0
"Johnson, Jason",,,,,,,,-,,,,,,,,,1,-,-,2,3,1,-,7.0
"Lalich, Judd",,,,,,,,,,,,,1,-,,,,,,,,,,1.0
"Lloyd, Matthew",-,-,-,-,-,-,-,1,-,-,-,-,1,-,-,-,-,1,-,-,1,-,2,6.0
"Long, Michael",,,,,,,,,,,,-,-,1,-,-,-,,,,-,1,-,2.0
"Lucas, Scott",-,1,-,-,-,-,-,-,2,-,1,2,-,3,-,1,2,-,-,1,-,-,1,14.0
"Mercuri, Mark",2,-,2,-,,,-,1,1,2,-,1,1,1,1,-,,4,1,1,1,-,2,21.0
"Misiti, Joe",,,,-,-,2,1,2,2,7,2,1,1,1,2,2,4,-,1,1,3,-,,32.0
"Moorcroft, Gary",-,-,-,-,,2,1,4,3,,1,1,3,-,,,-,-,-,-,,,-,15.0
"OConnor, Ryan",-,-,,-,1,-,1,4,-,,3,1,,,,,,-,-,-,-,,,10.0
"ODonnell, Gary",2,3,2,3,2,1,,2,,,,,2,,-,1,4,1,3,8,6,4,4,48.0
"Olarenshaw, Ricky",1,,-,,,2,-,3,-,-,-,2,2,-,4,-,3,2,,2,-,,,21.0
"Prior, Michael",2,,,,,4,6,6,7,-,5,2,,,,,,,,,,,,32.0
"Solomon, Dean",,,,,-,3,-,,-,,,1,3,-,,,,,,,,,,7.0
"Somerville, Peter",2,-,1,1,1,,,,,,,,,,-,2,-,2,6,-,3,,,18.0
"Symons, Michael",4,3,,,,,,,,,,,,,,,,,,,,3,,10.0
"Ukovic, Andrew",,,,,2,3,1,1,-,3,-,,,,,,,,,,,,,10.0
"Wallis, Dean",,,,,,,,,,-,,,,,,,,,,,,,,
"Wellman, Sean",-,-,1,2,5,4,4,3,2,5,2,-,6,1,3,5,1,4,2,4,1,2,4,61.0
"Young, Barry",,,,,,,,,,,,,,,,2,4,,,,,,3,9.0
Totals,30,27,27,38,26,36,35,43,29,36,29,40,39,32,29,43,41,39,35,39,43,34,47,817.0
Opponent,RI,SK,CA,FR,CW,WB,GE,BL,ME,HW,SY,AD,WC,NM,PA,RI,SK,CA,FR,CW,WB,GE,NM,
