Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,SF,Tot
"Baskin, Keith",,,4,2,3,6,3,1,5,,,,2,5,3,1,1,,4,4,,,1,45.0
"Bedford, Peter",2,5,1,1,-,2,1,2,1,2,2,3,3,3,3,2,1,1,2,1,1,1,3,43.0
"Bennett, Stuart",1,-,1,,,,,,-,,1,4,-,,-,-,1,5,2,3,5,2,1,26.0
"Brice, Gary",1,2,1,2,-,2,2,2,6,4,2,2,4,4,3,2,4,1,-,7,5,1,2,59.0
"Catlin, Sid",,,,,,,,,,,,,-,-,5,,-,2,,1,-,-,,8.0
"Cook, Russell",2,4,2,4,4,2,-,4,3,4,-,1,5,4,5,1,1,4,2,1,3,2,3,61.0
"Davis, Bruce",,,,,,,,,,,,,,,,,,,,,,-,,
"Doyle, Robert",,,,,,,,,,,,,,-,,,,,-,,,,,
"Elwin, Ross",,4,1,,,,,,,,,,,,,,,,,,,,,5.0
"Gleeson, Reg",,-,-,,,,,1,-,-,1,1,4,3,3,2,3,4,2,1,2,2,-,29.0
"Haenen, Tony",1,1,3,1,-,1,3,2,1,3,2,5,3,-,2,1,1,3,4,1,1,3,1,43.0
"Harrison, Paul",,,,,,,,,1,,,,,,,-,1,2,3,3,,,,10.0
"Hoffman, Steve",2,,,,-,-,-,,,,-,1,,,,,,,,,,,1,4.0
"Jacobs, Graeme",2,1,-,-,2,1,1,3,-,2,3,1,,-,-,2,1,,,,2,3,1,25.0
"Lambert, Greg",2,-,,-,2,1,1,4,-,3,3,,,,,,,2,1,1,1,2,1,24.0
"Leahy, Terry",2,,,,,,-,-,3,3,2,-,1,,,,,,,,,,,11.0
"Luke, Richard",,,,4,5,-,1,4,2,-,2,7,3,2,4,2,1,2,-,1,3,3,-,46.0
"McAuliffe, Haydn",3,5,1,3,2,4,3,2,7,3,,-,1,3,5,3,2,2,-,3,-,1,3,56.0
"McCracken, Peter",,,,-,,,,,,,,,,,,,,,,,,,,
"McKew, Shane",3,5,1,2,5,2,4,,,4,4,3,2,5,4,2,5,4,4,-,,,,59.0
"McLeish, David",,2,2,1,5,-,2,3,4,1,1,2,3,2,1,1,2,5,3,2,4,2,3,51.0
"Miller, Neville",,,,,,,,,,,-,,,,-,,,,1,3,2,-,,6.0
"Murphy, John",3,4,2,3,3,5,3,5,,3,2,2,1,3,4,2,,4,3,3,2,,1,58.0
"Pavone, Mick",,2,3,3,-,4,-,,,,,,,,,,,,,,,,,12.0
"Pitura, John",5,2,3,4,3,2,2,2,1,1,2,2,1,5,1,1,1,4,4,3,2,5,2,58.0
"Quade, Ricky",2,,,,,,,,,,,,,,,,,,,,,,,2.0
"Rantall, John",3,-,1,1,1,5,3,1,,5,1,3,-,1,1,-,-,4,1,-,1,3,2,37.0
"Richardson, Alan",1,,,,,,,,,,,,,,,,,,,,,,,1.0
"Skilton, Bob",,1,-,-,2,3,1,1,2,2,5,4,2,-,,2,1,1,2,,2,1,1,33.0
"Sudholz, John",,,,3,1,4,2,1,3,2,1,2,3,3,5,3,5,1,2,1,5,-,2,49.0
"Walsh, Wayne",5,8,3,2,4,1,,2,2,2,,1,1,2,2,4,2,1,,,-,8,2,52.0
"Way, Fred",2,2,1,1,3,5,-,2,3,3,,2,1,5,3,1,1,3,,,,,-,38.0
"Wetzel, Ron",1,1,3,,,,,,,,,,,,,,,,,-,-,1,,6.0
"Wilkinson, Jim",2,,,,,,,,,,,,,,,,,,,,,,,2.0
"Williams, Gary",,,,,,,,-,2,3,-,,,,,,,,,,,,,5.0
Totals,45,49,33,37,45,50,32,42,46,50,34,46,40,50,54,32,34,55,40,39,41,40,30,964.0
Opponent,ME,NM,ES,FO,RI,SK,CA,HW,GE,FI,CW,ME,NM,ES,FO,RI,SK,CA,HW,GE,FI,CW,SK,
