Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,SF,Tot
"Baskin, Keith",,,18,18,11,15,15,10,18,,,,14,16,12,11,7,,11,10,,,10,196.0
"Bedford, Peter",17,15,20,16,22,23,26,8,17,18,19,21,21,12,25,24,11,12,19,22,11,10,11,400.0
"Bennett, Stuart",3,-,1,,,,,,-,,15,7,-,,-,-,15,10,7,9,6,4,3,80.0
"Brice, Gary",12,11,12,8,5,19,12,11,11,11,17,25,19,23,21,19,18,15,20,14,17,10,16,346.0
"Catlin, Sid",,,,,,,,,,,,,4,-,20,,-,10,,17,2,-,,53.0
"Cook, Russell",9,17,13,17,10,14,20,11,22,16,10,9,17,14,14,12,15,13,10,11,14,11,11,310.0
"Davis, Bruce",,,,,,,,,,,,,,,,,,,,,,9,,9.0
"Doyle, Robert",,,,,,,,,,,,,,-,,,,,-,,,,,
"Elwin, Ross",,11,5,,,,,,,,,,,,,,,,,,,,,16.0
"Gleeson, Reg",,4,4,,,,,9,1,-,13,11,10,12,11,10,9,9,8,12,15,4,13,155.0
"Haenen, Tony",12,17,8,9,9,6,5,12,6,8,8,6,10,6,8,13,11,8,11,9,8,11,13,214.0
"Harrison, Paul",,,,,,,,,7,,,,,,,-,1,3,9,5,,,,25.0
"Hoffman, Steve",15,,,,3,-,-,,,,17,2,,,,,,,,,,,19,56.0
"Jacobs, Graeme",9,8,8,9,15,7,11,10,10,9,10,8,,7,7,11,4,,,,11,12,10,176.0
"Lambert, Greg",9,9,,12,9,5,6,9,10,17,6,,,,,,,9,17,12,14,19,12,175.0
"Leahy, Terry",14,,,,,,6,-,8,13,7,-,5,,,,,,,,,,,53.0
"Luke, Richard",,,,16,6,-,11,8,6,-,18,12,14,16,12,12,8,8,9,9,10,7,-,182.0
"McAuliffe, Haydn",19,17,24,21,20,18,29,12,31,18,,17,24,19,14,21,25,14,-,24,19,12,3,401.0
"McCracken, Peter",,,,-,,,,,,,,,,,,,,,,,,,,
"McKew, Shane",16,16,20,20,18,18,10,,,17,9,12,10,15,18,14,23,16,26,7,,,,285.0
"McLeish, David",,14,13,18,8,15,15,12,11,9,9,14,14,12,13,17,14,7,20,20,12,13,14,294.0
"Miller, Neville",,,,,,,,,,,-,,,,2,,,,12,7,4,-,,25.0
"Murphy, John",15,12,13,11,12,18,15,15,,16,18,10,11,14,22,11,,7,8,16,9,,16,269.0
"Pavone, Mick",,4,14,9,3,3,-,,,,,,,,,,,,,,,,,33.0
"Pitura, John",15,9,13,16,18,19,16,13,20,14,14,21,11,16,13,4,12,18,15,14,10,14,12,327.0
"Quade, Ricky",4,,,,,,,,,,,,,,,,,,,,,,,4.0
"Rantall, John",11,9,9,15,19,14,13,6,,11,10,18,5,9,17,13,16,11,10,8,6,13,10,253.0
"Richardson, Alan",2,,,,,,,,,,,,,,,,,,,,,,,2.0
"Skilton, Bob",,22,20,4,18,15,14,21,18,14,16,19,17,25,,19,27,22,19,,17,16,19,362.0
"Sudholz, John",,,,12,14,12,12,7,10,8,4,12,12,6,14,4,4,11,8,10,7,9,10,186.0
"Walsh, Wayne",22,12,18,14,21,18,,16,9,17,,17,16,12,17,14,17,9,,,32,18,20,319.0
"Way, Fred",11,9,11,6,6,12,5,5,6,8,,4,5,9,11,5,6,2,,,,,10,131.0
"Wetzel, Ron",5,13,10,,,,,,,,,,,,,,,,,-,-,7,,35.0
"Wilkinson, Jim",4,,,,,,,,,,,,,,,,,,,,,,,4.0
"Williams, Gary",,,,,,,,-,15,7,-,,,,,,,,,,,,,22.0
Totals,224,229,254,251,247,251,241,195,236,231,220,245,239,243,271,234,243,214,239,236,224,199,232,5398.0
Opponent,ME,NM,ES,FO,RI,SK,CA,HW,GE,FI,CW,ME,NM,ES,FO,RI,SK,CA,HW,GE,FI,CW,SK,
