Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,SF,Tot
"Baskin, Keith",,,1,2,2,4,2,1,3,,,,2,1,-,-,-,,-,2,,,1,21.0
"Bedford, Peter",3,1,3,2,3,1,4,-,3,2,4,5,2,4,4,3,1,4,5,6,4,2,1,67.0
"Bennett, Stuart",-,-,1,,,,,,-,,5,1,-,,-,-,3,4,3,5,2,1,1,26.0
"Brice, Gary",4,2,2,-,1,1,2,4,2,5,7,2,6,3,8,5,2,6,6,3,5,5,5,86.0
"Catlin, Sid",,,,,,,,,,,,,1,-,4,,-,2,,4,-,-,,11.0
"Cook, Russell",-,6,1,1,1,2,2,4,2,3,1,2,3,3,4,2,3,2,1,4,2,2,-,51.0
"Davis, Bruce",,,,,,,,,,,,,,,,,,,,,,-,,
"Doyle, Robert",,,,,,,,,,,,,,-,,,,,-,,,,,
"Elwin, Ross",,1,-,,,,,,,,,,,,,,,,,,,,,1.0
"Gleeson, Reg",,-,-,,,,,1,-,-,2,2,1,4,2,2,1,2,-,2,3,2,1,25.0
"Haenen, Tony",1,2,4,2,1,1,2,4,1,1,2,1,1,1,4,1,2,3,4,2,-,8,2,50.0
"Harrison, Paul",,,,,,,,,1,,,,,,,-,-,1,-,2,,,,4.0
"Hoffman, Steve",2,,,,-,-,-,,,,3,-,,,,,,,,,,,2,7.0
"Jacobs, Graeme",2,3,-,2,5,1,2,4,3,1,1,2,,2,1,3,1,,,,4,4,2,43.0
"Lambert, Greg",-,3,,1,3,3,1,2,1,1,-,,,,,,,3,5,2,2,2,1,30.0
"Leahy, Terry",-,,,,,,3,-,2,1,2,-,1,,,,,,,,,,,9.0
"Luke, Richard",,,,3,1,-,1,2,3,-,6,2,5,7,4,2,-,2,2,3,-,2,-,45.0
"McAuliffe, Haydn",4,2,2,5,-,2,4,2,8,5,,3,4,3,4,4,3,3,-,5,6,-,-,69.0
"McCracken, Peter",,,,-,,,,,,,,,,,,,,,,,,,,
"McKew, Shane",3,2,4,3,1,6,3,,,4,-,1,4,5,6,2,4,3,6,2,,,,59.0
"McLeish, David",,3,1,5,4,4,2,5,-,2,2,1,1,5,2,2,1,2,2,2,-,2,4,52.0
"Miller, Neville",,,,,,,,,,,-,,,,-,,,,2,1,1,-,,4.0
"Murphy, John",2,-,2,2,1,1,1,3,,1,3,-,1,1,5,2,,3,2,6,-,,1,37.0
"Pavone, Mick",,1,1,3,-,-,-,,,,,,,,,,,,,,,,,5.0
"Pitura, John",3,3,1,2,-,7,1,-,3,1,3,3,4,2,2,-,-,3,2,-,-,1,1,42.0
"Quade, Ricky",-,,,,,,,,,,,,,,,,,,,,,,,
"Rantall, John",5,2,3,4,2,3,4,2,,1,4,6,1,2,2,4,-,5,3,4,2,5,4,68.0
"Richardson, Alan",1,,,,,,,,,,,,,,,,,,,,,,,1.0
"Skilton, Bob",,2,6,-,6,4,3,6,4,1,5,3,2,4,,3,5,5,1,,6,3,1,70.0
"Sudholz, John",,,,1,3,1,3,3,3,1,3,2,2,1,3,2,1,4,2,1,3,-,2,41.0
"Walsh, Wayne",7,1,6,3,3,3,,3,1,3,,3,3,3,4,5,4,1,,,7,1,4,65.0
"Way, Fred",1,3,3,-,1,4,2,2,-,2,,1,2,4,-,1,2,-,,,,,1,29.0
"Wetzel, Ron",1,-,1,,,,,,,,,,,,,,,,,-,-,3,,5.0
"Wilkinson, Jim",-,,,,,,,,,,,,,,,,,,,,,,,
"Williams, Gary",,,,,,,,-,-,1,-,,,,,,,,,,,,,1.0
Totals,39,37,42,41,38,48,42,48,40,36,53,40,46,55,59,43,33,58,46,56,47,43,34,1024.0
Opponent,ME,NM,ES,FO,RI,SK,CA,HW,GE,FI,CW,ME,NM,ES,FO,RI,SK,CA,HW,GE,FI,CW,SK,
