Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,SF,Tot
"Baskin, Keith",,,1,-,-,2,5,1,2,,,,-,-,-,1,3,,4,-,,,-,19.0
"Bedford, Peter",2,-,3,3,2,3,4,-,1,1,5,3,3,1,1,1,2,2,3,4,3,-,3,50.0
"Bennett, Stuart",2,-,-,,,,,,-,,-,1,-,,-,-,-,-,-,-,-,-,-,3.0
"Brice, Gary",1,-,-,1,-,-,3,1,1,2,-,2,1,1,3,1,-,1,-,1,-,1,-,20.0
"Catlin, Sid",,,,,,,,,,,,,-,-,2,,-,-,,2,-,-,,4.0
"Cook, Russell",1,2,1,2,-,-,2,1,1,-,-,-,1,1,-,-,-,1,-,-,2,1,2,18.0
"Davis, Bruce",,,,,,,,,,,,,,,,,,,,,,1,,1.0
"Doyle, Robert",,,,,,,,,,,,,,-,,,,,-,,,,,
"Elwin, Ross",,1,-,,,,,,,,,,,,,,,,,,,,,1.0
"Gleeson, Reg",,-,-,,,,,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2.0
"Haenen, Tony",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1.0
"Harrison, Paul",,,,,,,,,-,,,,,,,-,-,-,-,-,,,,
"Hoffman, Steve",-,,,,1,-,-,,,,3,-,,,,,,,,,,,4,8.0
"Jacobs, Graeme",-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,,,,-,-,-,
"Lambert, Greg",-,-,,-,-,-,-,-,-,-,-,,,,,,,-,-,-,-,-,-,
"Leahy, Terry",-,,,,,,-,-,-,2,-,-,-,,,,,,,,,,,2.0
"Luke, Richard",,,,1,-,-,2,-,-,-,4,-,1,-,-,1,2,-,1,-,-,-,-,12.0
"McAuliffe, Haydn",2,1,-,-,-,-,2,-,4,-,,2,1,1,-,3,-,-,-,-,1,1,-,18.0
"McCracken, Peter",,,,-,,,,,,,,,,,,,,,,,,,,
"McKew, Shane",-,-,-,1,-,-,-,,,1,-,-,-,-,-,-,-,-,2,-,,,,4.0
"McLeish, David",,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,-,-,-,-,-,-,-,2.0
"Miller, Neville",,,,,,,,,,,-,,,,-,,,,-,-,-,-,,
"Murphy, John",1,-,1,-,-,-,-,-,,2,1,-,-,3,2,1,,1,-,-,1,,-,13.0
"Pavone, Mick",,1,4,1,1,-,-,,,,,,,,,,,,,,,,,7.0
"Pitura, John",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Quade, Ricky",-,,,,,,,,,,,,,,,,,,,,,,,
"Rantall, John",-,1,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.0
"Richardson, Alan",-,,,,,,,,,,,,,,,,,,,,,,,
"Skilton, Bob",,2,2,-,2,1,-,4,1,3,-,1,2,2,,2,1,2,3,,3,1,1,33.0
"Sudholz, John",,,,2,4,3,5,3,3,1,3,3,6,2,5,-,3,2,3,4,4,1,3,60.0
"Walsh, Wayne",-,-,-,-,-,-,,-,-,-,,-,-,-,-,-,-,-,,,-,-,-,
"Way, Fred",-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,,,,-,
"Wetzel, Ron",-,-,-,,,,,,,,,,,,,,,,,-,-,1,,1.0
"Wilkinson, Jim",-,,,,,,,,,,,,,,,,,,,,,,,
"Williams, Gary",,,,,,,,-,6,-,-,,,,,,,,,,,,,6.0
Totals,9,8,12,11,10,9,23,12,19,12,16,12,16,11,13,11,11,10,16,11,14,7,13,286.0
Opponent,ME,NM,ES,FO,RI,SK,CA,HW,GE,FI,CW,ME,NM,ES,FO,RI,SK,CA,HW,GE,FI,CW,SK,
