Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,QF,Tot
"Bassett, Scott",,,,,,,,,,,,,,-,,,,,,,,,,
"Bode, Matthew",,,-,-,-,1,,-,-,,,,,,-,1,-,2,1,1,1,1,,8.0
"Bond, Shane",,-,-,-,-,1,-,,,-,,,-,-,-,1,-,-,-,-,-,-,-,2.0
"Breuer, Shayne",,,,,,-,2,-,1,1,-,1,-,-,-,4,1,-,2,1,-,1,-,14.0
"Burgoyne, Peter",-,-,1,2,1,-,-,-,1,3,-,-,-,-,2,-,2,-,1,,,,-,13.0
"Carr, Tom",,,,,,,-,,,,,,,,,,,,,,,,,
"Chalmers, Brett",1,-,2,-,1,,,-,-,1,-,,,-,-,-,-,-,,,,-,-,5.0
"Cockatoo-Collins, Che",2,2,,,,1,3,1,,,-,2,1,,,,,,,1,-,1,2,16.0
"Cornes, Chad",,,,,,-,1,1,-,,,,,,,,,,,2,-,,,4.0
"Daniels, Stephen",-,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Dew, Stuart",-,1,3,1,-,4,1,-,2,5,-,1,5,2,2,-,1,-,2,-,3,2,-,35.0
"Dickie, Donald",-,-,-,-,-,1,-,,,-,1,-,,,,,,,,,,,,2.0
"Eagleton, Nathan",1,-,-,1,,,,,1,2,3,-,-,2,-,,,,-,1,3,-,-,14.0
"Fiegert, Nigel",-,1,-,1,-,,,,,,,,,,,,,,,,,,,2.0
"Francis, Fabian",-,-,-,-,-,,,-,-,-,-,-,-,-,-,-,-,1,,,,-,-,1.0
"Francou, Josh",-,1,-,1,1,1,-,-,-,-,1,,,,-,-,1,-,-,1,-,1,-,8.0
"French, Barnaby",-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,1,,-,4.0
"Harwood, Mark",,,,,,,,-,2,3,,,1,-,1,-,1,1,1,-,-,-,,10.0
"James, Roger",,,,,,,,,,,,-,,1,-,-,-,-,,-,-,-,-,1.0
"Kingsley, Adam",-,-,-,-,-,-,-,-,1,-,-,1,-,-,-,1,-,1,-,-,-,1,-,5.0
"Lade, Brendon",-,1,-,-,-,1,-,,,1,-,-,-,-,2,-,-,-,-,-,3,-,-,8.0
"Lockwood, Bowen",,,,,,,,,,-,-,-,1,,,,,,2,,,-,,3.0
"Lyle, Brayden",-,-,1,1,-,,,-,,,,-,-,-,-,-,-,2,-,1,-,1,1,7.0
"Mead, Darren",-,-,-,-,-,-,-,-,-,,-,-,-,1,-,-,-,-,-,-,-,-,-,1.0
"Murray, Derek",,,,,1,-,-,,,,,,,,,,,,,,,,,1.0
"Naish, Chris",,,,,,,,-,-,,,,,,,,,,,,,,,
"Paxman, Stephen",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Poole, Darryl",,,,-,,,,,,,,,,,,,,,,,,,,
"Poulton, Jared",-,,,,,-,-,2,-,-,,,,,,,,,,,,,,2.0
"Primus, Matthew",,-,-,,,,,,,,,,,,,,,,,,,,,
"Schofield, Jarrad",-,1,1,2,1,-,1,1,-,1,-,-,-,,,-,-,1,1,1,1,-,-,12.0
"Steinberner, Nathan",,,,,,,,,1,-,-,-,1,1,-,1,,,-,-,-,,,4.0
"Stevens, Michael",,,,,,,,,,,,,,,,,-,-,,,,,,
"Stevens, Nick",-,-,-,-,-,1,-,-,1,-,-,-,-,1,-,1,1,-,1,-,-,-,1,7.0
"Tredrea, Warren",4,1,1,3,-,3,2,1,3,-,1,-,3,1,1,2,1,2,1,,,,-,30.0
"Wanganeen, Gavin",-,2,-,-,-,-,-,,,,-,-,-,1,,,,,-,-,-,1,-,4.0
"Wilson, Michael",-,-,-,-,2,-,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,4.0
Totals,8,11,9,12,7,14,11,6,13,17,6,5,13,10,8,11,8,10,12,11,12,9,4,227.0
Opponent,SY,FR,BL,GE,ME,AD,WB,CA,SK,KA,RI,WC,HW,CW,ES,SY,FR,BL,GE,ME,AD,WB,KA,
