Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,QF,Tot
"Bassett, Scott",,,,,,,,,,,,,,-,,,,,,,,,,
"Bode, Matthew",,,-,-,-,-,,-,-,,,,,,-,2,-,1,-,-,-,-,,3.0
"Bond, Shane",,1,2,1,1,-,-,,,-,,,-,4,2,1,-,-,-,-,1,-,1,14.0
"Breuer, Shayne",,,,,,2,-,2,2,1,2,-,1,1,-,1,-,1,1,1,1,-,2,18.0
"Burgoyne, Peter",1,1,-,-,-,1,-,-,3,1,-,-,1,2,-,2,1,-,-,,,,2,15.0
"Carr, Tom",,,,,,,1,,,,,,,,,,,,,,,,,1.0
"Chalmers, Brett",-,-,1,2,-,,,-,-,-,-,,,-,-,-,-,-,,,,-,-,3.0
"Cockatoo-Collins, Che",-,-,,,,1,-,-,,,-,1,-,,,,,,,1,1,-,2,6.0
"Cornes, Chad",,,,,,1,2,1,-,,,,,,,,,,,-,-,,,4.0
"Daniels, Stephen",3,,,,4,-,5,1,1,-,2,-,2,3,2,2,-,2,-,-,-,-,1,28.0
"Dew, Stuart",1,1,1,1,3,3,1,-,-,1,2,1,1,2,2,-,-,-,1,-,2,-,-,23.0
"Dickie, Donald",2,1,1,2,4,1,-,,,-,-,-,,,,,,,,,,,,11.0
"Eagleton, Nathan",-,-,-,-,,,,,-,-,1,-,-,-,-,,,,-,-,-,-,-,1.0
"Fiegert, Nigel",1,2,-,1,1,,,,,,,,,,,,,,,,,,,5.0
"Francis, Fabian",2,-,-,1,-,,,-,1,-,1,2,2,1,1,-,1,1,,,,2,1,16.0
"Francou, Josh",2,1,1,-,1,-,3,1,-,-,1,,,,-,-,-,5,-,-,-,2,4,21.0
"French, Barnaby",1,-,-,-,4,-,-,-,-,-,-,1,2,1,-,-,1,-,-,1,1,,1,13.0
"Harwood, Mark",,,,,,,,-,-,-,,,1,-,-,-,-,-,1,1,2,1,,6.0
"James, Roger",,,,,,,,,,,,2,,-,-,-,1,-,,2,1,-,-,6.0
"Kingsley, Adam",2,-,1,-,-,4,3,-,1,1,-,2,3,1,1,1,2,1,-,-,-,1,2,26.0
"Lade, Brendon",1,-,-,-,-,-,-,,,-,3,1,-,-,1,-,1,-,-,3,1,2,-,13.0
"Lockwood, Bowen",,,,,,,,,,-,-,-,-,,,,,,-,,,2,,2.0
"Lyle, Brayden",-,-,-,-,-,,,-,,,,1,-,2,1,-,1,1,-,-,2,-,1,9.0
"Mead, Darren",-,3,-,1,-,1,-,2,1,,1,2,-,1,1,-,1,-,1,-,-,-,4,19.0
"Murray, Derek",,,,,-,1,-,,,,,,,,,,,,,,,,,1.0
"Naish, Chris",,,,,,,,-,-,,,,,,,,,,,,,,,
"Paxman, Stephen",-,-,-,-,1,-,-,-,1,1,1,1,1,1,-,-,-,-,2,1,-,-,2,12.0
"Poole, Darryl",,,,-,,,,,,,,,,,,,,,,,,,,
"Poulton, Jared",2,,,,,2,-,1,-,1,,,,,,,,,,,,,,6.0
"Primus, Matthew",,1,-,,,,,,,,,,,,,,,,,,,,,1.0
"Schofield, Jarrad",-,-,-,1,-,-,3,3,1,-,-,-,-,,,-,-,1,-,1,2,-,-,12.0
"Steinberner, Nathan",,,,,,,,,1,-,-,-,-,2,1,-,,,-,-,1,,,5.0
"Stevens, Michael",,,,,,,,,,,,,,,,,-,-,,,,,,
"Stevens, Nick",1,1,1,-,1,2,1,3,-,-,4,2,1,2,-,-,1,-,1,1,-,-,1,23.0
"Tredrea, Warren",1,-,1,1,3,2,1,-,3,1,1,-,2,-,1,2,-,-,-,,,,3,22.0
"Wanganeen, Gavin",3,-,-,1,-,1,-,,,,1,-,1,1,,,,,3,-,2,-,1,14.0
"Wilson, Michael",1,1,1,-,-,1,1,1,4,-,1,-,1,1,1,1,1,-,2,1,-,4,1,24.0
Totals,24,13,10,12,23,23,21,15,19,7,21,16,19,25,14,12,11,13,12,13,17,14,29,383.0
Opponent,SY,FR,BL,GE,ME,AD,WB,CA,SK,KA,RI,WC,HW,CW,ES,SY,FR,BL,GE,ME,AD,WB,KA,
