Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,EF,Tot
"Arnott, Simon",,,,,,-,,,-,-,1,,,,,,,,,,,,,1.0
"Baldwin, Marcus",,,,,,,,,,,,,,,,,,,,,3,-,,3.0
"Bizzell, Clint",-,,1,1,2,2,4,3,2,1,4,1,5,,,1,3,3,-,3,3,1,2,42.0
"Burns, Ronnie",1,-,1,-,2,,-,-,,-,-,,,-,,,,1,-,1,1,-,1,8.0
"Chapman, Paul",,,,,,,,,,,,-,-,,,,,,,,,-,-,
"Clarke, David",,-,-,-,2,-,-,1,-,1,-,-,-,-,-,-,1,1,-,-,-,1,-,7.0
"Corey, Joel",,,,,,,,,,,,,,,,,-,-,-,-,-,,,
"Corrigan, Paul",,-,-,-,,,,-,,-,-,,,,,,,,,,,,,
"Foster, Daniel",,,,,,,,,-,-,,,,,,,,,,,,,,
"Graham, Ben",1,3,1,-,-,2,1,2,-,2,1,3,1,1,3,2,4,1,1,2,2,3,1,37.0
"Hall, Derek",1,-,,,,,,,,,,,,,,,1,,,,,,,2.0
"Harley, Tom",-,-,1,-,-,3,-,1,-,2,1,-,-,1,1,1,-,-,1,-,1,-,1,14.0
"Hocking, Garry",-,1,,-,,-,-,-,-,-,-,1,-,-,-,1,-,-,-,-,-,-,-,3.0
"Houlihan, Adam",-,1,-,-,1,-,-,-,-,2,-,-,3,-,-,-,-,2,1,-,-,,-,10.0
"Kilpatrick, Glenn",-,-,-,-,-,-,-,,-,1,-,-,-,,-,-,-,-,-,-,-,-,-,1.0
"King, Steven",2,-,3,2,-,-,1,-,-,-,2,-,1,-,-,3,-,1,-,3,1,-,-,19.0
"Ling, Cameron",,,,,,,,,,-,1,-,1,-,-,2,,1,,-,-,,,5.0
"Lynch, Paul",-,-,2,-,1,2,-,,,,,,,-,-,,,,,,,,,5.0
"Lynch, Tristan",,,,,,,,-,1,-,-,,,,,,,,,,,,,1.0
"McGrath, Tim",2,2,-,-,-,-,2,2,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,9.0
"McKay, Joel",,,,,,,,,,,,-,-,,,,,,,,,,,
"Mensch, David",4,5,2,1,2,2,1,3,2,3,2,-,-,2,1,3,2,2,-,,,4,1,42.0
"Milburn, Darren",1,-,-,-,-,,,,,,,-,1,1,2,1,-,1,-,-,-,-,-,7.0
"Mooney, Cameron",,,,,,,,,,,,,,,,,-,1,1,1,2,-,,5.0
"Mooney, Jason",1,-,2,-,2,1,2,-,1,,,-,2,,-,,,,,,,,,11.0
"OBrien, Danny",,,-,,-,-,-,-,-,,,,,,,-,-,,,,,,,
"Rahilly, James",,,,,-,1,1,-,-,-,,,-,-,-,-,-,,,,,,,2.0
"Riccardi, Peter",-,-,-,-,-,1,-,-,-,-,2,-,-,-,,1,1,,,,,2,2,9.0
"Sanderson, Brenton",-,-,-,-,1,-,-,-,-,-,1,1,1,-,2,1,1,-,-,-,-,1,-,9.0
"Scarlett, Matthew",1,-,-,-,1,-,-,-,,,1,-,-,1,4,-,-,-,-,-,-,1,-,9.0
"Sholl, Brad",-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,1,1,1,1,-,-,-,-,6.0
"Simpson, Hamish",,,,,,,,,,,,,,,,,,,-,,,,,
"Snell, Jason",2,1,-,,,,,,,,,2,1,2,-,-,1,1,1,-,-,-,-,11.0
"Spriggs, David",-,-,-,-,-,-,-,1,-,-,-,-,,1,-,-,,-,-,1,-,2,-,5.0
"Steinfort, Carl",-,,,-,1,1,-,-,-,,-,-,-,-,-,-,-,-,-,1,-,-,-,3.0
"Stoneham, Barry",-,2,2,-,2,-,1,2,2,4,2,,,-,-,,,,,-,,,-,17.0
"Wojcinski, David",,,,,,,,,,,,,,-,2,-,,-,-,-,-,-,-,2.0
Totals,16,15,15,4,17,15,13,15,8,16,18,9,16,10,15,17,15,16,6,13,13,15,8,305.0
Opponent,FR,SK,AD,KA,WC,ME,SY,RI,HW,PA,ES,CW,WB,CA,BL,FR,SK,AD,KA,WC,ME,SY,HW,
