Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,QF,SF,Tot
"Bird, Craig",1,-,-,-,-,,,,,,,,,,-,,,,,,,,,,1.0
"Cunningham, Harry",1,,-,-,-,,,-,1,1,1,1,-,-,-,-,-,1,1,2,2,-,-,-,11.0
"Derickx, Tom",,,,,,,,,,,,1,,,,,,,,,,,,,1.0
"Franklin, Lance",-,3,5,2,4,3,3,-,5,3,2,3,,1,3,,4,,,,1,2,,,44.0
"Goodes, Adam",-,-,,,-,1,2,2,2,2,2,1,2,-,-,1,,1,1,2,4,-,1,3,27.0
"Grundy, Heath",-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Hannebery, Dan",-,-,-,-,-,1,-,-,1,1,-,-,2,-,-,-,2,1,-,-,1,-,-,-,9.0
"Heeney, Isaac",-,-,1,-,,-,,,,,,,,,,2,-,3,3,1,4,1,1,-,16.0
"Jack, Brandon",,,,,,,,,-,,,,,,1,1,-,-,-,1,-,1,-,,4.0
"Jack, Kieren",-,1,-,-,-,-,1,-,-,-,-,-,-,-,1,-,3,-,-,1,-,-,,,7.0
"Jetta, Lewis",-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,1,-,-,-,-,4.0
"Jones, Zak",,,,,,,,,,,,-,-,-,-,-,,-,,-,-,-,-,-,
"Kennedy, Josh",-,-,-,-,-,1,2,-,-,-,-,2,2,-,-,-,1,-,1,2,-,1,2,-,14.0
"Laidler, Jeremy",1,-,-,-,-,-,-,-,-,1,-,-,-,-,,-,-,-,-,-,-,-,-,-,2.0
"Lloyd, Jake",-,-,-,1,-,-,-,-,,-,-,-,1,-,1,-,1,1,-,-,,-,-,-,5.0
"McGlynn, Ben",,,1,2,,1,-,-,2,,,,,,,,1,,,,,,1,-,8.0
"McVeigh, Jarrad",,-,-,1,-,-,-,1,-,-,-,1,-,1,1,-,1,-,2,-,-,,-,-,8.0
"Mitchell, Tom",,,,,1,1,2,-,-,1,-,-,-,-,-,-,-,-,-,,1,-,1,-,7.0
"Nankervis, Toby",,,,,,,,,,,,,1,,-,-,-,1,,,,,,,2.0
"Parker, Luke",-,-,-,1,-,2,6,2,-,1,-,-,2,1,-,-,2,-,-,,,,,,17.0
"Pyke, Mike",-,-,-,1,-,-,-,-,-,-,1,,-,-,,-,,,1,-,1,-,-,-,4.0
"Rampe, Dane",-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1.0
"Reid, Sam",-,-,-,1,,-,2,2,-,-,1,-,3,-,1,3,2,1,2,2,3,5,1,,29.0
"Richards, Ted",-,-,-,-,-,1,-,-,-,-,-,-,-,,-,,-,-,-,-,-,-,-,-,1.0
"Richards, Xavier",,,,,,,,,,,,,,,,-,,,,,,,,,
"Robinson, Dan",,,,,,,,,1,-,-,,,1,,,,,,,,,,,2.0
"Rohan, Gary",-,-,-,-,1,1,-,1,-,1,2,2,1,,,,,,2,,-,-,1,-,12.0
"Rose, James",,,,,,,,,,,,,,,,,,,,1,,,,1,2.0
"Shaw, Rhyce",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1.0
"Smith, Nick",-,-,,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,-,1.0
"Tippett, Kurt",2,1,1,4,1,2,1,-,2,1,3,2,,3,-,,2,-,-,5,4,6,2,3,45.0
"Towers, Dean",-,-,-,,-,,-,,,,,,-,1,,,,,,-,,3,2,-,6.0
Totals,5,5,8,14,8,14,19,8,14,12,13,13,14,8,8,8,19,9,14,18,21,20,12,7,291.0
Opponent,ES,PA,GW,FR,WB,ME,GE,HW,CA,GC,NM,RI,PA,BL,HW,WC,AD,GE,CW,GW,SK,GC,FR,NM,
