Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,SF,SF.1,PF,GF,Tot
"Armstrong, Barry",2,-,2,1,,3,-,-,-,,-,,,,1,1,1,1,1,-,-,,1,1,-,-,15.0
"Austin, Rod",,,,,,-,-,-,,,,-,,,,,,,,,,,,,,,
"Chandler, Neil",,,,,,,,,,,,,,,,,-,-,,,,,,,1,1,2.0
"Crane, Gary",,,,,,,,,,1,-,-,-,-,-,,-,,,-,-,,,,,-,1.0
"Crosswell, Brent",4,3,5,-,-,,,,,-,-,,1,-,3,2,-,-,,,,-,,,,,18.0
"Dickson, David",,,-,-,-,3,-,-,1,1,1,-,-,-,-,3,1,-,-,1,1,-,-,-,-,1,13.0
"Doull, Bruce",-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.0
"Fyffe, Peter",,-,-,,,,-,-,1,-,,,,-,,-,,,,,,,,,,,1.0
"Gallagher, Adrian",1,1,4,3,1,2,1,-,,,,1,1,2,4,1,1,1,2,1,2,1,2,1,-,1,34.0
"Gill, Barry",,,,,,,-,,-,-,,,,,,,,,,,,,,,,,
"Hall, Kevin",-,,,,,-,,,-,-,,,,,,,,-,-,-,-,-,-,-,-,1,1.0
"Hall, Peter",,,,,,,,,,,,,,,,,,,,-,2,-,,,,,2.0
"Hurst, Paul",-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,-,-,-,-,-,-,-,
"Jackson, Syd",-,1,-,3,-,4,-,-,-,-,,1,-,,2,-,2,1,-,1,1,-,,1,2,2,21.0
"Jesaulenko, Alex",-,-,1,-,1,-,-,2,2,-,-,,1,1,,7,-,-,1,1,1,-,-,1,7,7,33.0
"Jones, Peter",-,1,2,1,2,,,1,2,2,2,1,2,3,1,-,2,2,3,1,-,1,2,2,1,-,34.0
"Kennedy, Greg",1,2,,3,4,7,3,5,1,4,2,4,,1,3,,4,2,2,8,12,5,1,1,1,,76.0
"Keogh, Trevor",-,-,-,-,2,1,1,3,2,-,1,-,3,1,1,-,-,1,-,-,1,2,-,1,-,3,23.0
"Lukas, Andrew",,,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,,,1,1,-,-,-,3.0
"McKay, David",-,1,-,-,-,-,-,-,1,-,-,2,-,-,-,2,-,1,1,4,2,-,1,1,1,-,17.0
"Nicholls, John",-,-,-,1,1,-,2,-,3,-,-,,1,2,2,-,2,2,-,2,-,1,-,-,3,6,28.0
"OBrien, Paul",,,,,,,,,,,,-,,,,,,,,,,,,,,,
"OConnell, John",-,-,-,-,-,,,,,,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,
"Pascoe, Eric",,,,,,1,,,,,,,,,,,,,,,,,,,,,1.0
"Pinnell, Phillip",-,-,-,-,-,-,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
"Quirk, Bryan",-,-,1,-,-,,1,-,-,1,-,-,-,-,-,1,,-,,,,,-,,,,4.0
"Robertson, Ian",1,2,,,,,,,,,-,1,1,1,1,1,,,-,-,-,-,-,-,-,-,8.0
"Southby, Geoff",-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Waite, Vin",-,-,-,-,-,-,-,1,,,-,-,-,-,,-,-,-,-,,,,-,-,-,-,1.0
"Walls, Robert",2,-,3,3,2,1,-,2,1,3,1,3,-,2,1,2,4,,3,4,2,2,-,-,-,6,47.0
"Walsh, Brian",,,,,,,2,-,2,-,,-,,,,,,,-,,,,,,,,4.0
"Warburton, Peter",,,,,-,-,,,,,,,,,,,,,,,,,,,,,
"Warden, John",,,,,,,,,-,,,,,,-,,,,,,,,,,,,
Totals,11,11,18,15,13,22,10,14,16,13,7,13,10,13,20,20,17,11,13,23,24,13,8,9,16,28,388.0
Opponent,FI,CW,SM,RI,ES,GE,ME,SK,NM,HW,FO,FI,CW,RI,SM,ES,GE,ME,SK,NM,HW,FO,RI,RI,SK,RI,
