Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,SF,SF.1,PF,GF,Tot
"Armstrong, Barry",2,1,1,-,,-,-,-,-,,-,,,,-,-,-,-,2,2,-,,2,1,-,-,11.0
"Austin, Rod",,,,,,-,-,-,,,,-,,,,,,,,,,,,,,,
"Chandler, Neil",,,,,,,,,,,,,,,,,-,1,,,,,,,1,-,2.0
"Crane, Gary",,,,,,,,,,-,-,1,2,-,-,,-,,,-,-,,,,,-,3.0
"Crosswell, Brent",-,4,5,2,-,,,,,-,1,,1,-,2,-,-,-,,,,1,,,,,16.0
"Dickson, David",,,-,-,-,-,1,2,-,-,1,1,-,-,-,1,1,-,-,-,-,-,-,-,-,-,7.0
"Doull, Bruce",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Fyffe, Peter",,-,-,,,,-,-,-,-,,,,-,,-,,,,,,,,,,,
"Gallagher, Adrian",-,1,2,-,-,-,-,-,,,,-,-,1,-,3,3,-,1,-,-,-,-,-,1,1,13.0
"Gill, Barry",,,,,,,-,,-,-,,,,,,,,,,,,,,,,,
"Hall, Kevin",-,,,,,-,,,-,-,,,,,,,,-,-,-,-,-,-,-,2,1,3.0
"Hall, Peter",,,,,,,,,,,,,,,,,,,,1,-,-,,,,,1.0
"Hurst, Paul",-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,-,-,-,-,-,1,-,1.0
"Jackson, Syd",1,1,1,4,4,1,-,-,2,-,,-,-,,-,-,2,3,-,-,4,1,,-,4,1,29.0
"Jesaulenko, Alex",2,-,2,-,-,-,1,2,1,1,1,,1,-,,3,1,2,-,1,-,-,3,2,3,-,26.0
"Jones, Peter",1,-,1,-,-,,,2,2,-,1,1,-,-,-,-,1,1,2,1,1,1,1,-,-,-,16.0
"Kennedy, Greg",6,-,,-,1,6,3,3,1,-,6,2,,2,1,,5,-,3,4,3,3,2,1,-,,52.0
"Keogh, Trevor",1,-,2,-,2,2,1,2,1,1,1,2,1,1,2,2,1,1,-,-,1,-,1,2,-,3,30.0
"Lukas, Andrew",,,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,,,1,-,-,-,-,2.0
"McKay, David",-,-,-,-,-,-,3,-,1,-,-,-,-,1,-,-,-,3,2,1,-,1,-,1,-,-,13.0
"Nicholls, John",1,-,-,-,1,-,2,-,1,3,-,,1,1,1,-,1,-,1,1,1,-,1,2,-,1,19.0
"OBrien, Paul",,,,,,,,,,,,-,,,,,,,,,,,,,,,
"OConnell, John",-,-,-,-,-,,,,,,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,
"Pascoe, Eric",,,,,,1,,,,,,,,,,,,,,,,,,,,,1.0
"Pinnell, Phillip",-,-,1,-,-,-,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,1.0
"Quirk, Bryan",-,1,-,1,-,,-,1,-,2,-,-,-,-,-,-,,-,,,,,-,,,,5.0
"Robertson, Ian",1,1,,,,,,,,,2,3,2,1,-,-,,,-,-,1,-,-,1,-,-,12.0
"Southby, Geoff",-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Waite, Vin",-,-,-,-,-,-,-,-,,,-,-,-,-,,-,-,-,-,,,,-,-,-,-,
"Walls, Robert",-,-,3,5,1,4,3,1,4,-,2,2,2,2,2,2,1,,5,-,1,-,1,4,1,1,47.0
"Walsh, Brian",,,,,,,1,1,-,-,,-,,,,,,,-,,,,,,,,2.0
"Warburton, Peter",,,,,-,-,,,,,,,,,,,,,,,,,,,,,
"Warden, John",,,,,,,,,-,,,,,,-,,,,,,,,,,,,
Totals,15,9,18,12,9,14,15,14,13,7,15,12,10,9,8,12,16,11,16,11,12,8,11,14,13,8,312.0
Opponent,FI,CW,SM,RI,ES,GE,ME,SK,NM,HW,FO,FI,CW,RI,SM,ES,GE,ME,SK,NM,HW,FO,RI,RI,SK,RI,
