Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,SF,SF.1,PF,GF,Tot
"Armstrong, Barry",2,-,1,-,,2,3,-,-,,1,,,,3,-,-,2,2,-,-,,1,-,1,2,20.0
"Austin, Rod",,,,,,-,-,-,,,,-,,,,,,,,,,,,,,,
"Chandler, Neil",,,,,,,,,,,,,,,,,1,4,,,,,,,2,4,11.0
"Crane, Gary",,,,,,,,,,3,-,7,1,1,1,,1,,,2,1,,,,,1,18.0
"Crosswell, Brent",2,1,3,3,4,,,,,6,1,,1,7,4,3,6,-,,,,6,,,,,47.0
"Dickson, David",,,2,-,-,-,2,4,2,4,4,8,4,-,1,2,7,3,4,4,3,3,2,3,2,4,68.0
"Doull, Bruce",3,1,4,2,3,4,3,3,6,3,2,7,7,3,9,5,1,1,6,4,2,3,2,2,6,2,94.0
"Fyffe, Peter",,-,1,,,,-,1,1,-,,,,2,,-,,,,,,,,,,,5.0
"Gallagher, Adrian",4,3,2,1,1,3,2,-,,,,4,-,1,1,2,1,1,-,3,1,-,2,-,-,-,32.0
"Gill, Barry",,,,,,,5,,2,-,,,,,,,,,,,,,,,,,7.0
"Hall, Kevin",1,,,,,1,,,4,5,,,,,,,,1,2,2,1,3,-,2,3,4,29.0
"Hall, Peter",,,,,,,,,,,,,,,,,,,,-,1,-,,,,,1.0
"Hurst, Paul",1,-,4,2,1,4,2,-,5,2,3,3,3,-,,,,,,3,2,2,-,-,1,4,42.0
"Jackson, Syd",-,-,-,1,1,1,3,-,2,1,,4,-,,-,1,-,1,2,2,7,1,,-,1,1,29.0
"Jesaulenko, Alex",3,2,3,2,3,2,2,1,8,3,5,,2,3,,1,4,4,2,8,5,4,6,2,2,2,79.0
"Jones, Peter",4,3,4,3,2,,,4,3,1,3,10,3,1,4,1,7,5,4,2,3,2,-,3,5,2,79.0
"Kennedy, Greg",2,-,,1,-,1,2,3,4,1,-,4,,3,1,,1,3,2,1,5,1,2,-,-,,37.0
"Keogh, Trevor",1,3,4,1,4,5,6,3,3,2,4,7,2,1,3,-,4,4,1,1,-,2,2,4,1,-,68.0
"Lukas, Andrew",,,-,-,1,3,3,1,1,2,3,6,3,1,2,4,3,2,1,,,-,1,2,-,-,39.0
"McKay, David",8,1,3,1,2,3,1,1,4,1,1,3,5,4,1,2,4,1,2,5,1,2,3,4,2,1,66.0
"Nicholls, John",4,4,6,1,1,7,3,-,2,1,3,,3,7,4,2,6,6,5,4,2,3,3,3,3,1,84.0
"OBrien, Paul",,,,,,,,,,,,1,,,,,,,,,,,,,,,1.0
"OConnell, John",1,-,-,3,-,,,,,,1,3,-,,3,4,2,2,1,4,1,4,2,2,6,1,40.0
"Pascoe, Eric",,,,,,2,,,,,,,,,,,,,,,,,,,,,2.0
"Pinnell, Phillip",3,-,4,2,5,3,,,,,1,2,3,4,4,2,-,3,3,4,2,4,7,1,,,57.0
"Quirk, Bryan",3,1,-,1,-,,5,2,1,-,2,5,3,-,2,-,,-,,,,,-,,,,25.0
"Robertson, Ian",2,1,,,,,,,,,-,7,4,5,12,3,,,3,6,9,2,3,2,6,7,72.0
"Southby, Geoff",-,-,-,-,1,1,2,2,2,1,1,,1,4,1,-,2,-,4,3,-,1,2,1,1,3,33.0
"Waite, Vin",1,1,1,2,1,5,3,1,,,5,4,5,5,,2,2,4,6,,,,2,4,5,4,63.0
"Walls, Robert",2,-,1,1,3,3,3,1,2,-,2,1,3,1,2,1,3,,-,2,-,3,2,1,-,5,42.0
"Walsh, Brian",,,,,,,2,-,5,-,,2,,,,,,,-,,,,,,,,9.0
"Warburton, Peter",,,,,-,1,,,,,,,,,,,,,,,,,,,,,1.0
"Warden, John",,,,,,,,,-,,,,,,2,,,,,,,,,,,,2.0
Totals,47,21,43,27,33,51,52,27,57,36,42,88,53,53,60,35,55,47,50,60,46,46,42,36,47,48,1202.0
Opponent,FI,CW,SM,RI,ES,GE,ME,SK,NM,HW,FO,FI,CW,RI,SM,ES,GE,ME,SK,NM,HW,FO,RI,RI,SK,RI,
