Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,SF,GF,Tot
"Anderson, Graeme",,,,,,,,3,-,3,1,3,,1,-,-,,,,,,,11.0
"Auchettl, Ron",,,,,,-,2,2,1,-,3,-,1,,,,1,2,2,5,,,19.0
"Barassi, Ron",3,2,1,,1,,,,,,,,,2,2,2,5,2,2,,,,22.0
"Bennett, Bill",,,,,,,,,,1,,,,,,2,-,,3,3,-,-,9.0
"Bishop, Noel",,,-,,,,,,,,,-,,,,,,,,,,,
"Board, Terry",,,,1,1,3,-,1,,,,,,,,,-,-,,,,,6.0
"Casey, Gordon",,,,,,,,,,,,,,,,,,,-,,,,
"Chandler, Neil",,,,,,,,,,,,,,-,1,-,2,2,3,-,-,-,8.0
"Collins, Ian",3,1,-,1,-,1,2,4,2,1,-,2,-,2,2,2,-,2,2,1,1,1,30.0
"Crane, Gary",3,3,2,1,2,1,-,2,1,5,,,,,2,1,1,2,4,4,3,3,40.0
"Crosswell, Brent",2,2,1,1,5,-,1,1,1,-,-,3,2,1,3,2,3,,,,1,2,31.0
"Edmond, Bob",4,2,1,1,3,1,,,,,,,,,1,,,,,,,,13.0
"Gallagher, Adrian",2,5,2,3,2,7,2,3,1,4,1,5,3,1,3,4,3,3,8,1,2,1,66.0
"Gill, Barry",,,,,,,,,,,-,-,-,2,,,,1,-,-,1,2,6.0
"Goold, John",1,3,1,2,2,2,3,,1,4,1,,1,,-,1,3,2,1,3,1,1,33.0
"Hall, Kevin",1,-,3,1,2,,1,1,1,,-,-,1,,1,1,,,,,2,-,15.0
"Hopkins, Ted",,,,,,,,-,-,-,,1,,1,,,,,,,,,2.0
"Jesaulenko, Alex",1,,,,2,1,3,3,-,-,6,,2,,2,2,1,,,1,-,3,27.0
"Jones, Peter",2,4,2,1,,,1,3,-,-,1,-,2,2,1,2,3,2,6,2,1,3,38.0
"Kekovich, Brian",2,,,3,-,3,1,2,3,1,-,3,2,,,,3,3,-,2,-,5,33.0
"Kerr, Peter",1,2,1,1,,1,-,,,,4,1,2,,,,-,1,,,,,14.0
"Lofts, Wes",3,1,-,3,-,1,-,1,-,-,2,1,2,1,,3,1,2,,-,-,3,24.0
"McLean, Peter",,,,1,,1,,-,,1,-,1,,-,-,,-,1,2,-,-,-,7.0
"Munari, Dennis",1,1,,,,,,,-,2,3,-,3,-,4,-,,,5,-,,2,21.0
"Nicholls, John",2,6,5,4,1,1,1,1,2,1,1,,5,2,2,1,3,2,4,2,5,2,53.0
"Nicoll, Ian",,-,5,,-,,,,,,,,,,,,,,,,3,,8.0
"Quirk, Bryan",1,4,2,2,1,1,,,,,,,,3,3,3,1,1,4,3,1,3,33.0
"Robertson, Ian",1,3,1,3,3,4,2,2,2,,4,2,4,3,-,2,,4,4,1,2,1,48.0
"Silvagni, Sergio",1,2,1,3,2,1,2,3,2,4,1,1,2,3,2,5,-,1,2,-,1,3,42.0
"Smith, Peter",,2,-,3,-,2,1,,,,,1,1,-,,,,,,-,,,10.0
"Stewart, Cliff",,,,,,,3,5,2,3,2,,3,6,1,,,2,,,,,27.0
"Stone, Ron",4,2,2,-,1,-,-,1,-,,,2,,1,,,,,,,,,13.0
"Waite, Vin",,,,,,,,,,-,,,-,,1,-,,,-,,,,1.0
"Walls, Robert",-,1,2,2,2,2,-,1,-,-,1,1,2,4,,2,1,-,1,1,2,1,26.0
Totals,38,46,32,37,30,33,25,39,19,30,31,27,38,35,31,35,31,35,53,29,26,36,736.0
Opponent,GE,RI,ES,HW,FO,SM,CW,FI,NM,SK,ME,GE,RI,ES,HW,FO,SM,CW,FI,NM,ES,ES,
