Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,SF,GF,Tot
"Anderson, Graeme",,,,,,,,-,-,-,-,-,,-,-,-,,,,,,,
"Auchettl, Ron",,,,,,-,1,-,-,-,-,-,-,,,,-,-,-,-,,,1.0
"Barassi, Ron",-,-,2,,-,,,,,,,,,2,2,1,-,1,2,,,,10.0
"Bennett, Bill",,,,,,,,,,-,,,,,,-,-,,-,-,-,-,
"Bishop, Noel",,,-,,,,,,,,,-,,,,,,,,,,,
"Board, Terry",,,,-,-,-,-,-,,,,,,,,,-,-,,,,,
"Casey, Gordon",,,,,,,,,,,,,,,,,,,-,,,,
"Chandler, Neil",,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,
"Collins, Ian",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Crane, Gary",-,-,-,-,-,-,-,-,-,-,,,,,-,-,-,-,-,-,-,-,
"Crosswell, Brent",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,,,,-,-,1.0
"Edmond, Bob",-,-,-,-,10,7,,,,,,,,,-,,,,,,,,17.0
"Gallagher, Adrian",-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.0
"Gill, Barry",,,,,,,,,,,-,-,-,-,,,,-,-,-,-,-,
"Goold, John",-,-,-,-,-,-,-,,-,-,-,,-,,-,-,-,-,-,-,-,-,
"Hall, Kevin",-,-,-,-,-,,-,-,-,,-,-,-,,2,-,,,,,-,-,2.0
"Hopkins, Ted",,,,,,,,-,-,-,,-,,-,,,,,,,,,
"Jesaulenko, Alex",-,,,,-,-,-,-,-,-,-,,-,,-,-,-,,,-,-,-,
"Jones, Peter",24,12,20,15,,,15,15,14,15,12,17,12,16,12,8,15,12,21,25,18,19,317.0
"Kekovich, Brian",-,,,-,-,-,-,-,-,-,-,-,-,,,,-,-,-,-,-,-,
"Kerr, Peter",1,-,-,-,,-,-,,,,-,-,-,,,,-,-,,,,,1.0
"Lofts, Wes",-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,,-,-,-,
"McLean, Peter",,,,-,,-,,-,,-,-,-,,-,-,,-,1,-,-,-,-,1.0
"Munari, Dennis",-,-,,,,,,,-,-,-,-,-,-,-,-,,,-,-,,-,
"Nicholls, John",28,21,25,20,29,31,23,20,28,20,28,,15,22,23,17,32,29,25,31,26,31,524.0
"Nicoll, Ian",,-,-,,-,,,,,,,,,,,,,,,,-,,
"Quirk, Bryan",-,-,-,-,-,-,,,,,,,,-,1,-,-,-,-,-,-,-,1.0
"Robertson, Ian",-,-,-,-,-,-,-,-,1,,-,-,-,-,-,-,,-,-,-,-,-,1.0
"Silvagni, Sergio",1,-,7,1,-,1,2,1,-,1,1,4,1,1,-,-,-,2,2,1,1,-,27.0
"Smith, Peter",,-,-,-,-,-,-,,,,,-,-,-,,,,,,-,,,
"Stewart, Cliff",,,,,,,-,-,-,-,-,,-,-,-,,,-,,,,,
"Stone, Ron",-,-,2,1,4,-,-,-,-,,,6,,-,,,,,,,,,13.0
"Waite, Vin",,,,,,,,,,-,,,-,,1,-,,,-,,,,1.0
"Walls, Robert",-,-,1,-,-,-,-,-,-,1,-,-,-,-,,-,-,1,-,-,1,-,4.0
Totals,54,33,58,37,43,39,41,36,43,37,41,27,28,41,41,27,47,46,50,57,46,50,922.0
Opponent,GE,RI,ES,HW,FO,SM,CW,FI,NM,SK,ME,GE,RI,ES,HW,FO,SM,CW,FI,NM,ES,ES,
