Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,QF,SF,PF,GF,Tot
"Armstrong, Steven",,,,,,,,,,,,,-,,,,3,1,-,-,,4,1,-,-,1,10.0
"Banfield, Drew",,,,,,,,,-,-,-,-,-,,1,-,-,,,-,-,1,-,,-,-,2.0
"Braun, Michael",-,-,1,-,-,-,-,-,-,-,-,-,,1,-,1,1,-,-,-,-,-,-,-,-,-,4.0
"Butler, Sam",,,,,,,,,,,,,-,-,-,1,1,-,-,-,-,3,-,-,1,-,6.0
"Chick, Daniel",-,,-,1,3,1,1,5,1,-,1,1,-,-,,-,-,-,-,,-,-,-,-,-,-,14.0
"Cousins, Ben",1,2,-,,,,1,-,-,1,1,-,-,2,-,,2,-,1,-,3,1,1,1,1,2,20.0
"Cox, Dean",2,-,2,1,2,-,1,1,1,1,-,-,-,,,,,,1,-,-,1,-,1,-,-,14.0
"Embley, Andrew",2,-,3,1,1,2,1,1,1,2,2,-,2,2,-,-,,-,3,3,-,,,1,2,2,31.0
"Fletcher, Chad",-,1,-,-,-,-,-,-,-,-,-,1,-,-,-,,,1,1,-,-,1,-,-,-,-,5.0
"Gardiner, Michael",,,,,,,,,,,,,-,1,-,,,,,,,,,,,,1.0
"Glass, Darren",-,-,-,-,-,-,-,-,-,-,-,-,1,-,,-,-,-,-,-,-,-,-,-,-,-,1.0
"Graham, Jaymie",-,3,1,-,1,1,-,1,-,1,-,-,-,1,-,-,-,-,-,-,-,-,-,,-,,9.0
"Hansen, Ashley",-,,,,,,2,3,2,-,1,,,1,-,,3,1,-,,,,,1,1,2,17.0
"Hunter, Adam",-,-,2,4,2,-,-,-,-,2,4,-,2,-,1,-,,,,,-,1,2,4,4,1,29.0
"Hurn, Shannon",,,,,1,-,,-,,,,-,,,-,-,,,,,,,,,,,1.0
"Jones, Brett",,-,,-,-,-,,,,,,,,,-,-,-,-,,-,-,-,-,-,-,-,
"Jones, Rowan",-,1,1,1,-,1,-,,,2,1,1,-,,-,-,-,-,-,1,-,-,-,-,-,-,9.0
"Judd, Chris",-,-,1,1,4,1,3,1,1,,,,1,1,1,-,3,3,-,-,1,3,2,1,-,1,29.0
"Kerr, Daniel",1,-,-,-,,-,-,-,2,1,-,-,-,-,,1,2,2,1,-,,,,-,1,-,11.0
"LeCras, Mark",,,,,,,,,,,,,,-,-,,,,,,,5,-,,,,5.0
"Lynch, Quinten",1,1,2,-,1,-,5,4,1,1,3,2,-,5,2,2,4,1,4,8,2,4,2,6,1,3,65.0
"McDougall, Andrew",,,,,,,,,,,,,,,,1,,,,,,,,,,,1.0
"Morton, Mitch",,,,,,,,,,,,,,,,,1,,,,,,,,,,1.0
"Nicoski, Mark",-,-,1,-,,,-,-,1,1,1,1,-,-,,,,,,,,,,,,,5.0
"Priddis, Matt",,,,,,,,,,-,,-,,,,,,,,,,,,,,,
"Rosa, Matt",,-,-,-,-,1,-,-,-,1,-,,-,,,-,,,,,,1,-,-,,,3.0
"Sampi, Ashley",1,2,3,-,-,-,1,,,,,,,,,,2,2,1,-,-,,,,,,12.0
"Seaby, Mark",-,-,1,-,-,2,-,-,-,,-,-,,-,-,3,1,-,1,2,-,1,,-,-,-,11.0
"Selwood, Adam",1,-,-,1,1,-,-,-,-,-,-,-,1,1,2,-,-,-,-,1,-,-,-,-,-,-,8.0
"Staker, Brent",1,3,-,1,1,3,-,-,2,-,1,2,1,-,-,2,2,1,1,-,2,-,1,,,,24.0
"Stenglein, Tyson",1,-,-,-,-,-,1,-,-,3,-,-,-,-,1,-,1,1,-,1,-,-,1,-,-,-,10.0
"Waters, Beau",-,-,1,-,-,,,-,1,-,-,-,,1,1,1,-,-,-,-,-,-,2,1,-,-,8.0
"Wirrpanda, David",-,-,1,3,-,-,-,-,-,-,1,-,-,1,-,1,-,1,-,-,-,,-,-,,-,8.0
"Wooden, Josh",,,,,1,-,,,,,,,,,,,,,,,,,,,,,1.0
Totals,11,13,20,14,18,12,16,16,13,16,16,8,8,17,9,13,26,14,14,16,8,26,12,16,11,12,375.0
Opponent,SK,AD,RI,KA,BL,FR,CW,ES,ME,GE,CA,PA,WB,HW,SY,CW,AD,SK,KA,BL,FR,RI,SY,WB,AD,SY,
