Player,R1,R2,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R19,R20,R21,R22,EF,SF,PF,Tot
"Anderson, Greg",-,-,1,1,1,1,-,-,-,-,1,1,-,,-,-,1,1,2,1,2,-,1,14.0
"Bickley, Mark",-,-,-,-,1,-,-,-,-,1,-,1,1,2,-,-,-,-,1,1,-,1,-,9.0
"Bone, Randall",,,,,,,,,,,-,1,-,1,-,,-,-,,-,-,-,,2.0
"Brown, David",-,-,1,1,-,1,,,,-,1,,,,,,2,2,-,3,-,1,3,15.0
"Groom, Chris",-,1,1,-,1,,,-,,,,,,,,-,,,,,,,,3.0
"Hart, Ben",-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,,,,-,1.0
"Hodges, Scott",,,,2,-,1,,,1,-,,,5,5,1,-,,,,,,,1,16.0
"Ingerson, Anthony",,,,,,,,,,,,,,,,,3,,,,,,,3.0
"Jameson, Rod",-,1,-,-,,-,-,-,-,-,1,-,-,-,-,-,,-,-,-,-,,,2.0
"Jarman, Andrew",-,1,1,1,-,1,1,-,1,-,1,,1,2,-,-,1,2,-,1,-,-,2,16.0
"Lee, Scott",-,-,-,-,-,-,-,-,-,1,-,-,1,-,-,-,-,-,-,-,-,-,-,2.0
"Liptak, Matthew",2,1,2,-,1,1,2,1,-,,,-,-,-,2,,2,-,-,2,2,-,2,20.0
"Maynard, Rodney",1,-,-,-,-,-,-,-,-,1,-,2,-,,,,,,-,,,-,-,4.0
"McDermott, Chris",1,1,-,-,-,1,-,-,-,-,-,-,2,-,-,1,-,2,-,-,-,-,-,8.0
"McGuinness, Tony",-,-,1,-,-,1,2,1,2,-,1,2,2,-,-,3,1,-,-,1,1,2,1,21.0
"Mickan, Mark",,,,,,,2,1,,,,,,,,,,,,,,,,3.0
"Modra, Tony",3,1,2,2,3,1,1,-,5,5,3,5,2,1,4,4,2,9,1,3,2,1,1,61.0
"Patterson, Paul",,,,,,,,-,-,,,,,,,,,,,,,,,
"Pittman, David",-,-,1,-,-,-,,,,-,,,,-,-,-,-,-,-,-,-,-,-,1.0
"Powell, Matthew",,,,,,,,,,,,-,,,,-,,,,,,,,
"Rehn, Shaun",-,,,,,,-,-,-,,-,-,-,-,-,-,-,1,-,-,1,-,1,3.0
"Ricciuto, Mark",,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Robran, Matthew",,,,-,-,-,-,,2,1,1,-,-,,,,,,,,,,,4.0
"Ross, Jonathan",,-,,,,,,,,,,,,,,,,,,,,,,
"Rouvray, Paul",-,-,-,-,-,,-,,,1,-,-,,,,,,,,,,,,1.0
"Rowe, Stephen",1,1,-,3,,,-,1,1,2,-,1,1,2,2,-,,,-,,,,,15.0
"Sanderson, Brenton",,,,,,,,,,,,,,,,,-,1,,,,,,1.0
"Schwerdt, Stephen",,,,,,,,,,,,,,1,-,,-,,,,,,,1.0
"Smart, Nigel",-,-,-,,-,-,-,-,-,2,-,3,-,-,-,1,1,2,4,1,2,-,1,17.0
"Tasker, Sean",,,-,,,-,,,,,,,,,,,,,,-,-,2,,2.0
"Tregenza, Simon",1,1,-,-,2,-,-,-,-,-,-,-,-,-,1,-,1,-,-,1,-,-,-,7.0
"Viska, Mark",,,,,,,,,-,-,-,-,-,-,,-,-,-,,-,-,-,-,
"Weidemann, Wayne",-,-,-,-,1,1,-,-,,,,,,-,-,-,,2,-,3,2,2,1,12.0
"Wigney, Stuart",,,,,,,,,,,,,,,,,,,2,1,1,1,-,5.0
Totals,9,8,10,10,10,9,8,4,12,15,9,16,15,14,10,9,14,22,10,18,13,10,14,269.0
Opponent,RI,WC,FI,ME,HW,CW,NM,ES,BB,FO,CA,GE,SY,SK,RI,WC,FI,ME,HW,CW,HW,CA,ES,
