Player,R1,R2,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R19,R20,R21,R22,EF,SF,PF,Tot
"Anderson, Greg",-,-,-,-,-,-,-,-,1,-,-,1,-,,-,1,-,-,-,-,-,-,-,3.0
"Bickley, Mark",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Bone, Randall",,,,,,,,,,,-,3,2,6,1,,-,1,,-,5,-,,18.0
"Brown, David",-,-,-,-,-,-,,,,-,-,,,,,,-,-,-,-,-,-,-,
"Groom, Chris",4,2,4,3,-,,,-,,,,,,,,1,,,,,,,,14.0
"Hart, Ben",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,-,
"Hodges, Scott",,,,2,4,-,,,1,1,,,1,-,-,-,,,,,,,-,9.0
"Ingerson, Anthony",,,,,,,,,,,,,,,,,-,,,,,,,
"Jameson, Rod",-,-,-,-,,1,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,,,1.0
"Jarman, Andrew",-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,
"Lee, Scott",-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.0
"Liptak, Matthew",-,-,-,-,1,-,-,-,-,,,-,-,1,-,,-,-,-,-,-,-,-,2.0
"Maynard, Rodney",-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,-,,,-,-,
"McDermott, Chris",-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,1.0
"McGuinness, Tony",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Mickan, Mark",,,,,,,6,7,,,,,,,,,,,,,,,,13.0
"Modra, Tony",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Patterson, Paul",,,,,,,,-,-,,,,,,,,,,,,,,,
"Pittman, David",21,20,24,5,24,1,,,,9,,,,7,2,7,5,1,2,1,1,-,-,130.0
"Powell, Matthew",,,,,,,,,,,,-,,,,-,,,,,,,,
"Rehn, Shaun",8,,,,,,16,12,5,,8,19,18,18,18,17,8,19,16,25,17,15,14,253.0
"Ricciuto, Mark",,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Robran, Matthew",,,,6,1,11,3,,2,5,-,4,-,,,,,,,,,,,32.0
"Ross, Jonathan",,1,,,,,,,,,,,,,,,,,,,,,,1.0
"Rouvray, Paul",-,-,-,-,-,,-,,,-,-,-,,,,,,,,,,,,
"Rowe, Stephen",-,-,-,-,,,-,-,-,-,-,-,-,-,-,-,,,-,,,,,
"Sanderson, Brenton",,,,,,,,,,,,,,,,,-,-,,,,,,
"Schwerdt, Stephen",,,,,,,,,,,,,,-,-,,-,,,,,,,
"Smart, Nigel",1,-,-,,-,2,-,-,2,-,-,5,-,2,3,2,-,2,4,3,-,2,1,29.0
"Tasker, Sean",,,-,,,-,,,,,,,,,,,,,,-,-,-,,
"Tregenza, Simon",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Viska, Mark",,,,,,,,,-,-,-,-,-,-,,-,-,-,,-,-,-,-,
"Weidemann, Wayne",-,-,-,-,-,-,-,-,,,,,,-,-,-,,-,-,-,-,-,-,
"Wigney, Stuart",,,,,,,,,,,,,,,,,,,-,1,-,-,1,2.0
Totals,34,23,28,17,30,15,25,19,11,15,8,32,21,35,24,28,13,23,22,30,23,17,16,509.0
Opponent,RI,WC,FI,ME,HW,CW,NM,ES,BB,FO,CA,GE,SY,SK,RI,WC,FI,ME,HW,CW,HW,CA,ES,
