Player,R1,R2,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R19,R20,R21,R22,EF,SF,PF,Tot
"Anderson, Greg",-,-,-,-,-,-,-,-,2,-,-,1,-,,-,-,-,3,-,-,-,-,-,6.0
"Bickley, Mark",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,2,-,-,-,-,4.0
"Bone, Randall",,,,,,,,,,,-,-,-,-,-,,-,-,,-,-,-,,
"Brown, David",-,-,-,-,-,-,,,,-,-,,,,,,-,-,-,-,-,-,-,
"Groom, Chris",-,-,-,-,-,,,-,,,,,,,,-,,,,,,,,
"Hart, Ben",-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,,,,-,1.0
"Hodges, Scott",,,,-,-,-,,,-,-,,,-,-,-,-,,,,,,,-,
"Ingerson, Anthony",,,,,,,,,,,,,,,,,-,,,,,,,
"Jameson, Rod",-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,,,
"Jarman, Andrew",1,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,1.0
"Lee, Scott",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Liptak, Matthew",-,-,-,-,-,-,-,-,-,,,-,-,-,-,,-,-,-,-,-,-,-,
"Maynard, Rodney",2,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,-,,,-,-,2.0
"McDermott, Chris",-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2.0
"McGuinness, Tony",-,-,1,-,-,-,-,-,3,-,-,-,3,-,-,-,-,1,-,3,-,-,-,11.0
"Mickan, Mark",,,,,,,-,-,,,,,,,,,,,,,,,,
"Modra, Tony",3,-,-,-,-,-,3,-,-,1,-,-,-,-,3,-,-,-,-,1,-,-,-,11.0
"Patterson, Paul",,,,,,,,-,-,,,,,,,,,,,,,,,
"Pittman, David",-,3,-,-,-,-,,,,-,,,,-,-,-,-,-,-,-,-,-,-,3.0
"Powell, Matthew",,,,,,,,,,,,-,,,,-,,,,,,,,
"Rehn, Shaun",-,,,,,,-,-,-,,-,3,1,3,2,-,-,2,-,-,-,-,-,11.0
"Ricciuto, Mark",,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Robran, Matthew",,,,-,-,-,-,,-,-,-,-,-,,,,,,,,,,,
"Ross, Jonathan",,-,,,,,,,,,,,,,,,,,,,,,,
"Rouvray, Paul",-,-,-,-,-,,-,,,-,-,-,,,,,,,,,,,,
"Rowe, Stephen",-,-,-,-,,,-,-,-,-,-,-,-,-,-,-,,,-,,,,,
"Sanderson, Brenton",,,,,,,,,,,,,,,,,-,-,,,,,,
"Schwerdt, Stephen",,,,,,,,,,,,,,-,-,,-,,,,,,,
"Smart, Nigel",-,-,-,,-,-,-,-,-,3,-,2,-,1,1,-,-,-,-,-,-,-,-,7.0
"Tasker, Sean",,,-,,,-,,,,,,,,,,,,,,-,-,-,,
"Tregenza, Simon",-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,2.0
"Viska, Mark",,,,,,,,,-,-,-,-,-,-,,-,-,-,,-,-,-,-,
"Weidemann, Wayne",-,-,-,-,-,-,-,-,,,,,,-,-,-,,-,-,-,-,-,-,
"Wigney, Stuart",,,,,,,,,,,,,,,,,,,-,-,-,-,-,
Totals,6,5,1,0,0,0,4,0,5,4,0,6,4,6,6,0,2,6,2,4,0,0,0,61.0
Opponent,RI,WC,FI,ME,HW,CW,NM,ES,BB,FO,CA,GE,SY,SK,RI,WC,FI,ME,HW,CW,HW,CA,ES,
