Player,R1,R2,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R19,R20,R21,R22,EF,SF,PF,Tot
"Anderson, Greg",-,3,-,5,1,-,1,-,2,3,3,2,2,,2,-,-,2,2,2,1,1,-,32.0
"Bickley, Mark",1,1,1,-,1,3,2,3,1,-,-,1,-,-,1,-,1,3,-,-,3,1,-,23.0
"Bone, Randall",,,,,,,,,,,-,1,1,-,1,,1,1,,-,-,-,,5.0
"Brown, David",1,1,1,-,2,-,,,,1,-,,,,,,-,-,-,1,1,3,-,11.0
"Groom, Chris",-,1,-,2,1,,,-,,,,,,,,-,,,,,,,,4.0
"Hart, Ben",-,-,1,-,1,-,-,1,1,-,3,1,2,1,2,1,-,2,-,,,,1,17.0
"Hodges, Scott",,,,-,1,-,,,-,-,,,3,1,-,-,,,,,,,-,5.0
"Ingerson, Anthony",,,,,,,,,,,,,,,,,1,,,,,,,1.0
"Jameson, Rod",2,-,-,3,,3,-,-,1,-,1,-,-,-,1,-,,2,1,2,1,,,17.0
"Jarman, Andrew",1,1,-,3,3,1,1,-,1,1,-,,1,1,1,-,1,-,2,1,-,-,1,20.0
"Lee, Scott",1,1,-,1,6,3,2,2,-,-,-,1,1,-,5,-,-,1,1,3,-,-,-,28.0
"Liptak, Matthew",3,1,1,1,-,-,1,1,-,,,-,2,4,-,,-,1,-,3,1,1,1,21.0
"Maynard, Rodney",3,4,1,6,1,-,2,4,-,-,1,1,-,,,,,,-,,,-,2,25.0
"McDermott, Chris",-,2,3,2,-,3,2,-,3,2,1,2,-,2,1,1,1,3,-,4,3,2,1,38.0
"McGuinness, Tony",-,-,3,3,1,2,3,2,2,3,2,-,2,-,1,-,2,2,-,1,3,2,1,35.0
"Mickan, Mark",,,,,,,1,-,,,,,,,,,,,,,,,,1.0
"Modra, Tony",-,1,2,3,3,2,-,-,-,-,1,-,1,3,4,1,-,3,-,1,-,1,-,26.0
"Patterson, Paul",,,,,,,,-,1,,,,,,,,,,,,,,,1.0
"Pittman, David",1,1,2,-,2,-,,,,1,,,,-,2,-,1,3,1,1,1,1,2,19.0
"Powell, Matthew",,,,,,,,,,,,-,,,,3,,,,,,,,3.0
"Rehn, Shaun",2,,,,,,2,4,3,,4,3,3,3,2,1,1,-,4,1,-,3,1,37.0
"Ricciuto, Mark",,,,,1,2,2,3,1,-,-,1,3,1,1,2,3,1,1,2,1,2,3,30.0
"Robran, Matthew",,,,1,1,1,-,,-,2,2,-,-,,,,,,,,,,,7.0
"Ross, Jonathan",,-,,,,,,,,,,,,,,,,,,,,,,
"Rouvray, Paul",1,1,2,1,1,,1,,,-,1,1,,,,,,,,,,,,9.0
"Rowe, Stephen",2,1,2,1,,,-,-,3,1,-,1,2,1,1,2,,,-,,,,,17.0
"Sanderson, Brenton",,,,,,,,,,,,,,,,,-,-,,,,,,
"Schwerdt, Stephen",,,,,,,,,,,,,,1,1,,1,,,,,,,3.0
"Smart, Nigel",-,3,-,,1,1,2,1,3,2,3,4,4,1,2,2,2,1,3,1,-,-,-,36.0
"Tasker, Sean",,,-,,,-,,,,,,,,,,,,,,-,-,1,,1.0
"Tregenza, Simon",-,-,-,-,-,1,1,-,1,1,-,1,-,-,-,1,1,1,1,3,1,2,-,15.0
"Viska, Mark",,,,,,,,,3,-,2,2,1,1,,2,2,1,,1,-,1,2,18.0
"Weidemann, Wayne",1,-,-,2,2,1,1,-,,,,,,-,-,-,,1,-,2,-,2,-,12.0
"Wigney, Stuart",,,,,,,,,,,,,,,,,,,-,1,-,2,-,3.0
Totals,19,22,19,34,29,23,24,21,26,17,24,22,28,20,28,16,18,28,16,30,16,25,15,520.0
Opponent,RI,WC,FI,ME,HW,CW,NM,ES,BB,FO,CA,GE,SY,SK,RI,WC,FI,ME,HW,CW,HW,CA,ES,
