Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R13,R14,Tot
"Aish, James",81,89,83,88,81,80,83,79,76,87,82,70,,81.5/1234:03
"Amiss, Jye",,70,80,72,81,51,75,73,78,72,78,83,82,74.5/1127:14
"Banfield, Bailey",18,75,,83,83,88,80,78,79,80,80,45,85,73.0/1094:06
"Brayshaw, Andrew",78,83,75,82,85,76,84,86,86,70,85,86,88,81.8/1333:16
"Brodie, Will",68,64,,,48,67,73,,,,,,,64.0/398:35
"Chapman, Heath",79,79,54,,,,,,,,,,,70.2/262:42
"Clark, Jordan",82,89,90,82,85,83,83,82,91,84,87,87,86,85.5/1394:02
"Corbett, Josh",,,,,,33,,,,,,,,33.0/43:31
"Cox, Brennan",90,93,85,93,96,93,87,86,87,80,98,90,97,90.3/1472:18
"Darcy, Sean",82,78,78,84,82,82,85,78,84,81,25,,,76.4/1056:23
"Erasmus, Neil",,,,,,,25,75,58,,,,29,46.9/232:45
"Frederick, Michael",83,83,85,,82,82,,73,75,86,83,87,,81.9/1034:58
"Fyfe, Nat",79,,,,,,,32,25,53,80,83,78,61.1/532:49
"Henry, Liam",86,75,83,82,,,,,,,,83,71,80.1/598:49
"Hughes, Ethan",83,81,82,84,88,80,76,80,75,73,77,79,79,79.7/1300:11
"Jackson, Luke",85,88,83,82,83,82,81,84,80,83,88,82,80,83.1/1355:29
"Johnson, Matthew",,,28,29,66,76,75,,,30,73,62,51,54.3/618:49
"ODriscoll, Nathan",,,82,52,,,82,86,80,74,83,78,89,78.3/889:43
"OMeara, Jaeger",68,73,80,61,65,75,81,77,83,80,74,,77,74.6/1119:41
"Pearce, Alex",97,93,96,95,96,100,100,91,91,100,94,92,88,94.9/1547:19
"Ryan, Luke",84,84,80,84,84,84,87,92,87,96,75,76,91,84.9/1384:07
"Schultz, Lachie",82,85,81,77,87,71,76,75,80,86,85,88,83,81.2/1324:28
"Serong, Caleb",82,85,80,82,85,88,83,82,84,84,83,87,85,83.9/1367:18
"Sturt, Sam",,,,,77,80,54,,,,43,73,67,65.8/494:18
"Switkowski, Sam",84,80,72,76,20,,76,79,67,75,77,71,78,71.1/1068:51
"Taberner, Matthew",66,52,76,83,,,,,,,,,,69.5/346:27
"Treacy, Josh",79,,,,,,,57,79,77,81,84,80,76.8/668:02
"Wagner, Corey",,,,,74,74,,,,,,,,74.0/188:22
"Walker, Brandon",,,,75,86,80,86,82,89,86,90,86,76,83.7/1052:13
"Walters, Michael",,37,78,85,87,87,88,86,87,83,,38,76,75.6/1051:46
"Wilson, Nathan",80,81,80,82,,,,,,,,,,80.8/403:42
"Young, Hayden",87,81,88,88,80,86,81,88,79,82,79,91,84,84.2/1372:23
Totals,,,,,,,,,,,,,,
Opponent,SK,NM,WC,AD,GC,WB,BL,HW,SY,GE,ME,RI,GW,
