Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,SF,Tot
"Baggott, Jack",-,-,,,,-,1,1,1,1,-,2,-,1,1,-,1,-,-,9.0
"Bentley, Perce",-,-,-,3,-,-,-,1,-,1,1,-,-,1,1,-,3,2,-,13.0
"Benton, Bill",-,-,-,-,-,2,2,2,4,3,-,5,5,2,-,7,-,1,2,35.0
"Bolger, Martin",,,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,
"Collins, Hope",1,,,,,,,,,,,,,,,,,,,1.0
"Cusack, Ted",,,-,-,,,,,,,,,,,,,,,,
"Dunne, Tom",,-,,,,,,,,,,,,,-,-,-,-,-,
"Empey, Ralph",-,1,-,,,-,,,,,-,,,,,,,,-,1.0
"Fincher, Jack",-,1,,1,,,-,1,-,1,-,1,-,-,-,2,-,-,-,7.0
"Foster, Bert",-,,-,-,-,3,-,-,1,-,-,-,-,-,-,-,-,-,1,5.0
"Geddes, Allan",-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,1.0
"Griffith, Bill",,-,,,,,,,,,,,,,,,,,,
"Harris, Don",-,,-,-,2,-,,,,,,,,-,,,,,,2.0
"Heifner, Fred",-,-,-,1,-,-,-,-,-,1,-,-,-,-,1,-,1,-,-,4.0
"Hunter, Maurie",1,3,2,4,1,-,-,4,2,2,2,4,-,2,-,2,2,2,5,38.0
"Judkins, Stan",,,-,-,-,-,1,-,-,-,-,-,-,-,,,,,-,1.0
"Martin, Ray",,-,-,,,,,,,,,,,,,,,,,
"McCormack, Basil",,,,,,,-,-,-,-,-,-,-,,,,-,-,-,
"Millar, Keith",,,,-,-,-,-,,,,,,,,,,,,,
"Murdoch, Joe",-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"OHalloran, Tom",2,1,4,-,2,,-,-,1,,,-,,,,,-,-,-,10.0
"ONeill, Kevin",-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,1.0
"Oakley, Allan",-,-,-,-,-,-,1,-,-,4,1,-,-,-,1,-,-,-,,7.0
"Ogden, Stan",,,-,,,,,,,,,,,,,,,,,
"Sheahan, Maurie",-,-,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Street, Charlie",,-,-,-,-,,,,,-,-,,2,-,-,-,,,,2.0
"Titus, Jack",3,1,3,4,4,4,4,3,3,1,3,2,-,-,1,6,5,-,3,50.0
"Watson, Carl",-,,,,-,-,-,-,-,-,,-,-,-,-,-,-,-,,
"Weidner, Harry",-,,1,1,2,2,1,2,1,,,-,3,3,3,2,-,2,3,26.0
"Zschech, Eric",,-,,,,,,,,-,-,,,,-,1,,,,1.0
Totals,7,7,10,14,11,11,10,14,14,14,7,15,10,9,8,20,12,7,14,214.0
Opponent,CW,CA,ES,FO,HW,SM,GE,FI,NM,ME,SK,HW,SM,GE,FI,NM,ME,SK,CW,
