Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,SF,GF,Tot
"Armstrong, Barry",,,,,,,,,,,,,,,,-,-,,,,,,
"Auchettl, Ron",,,,,,,,,,-,,,,,,,1,,,,,,1.0
"Baird, Doug",,,,,,,,,,-,,-,-,-,,,,-,,,,,
"Barassi, Ron",,,,,,,-,,,,,,,,,,,,,,,,
"Chandler, Neil",-,,,,,,,,,,,,,-,-,,,-,-,,,,
"Collins, Ian",-,-,-,-,-,-,-,-,-,-,,,,-,,,,-,,,-,-,
"Crane, Gary",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Crosswell, Brent",,-,-,-,-,-,,,,,-,-,,,,-,-,-,1,-,-,-,1.0
"Doull, Bruce",,,,,-,-,-,1,-,,,,,,,,,,-,,,,1.0
"Gallagher, Adrian",-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,1,-,-,2.0
"Gill, Barry",-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1.0
"Goold, John",-,-,,,-,-,-,-,-,-,1,-,-,-,-,,-,-,-,,-,-,1.0
"Hall, Kevin",-,1,-,-,1,1,-,-,-,-,,1,-,,-,,,,1,-,3,-,8.0
"Hopkins, Ted",-,,,,,,,,,,,,,,,,,,,-,,-,
"Jackson, Syd",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,2,-,2.0
"Jesaulenko, Alex",-,-,-,1,-,-,-,-,-,,-,,-,-,-,-,-,1,-,-,4,-,6.0
"Jones, Peter",7,14,8,4,11,7,13,8,11,11,16,12,16,10,10,13,11,6,8,8,1,7,212.0
"Kerr, Peter",-,-,-,-,,-,-,,,,,-,-,,,,,-,,-,,,
"Lofts, Wes",-,-,,,,,-,-,-,-,,,-,-,-,-,-,-,-,1,1,-,2.0
"McKay, David",,,-,,,,,,,8,2,,2,,-,-,,,,,,,12.0
"McLean, Ricky",,,-,-,1,,,,,,-,-,,,,,,,,,,,1.0
"Mewett, Noel",,,,,,,,-,-,,,-,-,-,,,,,,,,,
"Munari, Dennis",-,,,,,,,,,-,-,,,-,,,,,,,-,,
"Nicholls, John",18,27,16,9,19,18,19,20,12,,19,14,27,21,14,18,13,13,15,13,3,16,344.0
"Nicoll, Ian",,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Pinnell, Phillip",,,,,,,,-,-,-,-,-,,,-,-,-,-,,-,1,-,1.0
"Quirk, Bryan",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Robertson, Ian",-,-,-,-,-,,-,-,-,-,1,-,-,-,-,-,-,,-,-,1,-,2.0
"Silvagni, Sergio",-,-,1,-,2,1,1,-,1,-,1,-,-,-,-,2,,1,1,-,1,-,12.0
"Smith, Peter",,,,-,,,,,,,-,,,,,,,,,,,,
"Stone, Ron",,1,,-,1,-,,,,,,,,,,-,1,,,-,,,3.0
"Thornley, Bert",,,-,-,-,-,,,,,,,,,-,-,-,-,-,,,,
"Waite, Vin",-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,1,-,3.0
"Walls, Robert",-,-,-,-,-,-,1,-,-,1,-,-,-,-,-,-,1,1,-,-,2,1,7.0
Totals,25,43,25,14,35,27,34,29,24,20,40,27,46,31,24,33,28,23,26,23,21,24,622.0
Opponent,SK,HW,FO,CW,SM,GE,ME,RI,ES,NM,FI,SK,HW,FO,CW,SM,GE,ME,RI,ES,CW,RI,
