Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,EF,SF,Tot
"Bishop, Matthew",3,,,,6,4,4,1,6,3,4,6,4,2,2,3,6,3,-,,1,6,2,3,69.0
"Brogan, Dean",2,1,2,5,,,,,,,7,,1,2,,,,3,4,5,4,5,2,-,43.0
"Burgoyne, Peter",-,,,1,1,2,-,,,1,1,-,2,1,-,1,1,2,3,-,2,,2,1,21.0
"Burgoyne, Shaun",-,,,,,,,,,,3,1,1,3,3,4,1,3,5,4,2,2,6,3,41.0
"Cassisi, Domenic",2,5,-,3,3,1,1,-,2,1,3,-,2,2,-,3,4,2,-,2,1,1,1,1,40.0
"Chaplin, Troy",,1,,-,,,4,,,,,,,,,,,,,5,2,3,2,5,22.0
"Cochrane, Stuart",-,1,-,2,1,1,,-,2,1,1,1,3,,,,,,,6,,,,,19.0
"Cornes, Chad",5,2,4,,,,,3,2,11,3,6,3,1,5,7,2,4,2,,5,6,3,2,76.0
"Cornes, Kane",4,-,-,2,2,2,2,1,1,1,1,1,-,2,2,1,3,-,1,1,-,2,2,2,33.0
"Dew, Stuart",2,-,4,2,2,1,1,-,1,2,-,-,4,1,-,-,5,-,-,-,1,1,3,-,30.0
"Ebert, Brett",2,1,-,-,-,2,3,-,1,2,1,1,-,2,,2,2,,,-,,,,,19.0
"Eckermann, Ben",,,,,,,1,-,1,-,,,,,,,,,,,,,,,2.0
"Francou, Josh",1,3,-,1,2,2,1,-,1,1,-,2,1,1,-,1,1,-,-,2,,-,-,1,21.0
"Gilham, Stephen",,,,,,,,,,,,,,,,,,-,,,,,,,
"James, Roger",,1,-,-,,,,,2,,,,3,1,-,2,2,-,,,,,,,11.0
"Kingsley, Adam",-,1,4,3,4,1,,,1,-,3,1,-,2,-,2,-,1,5,,-,1,3,-,32.0
"Lade, Brendon",1,1,2,1,2,1,1,2,1,-,-,1,1,-,2,2,2,3,3,3,4,4,-,-,37.0
"Mahoney, Josh",1,,,,3,-,1,-,,,2,-,3,,-,1,2,-,-,1,2,-,-,2,18.0
"Montgomery, Brett",5,3,3,2,7,8,1,3,1,2,3,2,2,5,2,-,,5,8,3,1,3,2,4,75.0
"Pearce, Danyle",,,,,,,,,,,,,,,,,,1,1,1,2,4,-,-,9.0
"Pettigrew, Michael",,1,5,,2,1,2,4,,,,,,,,,-,1,7,2,1,,1,3,30.0
"Pickett, Byron",,,,,,-,1,-,2,1,,-,2,-,-,4,1,,-,,,-,1,1,13.0
"Poulton, Jared",,,2,,,,,,,,,,,,,,,,,,,,,,2.0
"Primus, Matthew",-,1,-,3,1,1,3,1,2,-,2,1,2,3,1,1,2,,,,,-,,,24.0
"Salopek, Steven",,,,,,,3,-,,,,,,,,,,,,-,1,1,-,,5.0
"Shattock, Aaron",-,2,2,-,,,,,3,1,-,,,2,-,3,,,,,,,,,13.0
"Surjan, Jacob",,-,,,-,,,,,,,-,,,,,,,,,,,,,
"Thomson, Adam",,,,,,,,,,,1,-,,,,,,,,,,,,,1.0
"Thurstans, Toby",1,,,1,2,3,2,3,6,1,,,,,4,2,,,,,,,,,25.0
"Tredrea, Warren",2,1,2,2,1,1,3,3,1,1,-,2,1,-,2,1,-,3,1,2,1,1,-,2,33.0
"Wakelin, Darryl",6,3,7,5,3,5,2,4,7,5,4,1,2,3,2,4,6,5,5,2,9,2,4,1,97.0
"Walsh, Peter",6,2,4,4,2,6,-,1,1,1,-,1,3,1,4,2,-,,3,3,-,3,3,1,51.0
"Wanganeen, Gavin",2,-,1,2,-,4,1,4,2,1,3,3,1,-,1,,1,2,1,1,1,1,3,2,37.0
"White, Damon",,2,-,2,-,-,,,2,-,,,,,,,-,1,-,1,-,,,,8.0
"Wilson, Michael",,,3,1,5,2,3,-,,,,,,1,1,5,1,2,-,6,4,4,,4,42.0
Totals,45,32,45,42,49,48,40,30,48,36,42,30,41,35,31,51,42,41,49,50,44,50,40,38,999.0
Opponent,FR,BL,AD,CA,GE,RI,KA,SY,ES,WC,SK,WB,HW,CW,ME,GE,RI,KA,CA,AD,BL,FR,KA,AD,
