Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R15,R16,R17,R18,R19,R20,R21,R22,R23,QF,PF,GF,Tot
"Baker, Oskar",,-,,,,,-,,,,,-,,,,,,,,,,,,,,
"Bowey, Jake",,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,
"Brayshaw, Angus",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Brown, Ben",,,,,,,-,-,-,,,,,,,-,-,-,-,-,-,-,-,-,-,
"Brown, Mitch",,,,,-,,,,,,,,,,,,,,,,,,,,,
"Chandler, Kade",-,,,,,-,,-,-,,,,-,,,,,,,,,,,,,
"Fritsch, Bayley",-,-,-,-,,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,3.0
"Gawn, Max",-,-,3,1,3,-,-,-,-,-,2,2,2,-,-,-,-,-,2,-,-,1,-,-,-,16.0
"Harmes, James",-,,,,,,,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,
"Hibberd, Michael",,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,-,,,-,-,
"Hunt, Jayden",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,
"Jackson, Luke",-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,3.0
"Jetta, Neville",-,-,-,-,,,,,,-,,,,,,,,,,,,,,,,
"Jones, Nathan",-,-,-,-,-,-,-,,,,,,,-,,,,,,,,,,,,
"Jordon, James",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Langdon, Ed",-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Lever, Jake",-,-,-,-,-,2,-,-,-,2,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5.0
"May, Steven",1,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,1.0
"McDonald, Tom",2,-,-,-,-,-,-,2,2,-,-,-,-,-,-,2,-,-,-,,,-,-,-,-,8.0
"Melksham, Jake",,,-,-,-,-,-,-,-,-,-,-,,,,,,,,-,-,,,,,
"Neal-Bullen, Alex",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Oliver, Clayton",3,3,-,-,2,-,-,3,3,3,3,-,-,3,-,1,2,1,1,-,-,3,-,-,-,31.0
"Petracca, Christian",-,2,2,3,-,3,-,-,-,-,-,3,-,1,2,3,-,-,3,1,-,-,-,-,-,23.0
"Petty, Harry",,,,,-,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Pickett, Kysaiah",-,1,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2.0
"Rivers, Trent",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Salem, Christian",-,-,-,-,-,1,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.0
"Smith, Joel",,,,,,,,,,,,,,,,,,,,,-,-,-,,,
"Spargo, Charlie",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Sparrow, Tom",-,-,-,-,-,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Tomlinson, Adam",-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,
"Vandenberg, Aaron",,,,,,,,,,,,,,,-,,-,,,-,-,,,,,
"Viney, Jack",,-,-,2,-,-,,,,,,,,-,-,-,1,-,-,,,-,-,-,-,3.0
"Weideman, Sam",,,,,,,,,-,-,-,-,-,,,,,,,,,,,,,
Totals,6,6,5,6,5,6,3,5,5,5,6,5,2,4,2,6,3,1,6,4,1,4,0,0,0,96.0
Opponent,FR,SK,GW,GE,HW,RI,NM,SY,CA,AD,WB,BL,CW,ES,GW,PA,HW,WB,GC,WC,AD,GE,BL,GE,WB,
