Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,EF,SF,Tot
"Barlow, Ed",,,,,,,1,,,,,,,,,,,,,,,,,,1.0
"Bevan, Paul",,,,,,,,-,-,,2,-,-,,1,-,-,-,-,1,2,-,3,,9.0
"Bird, Craig",,,,,,,,,,,-,-,1,-,,,,,,,,,,,1.0
"Bolton, Craig",-,-,-,-,-,,,,,,,,,,,,,,,,,,,,
"Bolton, Jude",-,-,1,-,1,2,-,1,-,-,-,2,-,-,-,2,-,2,-,-,2,1,-,1,15.0
"Bradshaw, Daniel",1,2,4,4,6,6,1,,1,,,,,,,,,,,,,,,3,28.0
"Dennis-Lane, Trent",,,,,,,,,,,,,,1,1,,,,3,2,4,3,4,-,18.0
"Goodes, Adam",3,1,2,2,2,3,1,4,-,1,2,3,-,2,3,1,4,3,3,-,-,1,1,2,44.0
"Grundy, Heath",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Hannebery, Dan",,-,-,1,-,-,,2,1,3,-,2,-,-,-,-,-,-,-,-,-,,-,-,9.0
"Heath, Campbell",,,,,,,,,-,-,,,,,,,,,,,,,,,
"Jack, Kieren",1,1,1,-,1,1,2,-,1,1,-,1,-,1,1,-,-,1,1,1,2,3,1,-,21.0
"Jetta, Lewis",-,-,-,-,-,-,-,-,-,-,-,,-,,,,-,-,1,1,2,1,1,1,7.0
"Kennedy, Josh",-,2,1,1,1,-,-,-,-,-,-,2,-,-,-,-,-,1,1,-,-,1,-,-,10.0
"Kennelly, Tadhg",-,-,-,-,-,-,-,-,-,,,-,,-,-,-,-,-,-,-,-,,-,-,
"Kirk, Brett",1,1,-,1,1,-,-,1,1,-,-,1,1,-,1,-,-,1,-,-,2,-,-,-,12.0
"Malceski, Nick",1,-,1,-,-,1,-,-,1,-,-,1,-,-,1,-,-,-,-,-,-,1,-,-,7.0
"Mattner, Martin",2,-,-,2,1,-,-,-,-,-,-,-,-,-,,-,-,-,-,1,-,-,-,-,6.0
"McGlynn, Ben",-,5,3,1,,,,,,,,1,2,1,1,2,-,-,3,3,,,,1,23.0
"McVeigh, Jarrad",1,-,-,-,1,-,1,-,-,1,1,1,-,3,-,2,1,-,1,-,2,1,-,-,16.0
"Meredith, Brett",,,,,,,,,,,,,,,-,2,-,-,,,-,1,,,3.0
"Moore, Jarred",1,1,1,-,-,1,-,,,,,,,2,-,2,-,-,1,1,,-,-,-,10.0
"Mumford, Shane",-,-,1,-,-,-,-,,,-,-,-,-,1,1,-,-,-,-,1,-,,-,-,4.0
"ODwyer, Matthew",,,,,,,,,,-,,,,,,,,,,,,,,,
"OKeefe, Ryan",1,3,1,1,-,-,1,-,-,-,-,-,3,-,-,-,-,-,4,1,,1,1,-,17.0
"Playfair, Henry",,,,,,,,-,2,2,-,,,-,,,,,,,,,,,4.0
"Pyke, Mike",,,,,,,-,-,-,-,-,-,-,1,-,-,1,-,-,1,-,-,-,-,3.0
"Reid, Sam",,,,,,,,,,,,,,,,,,,,,,1,,,1.0
"Richards, Ted",-,,,,,-,-,-,,,,,,,-,-,1,-,-,-,-,-,-,-,1.0
"Roberts-Thomson, Lewis",-,-,-,-,-,-,,-,-,-,-,-,-,-,-,,,,,,,,,,
"Rohan, Gary",,,,,,,1,1,1,-,3,-,1,,,,,,,,-,-,,,7.0
"Seaby, Mark",-,2,-,-,-,-,,,,,,,,,,,,,,,,,,,2.0
"Shaw, Rhyce",-,-,-,-,1,-,-,-,-,-,-,,1,-,2,3,-,-,-,-,-,1,2,2,12.0
"Smith, Nick",,,,,-,2,-,-,1,-,1,-,-,-,-,-,,,,,-,-,-,-,4.0
"Veszpremi, Patrick",,,,,,,,,,,,-,,,,,,,,,,,,,
"White, Jesse",1,-,-,1,2,-,1,-,,3,3,-,1,,,2,3,1,1,1,1,-,1,,22.0
Totals,13,18,16,14,17,16,9,9,9,11,12,14,10,12,12,16,10,9,19,14,17,16,14,10,317.0
Opponent,SK,AD,RI,NM,WC,BL,GE,WB,FR,HW,ES,PA,CW,RI,NM,CA,ME,GE,HW,FR,WB,BL,CA,WB,
