Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,QF,PF,GF,Tot
"Adcock, Jed",,,,,,,1,,1,,,,,,,,,,,,,,,,,2.0
"Akermanis, Jason",1,-,1,1,1,2,3,5,1,1,-,3,1,1,4,-,4,-,1,-,6,4,-,1,3,44.0
"Black, Simon",1,-,1,1,-,1,-,-,-,-,-,1,-,2,-,1,2,-,-,1,1,-,1,-,-,13.0
"Bradshaw, Daniel",-,2,,-,,,5,5,-,-,2,7,-,-,-,1,-,1,1,-,-,5,4,4,3,40.0
"Brennan, Jared",1,-,,,,-,2,1,-,-,1,-,,,,,,,,,,,,,,5.0
"Brown, Jonathan",,,3,2,1,1,2,1,,,3,3,4,-,3,,,,,4,1,4,6,1,-,39.0
"Caracella, Blake",1,-,2,-,,,,,,,,,,3,1,1,3,1,-,-,-,2,1,1,-,16.0
"Charman, Jamie",-,1,-,-,2,-,-,1,,,1,-,-,3,-,-,-,,,,,,,,,8.0
"Copeland, Robert",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,2.0
"Corrie, Anthony",,,,-,-,-,-,,-,,1,2,,,,,,,-,,,,,,,3.0
"Hadley, Richard",-,-,-,,,-,-,1,-,1,2,-,-,-,-,-,-,-,-,-,1,-,1,-,-,6.0
"Hart, Shaun",-,-,1,-,-,-,-,-,-,3,,,,-,-,1,,-,2,-,-,-,-,-,,7.0
"Johnson, Chris",-,-,-,-,-,-,-,-,1,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,3.0
"Keating, Clark",1,1,,,,,,-,-,,,,,,,,,-,-,-,1,1,,-,1,5.0
"Lappin, Nigel",-,-,1,1,-,3,2,-,-,2,1,-,1,-,-,-,3,-,-,-,1,-,1,1,-,17.0
"Leppitsch, Justin",1,-,-,-,-,-,-,-,-,3,-,-,-,-,-,1,-,,1,-,-,-,-,-,-,6.0
"Lynch, Alastair",,,7,,4,3,-,,,,,,,4,4,3,6,-,,,4,4,,1,-,40.0
"Macdonald, Joel",,,,,,,,,,-,-,-,-,-,-,-,1,-,-,,,,-,,,1.0
"McGrath, Ashley",-,-,1,-,3,,,1,-,2,-,-,-,1,1,-,1,-,-,-,,,2,,,12.0
"McLaren, Dylan",,,-,1,-,,,,,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,2.0
"McRae, Craig",2,1,-,2,2,1,-,-,,2,,,,,,2,1,-,-,2,-,-,3,-,-,18.0
"Michael, Mal",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Notting, Tim",-,2,1,1,-,-,2,1,-,1,2,1,1,-,2,-,2,3,2,1,1,1,2,1,3,30.0
"Pike, Martin",3,-,1,-,-,-,-,1,3,3,1,2,1,1,4,3,-,-,1,-,1,2,-,-,-,27.0
"Power, Luke",-,,2,-,1,1,-,-,3,-,3,2,-,-,-,1,-,-,-,-,1,1,-,-,-,15.0
"Pratt, Daniel",,,,,,,,,1,-,,,-,,,,,,,,,,,,,1.0
"Rischitelli, Michael",,,,,,,,,,,,,,,,,2,,,,,,,,,2.0
"Scott, Brad",-,1,-,1,-,-,-,1,-,-,-,,-,,,,,,,,,,1,-,-,4.0
"Scott, Chris",,,,,,,,,,,,2,-,-,-,-,-,-,,-,1,-,-,-,-,3.0
"Shattock, Aaron",,-,,-,-,-,1,-,-,,,,,,,,,,,,,,,,,1.0
"Voss, Michael",-,7,-,-,-,2,,3,1,-,1,2,-,1,-,1,3,2,2,-,1,2,1,2,-,31.0
"White, Darryl",-,-,-,,-,-,,,,-,-,-,-,,,,,-,-,-,-,-,,,-,
Totals,11,15,21,10,14,14,18,21,11,18,18,25,9,17,20,16,29,7,10,8,20,26,23,12,10,403.0
Opponent,SY,AD,CW,WC,HW,SK,KA,CA,FR,ME,PA,ES,GE,RI,WB,CW,AD,SY,WC,HW,SK,KA,SK,GE,PA,
