Player,R2,R3,R4,R5,R6,R7,R8,R9,R10,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,R24,EF,SF,GF,Tot
"Ball, Jason",-,,,,,,,,,,,,,,,,,,,,,,,,,
"Barich, Adrian",,,,,6,,,,,,,,,,,,,,,,,,,,,6.0
"Brennan, Michael",,,,7,2,2,-,,,2,5,4,,,,3,5,2,3,10,2,2,1,,2,52.0
"Clape, Matt",,,,,,,,,,,,8,2,5,3,,7,5,3,4,1,,,,,38.0
"Evans, Tony",,,,,,,,3,5,11,5,8,4,,3,5,9,8,,12,4,8,7,7,6,105.0
"Harding, Paul",,4,3,4,,,,,,,,3,5,1,6,4,5,11,4,4,,3,7,6,3,73.0
"Hart, David",,,,,,,,,,,,5,5,3,5,1,,,4,3,-,,,2,,28.0
"Heady, Brett",2,,,4,,,1,-,,,2,,,,,,,,5,6,5,3,6,,8,42.0
"Hepburn, Mark",,,,,,6,8,5,,,,,,,,,8,5,3,6,3,,,,,44.0
"Hynes, David",7,8,6,3,4,4,3,2,2,7,4,5,4,3,6,2,,,,,,,,8,,78.0
"Irving, Dean",7,,,,,,,,,,,,,,,,,,,,,,,,,7.0
"Jakovich, Glen",11,5,5,3,6,5,7,7,3,1,3,,9,11,11,4,5,10,1,6,-,5,3,5,2,128.0
"Kemp, Dean",1,11,9,8,7,3,5,7,7,6,10,11,6,4,11,5,13,2,4,13,3,6,7,3,1,163.0
"Krummel, Brendan",,,,,1,,,,,,,,,,,,,,,,,,,,,1.0
"Laidley, Dani",11,2,3,7,7,1,12,3,16,6,9,5,,,,,1,7,,,,,,,,90.0
"Lamb, Dwayne",,8,2,9,5,10,7,4,8,7,4,6,7,2,6,4,8,11,,6,7,11,1,6,4,143.0
"Langdon, Karl",,9,4,5,5,8,7,3,2,6,3,5,,7,2,2,5,,,7,6,2,4,-,8,100.0
"Lewis, Chris",4,4,6,8,6,3,9,3,5,4,4,2,4,2,7,3,2,2,,,2,4,4,3,2,93.0
"Lockyer, Andrew",,2,-,,,,,,,,,,,,,,,,,,,,,,,2.0
"Mainwaring, Chris",6,4,10,8,8,1,5,2,3,2,4,11,6,5,6,2,14,6,3,12,1,9,2,6,4,140.0
"Matera, Peter",9,11,2,6,,3,3,5,5,,4,4,6,3,6,5,6,4,5,6,1,2,6,5,3,110.0
"McIntosh, Ashley",,,,,,,2,6,3,2,3,4,4,9,-,,,5,2,7,3,3,1,5,4,63.0
"McKenna, Guy",7,6,14,,,,10,,,,,,,3,,,,,6,12,4,7,10,10,6,95.0
"Metropolis, Daniel",,3,-,,3,2,,,,,,,,,,,,,,,,,,,,8.0
"Nichols, Trent",4,,,4,4,2,,,,,,,,,,,,,,,,,,,,14.0
"Peos, Paul",,6,4,5,-,4,,,,,,,1,3,1,4,,,,,,,,,,28.0
"Pyke, Don",9,5,5,,,,,,,,,,,,,,6,4,5,7,4,3,5,8,4,65.0
"Sumich, Peter",,,,1,1,,,-,1,-,1,-,1,1,1,1,-,-,-,1,,-,-,3,1,13.0
"Turley, Craig",6,12,8,7,,,4,4,4,12,5,8,9,5,6,9,9,7,6,6,3,8,4,11,2,155.0
"Turnbull, Ryan",1,5,3,,5,-,,,,,,,,,,,-,,,,,,,,,14.0
"Ugle, Troy",1,,,,,5,3,3,7,1,,,,,,,,,,,,,,,,20.0
"Waterman, Chris",6,4,3,2,5,6,9,3,9,5,2,12,3,1,5,5,,6,7,6,1,7,8,1,2,118.0
"Watters, Scott",8,1,4,4,7,8,7,4,10,4,2,,5,5,7,3,,,7,,8,6,,,,100.0
"West, Robert",,,,,,,,,1,-,,,,,,,,,,,,,,,,1.0
"White, Mitchell",7,,,6,1,1,4,3,2,1,3,1,3,1,2,3,1,10,11,,-,5,6,4,5,80.0
"Wilson, Peter",,,,,,,,,5,8,6,4,5,4,12,8,4,9,1,,,,2,8,1,77.0
"Worsfold, John",7,9,6,7,3,4,9,4,6,6,5,2,2,,,6,6,8,4,4,,5,4,8,2,117.0
Totals,114,119,97,108,86,78,115,71,104,91,84,108,91,78,106,79,114,122,84,138,58,99,88,109,70,2411.0
Opponent,SY,SK,GE,BB,RI,FI,FO,CA,AD,NM,CW,HW,ES,ME,SY,SK,GE,BB,RI,FI,FO,CA,HW,GE,GE,
