Player,R2,R3,R4,R5,R6,R7,R8,R9,R10,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,R24,EF,SF,GF,Tot
"Ball, Jason",2,,,,,,,,,,,,,,,,,,,,,,,,,2.0
"Barich, Adrian",,,,,2,,,,,,,,,,,,,,,,,,,,,2.0
"Brennan, Michael",,,,2,1,-,-,,,2,1,-,,,,-,1,-,-,3,1,1,-,,2,14.0
"Clape, Matt",,,,,,,,,,,,3,1,3,1,,1,3,2,1,1,,,,,16.0
"Evans, Tony",,,,,,,,3,2,2,-,1,1,,3,-,1,2,,1,-,3,1,1,-,21.0
"Harding, Paul",,-,2,-,,,,,,,,1,2,1,2,1,3,4,2,1,,2,-,2,1,24.0
"Hart, David",,,,,,,,,,,,2,3,2,-,-,,,-,-,1,,,-,,8.0
"Heady, Brett",2,,,1,,,1,1,,,-,,,,,,,,-,2,1,3,2,,2,15.0
"Hepburn, Mark",,,,,,-,1,2,,,,,,,,,2,3,1,1,3,,,,,13.0
"Hynes, David",-,2,-,1,2,2,-,1,1,1,2,-,2,1,1,1,,,,,,,,5,,22.0
"Irving, Dean",-,,,,,,,,,,,,,,,,,,,,,,,,,
"Jakovich, Glen",1,1,2,2,1,-,1,1,1,3,1,,1,4,2,1,4,3,2,-,3,-,1,1,3,39.0
"Kemp, Dean",2,-,-,2,3,2,2,1,-,1,2,-,1,-,-,1,-,1,1,2,3,-,2,1,3,30.0
"Krummel, Brendan",,,,,-,,,,,,,,,,,,,,,,,,,,,
"Laidley, Dani",1,2,2,2,1,2,2,2,2,-,-,1,,,,,-,-,,,,,,,,17.0
"Lamb, Dwayne",,1,-,-,2,-,1,1,1,1,1,1,2,2,3,2,-,1,,1,-,-,-,4,-,24.0
"Langdon, Karl",,1,2,3,3,2,7,2,4,3,2,1,,6,-,1,5,,,3,4,3,5,-,3,60.0
"Lewis, Chris",2,4,2,3,1,3,2,-,2,3,1,2,1,2,2,1,2,-,,,3,2,2,2,1,43.0
"Lockyer, Andrew",,1,-,,,,,,,,,,,,,,,,,,,,,,,1.0
"Mainwaring, Chris",-,1,1,1,-,3,1,1,2,3,5,1,1,-,1,1,2,2,4,3,1,-,1,1,1,37.0
"Matera, Peter",1,-,1,3,,2,1,1,2,,1,-,3,-,2,2,5,1,-,3,6,1,2,1,4,42.0
"McIntosh, Ashley",,,,,,,-,1,-,2,1,1,-,3,1,,,-,1,3,3,1,2,1,-,20.0
"McKenna, Guy",2,1,1,,,,-,,,,,,,-,,,,,2,-,3,-,-,-,1,10.0
"Metropolis, Daniel",,6,1,,-,-,,,,,,,,,,,,,,,,,,,,7.0
"Nichols, Trent",2,,,-,1,-,,,,,,,,,,,,,,,,,,,,3.0
"Peos, Paul",,2,2,1,3,3,,,,,,,1,3,-,3,,,,,,,,,,18.0
"Pyke, Don",-,1,1,,,,,,,,,,,,,,-,-,2,3,4,1,2,-,-,14.0
"Sumich, Peter",,,,1,2,,,3,-,1,2,2,4,1,-,2,4,4,1,1,,1,2,4,2,37.0
"Turley, Craig",1,2,1,1,,,3,1,1,-,2,1,-,3,1,2,3,-,1,3,2,-,2,2,1,33.0
"Turnbull, Ryan",-,1,-,,-,-,,,,,,,,,,,1,,,,,,,,,2.0
"Ugle, Troy",-,,,,,-,-,1,-,-,,,,,,,,,,,,,,,,1.0
"Waterman, Chris",2,1,1,-,-,-,-,1,2,2,-,1,1,1,2,2,,2,-,2,1,2,3,3,2,31.0
"Watters, Scott",-,-,1,1,1,-,2,1,1,1,-,,1,1,1,1,,,1,,-,-,,,,13.0
"West, Robert",,,,,,,,,-,-,,,,,,,,,,,,,,,,
"White, Mitchell",-,,,-,1,-,-,2,1,-,1,-,2,2,1,3,-,1,-,,2,1,2,-,1,20.0
"Wilson, Peter",,,,,,,,,-,4,-,1,1,2,2,5,2,1,2,,,,2,2,1,25.0
"Worsfold, John",-,2,-,-,2,-,3,3,-,3,2,-,-,,,2,3,2,2,-,,-,1,4,2,31.0
Totals,18,29,20,24,26,19,27,29,22,32,24,19,28,37,25,31,39,30,24,33,42,21,32,34,30,695.0
Opponent,SY,SK,GE,BB,RI,FI,FO,CA,AD,NM,CW,HW,ES,ME,SY,SK,GE,BB,RI,FI,FO,CA,HW,GE,GE,
