Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,SF,PF,Tot
"Adamson, Lee",,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,
"Atkinson, Alan",,,,,,,,,,,,-,-,-,-,,,,-,-,-,-,-,-,
"Beck, Greg",,,,,,,,,,,,,,,,,,,-,-,-,-,-,,
"Bisset, George",-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,1.0
"Britt, Con",-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,
"Browne, Michael",,,,,,,,,,,,,,,-,,-,-,-,-,,,,,
"Clifford, Stephen",,,,,,,,,,,,,,,,,,-,,-,,,,,
"Clifton, Jeff",-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,2,-,,-,-,3.0
"Coles, Henry",-,-,-,-,-,,,,-,-,-,-,-,1,,,,,,-,,,,,1.0
"Cranage, Paul",-,-,,,,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,
"Dean, Robert",-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,,-,-,1.0
"Delahunty, Mike",-,-,-,-,-,-,-,-,,,,,,,-,-,,,,,,,,,
"Dunne, Ross",1,2,-,-,-,-,-,1,-,3,2,2,-,1,-,1,2,2,-,-,-,-,-,,17.0
"Dunstan, Graeme",-,-,-,-,-,-,-,,-,-,-,-,-,,,-,,,-,,,,,,
"Foley, Kerry",,,,,,-,,-,,,,,,,,,,,,,,,,,
"Gott, Doug",1,-,-,-,-,-,-,2,-,-,-,-,-,,,-,,-,,,-,1,-,-,4.0
"Heard, Bob",,4,4,-,,7,4,2,5,4,10,,,-,,,7,9,8,1,6,3,2,4,80.0
"Holmes, Allan",,,,,,,,,,,-,-,-,-,-,-,-,,,-,,,,-,
"Hyde, Robert",,,,,,,,-,-,,,,,,,,,,,,,,,,
"Jenkin, Graeme",,3,6,6,5,7,7,4,,,,3,14,9,1,3,2,-,,2,,4,3,10,89.0
"Kaine, Laurie",,,,,-,,,,,,,,,,,,,,,,,,,,
"Kink, Rene",,,,,,,,,,,,,,,,,,,-,,-,-,,-,
"Manassa, Phil",,,-,-,-,-,-,,,-,-,-,-,-,,-,,,,,,-,,-,
"McKenna, Peter",-,-,-,,,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,,
"Morse, Colin",-,,,,,,,,,,,,,-,,,,,,,,,,,
"OCallaghan, Denis",-,,,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,,-,-,-,-,1.0
"OSullivan, Danny",,,,,,,,,-,-,,-,,,-,-,-,-,,,,,,,
"Oborne, Rod",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Price, Barry",1,-,1,-,2,,,-,-,-,-,-,-,-,2,2,-,1,-,,-,-,-,-,9.0
"Reichman, Graeme",-,-,-,-,-,-,-,-,-,-,,-,,,,,,,,,,,,,
"Richardson, Max",-,-,-,1,-,-,-,3,-,-,-,,-,-,1,-,1,-,-,-,-,-,2,1,9.0
"Richardson, Wayne",1,-,1,1,-,,-,-,-,-,-,2,-,1,1,-,-,-,-,1,1,1,-,-,10.0
"Salmon, Daryl",-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,1,-,-,-,1.0
"Thompson, Len",17,21,13,21,23,,15,19,27,19,23,12,22,25,13,19,19,17,22,27,17,35,24,7,457.0
"Wearmouth, Ronnie",,,,,,-,-,,,,-,,,,-,-,-,-,-,-,-,-,-,-,
Totals,21,30,25,30,30,15,26,31,32,27,36,19,36,37,18,25,31,29,30,33,25,44,31,22,683.0
Opponent,SM,FO,GE,SK,NM,ME,CA,FI,RI,HW,ES,SM,FO,SK,GE,NM,ME,CA,FI,RI,HW,ES,CA,RI,
