Player,R3,R1,R2,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,SF,GF,Tot
"Baker, Leon",-,-,-,-,-,-,,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,3.0
"Banfield, Peter",,,-,,,,,,,,,,-,,,-,,-,-,-,,,,,
"Bradbury, Peter",-,-,-,-,,-,-,,,-,-,,,,,,-,-,-,,-,,,,
"Carey, Stephen",,-,-,-,-,-,-,-,-,-,-,-,,-,-,,-,,,,-,,,-,
"Clark, Steven",,,,,,,,,,,,,,,,-,,,,-,-,-,,,
"Clarke, Neil",,,,,-,-,-,,,,,-,-,-,-,-,-,-,,,,,-,-,
"Daniher, Neale",,,,,,,,,-,-,-,-,-,,,,,,,,,,,,
"Daniher, Terry",-,,,-,-,-,-,-,-,2,-,-,3,-,,,,,,-,-,-,-,-,5.0
"Duckworth, Bill",-,,,,,,,,,,,,,,,,,,,1,-,-,-,-,1.0
"Dunell, Frank",-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,,
"Elshaug, Tony",-,-,-,-,-,-,-,-,-,-,,-,-,2,-,-,-,-,-,-,-,-,-,-,2.0
"Ezard, Alan",-,-,-,-,-,,,,,,,,-,-,-,-,-,1,-,-,-,-,-,-,1.0
"Foulds, Garry",-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,1,-,-,-,-,-,-,-,-,4.0
"Harbinson, Merv",,,,,,,,,,,,,,,-,,,,,,,,,,
"Harvey, Mark",-,-,-,-,-,2,-,-,-,3,-,-,2,-,-,-,-,-,-,-,-,-,-,-,7.0
"Hawker, Glenn",-,-,3,2,-,1,-,-,-,-,2,,,,,,-,-,-,-,3,-,-,-,11.0
"Heard, Shane",,,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,
"Kink, Rene",,-,-,,,,-,-,,,,,-,-,-,-,-,-,-,,,,,,
"Madden, Simon",-,-,-,-,-,-,-,3,2,-,,,,-,-,-,,2,-,3,-,1,-,-,11.0
"Merrett, Roger",-,-,2,-,-,3,-,1,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,6.0
"Neagle, Merv",-,-,,,,-,,,,,3,-,,-,-,-,-,,-,-,-,2,-,,5.0
"Pirrie, Stephen",,,,,,,,,,,,,,,,,-,,,,,,,,
"Salmon, Paul",,,,,,,,,,,,,,,-,,,,,,,-,-,-,
"Spencer, Trevor",,,,,,,,,,,,,,,,,,-,-,-,,,,,
"Thompson, Mark",-,-,-,-,-,-,-,-,1,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,1.0
"Thomson, Michael",,,,,,,-,,,,-,-,-,-,,,,,,,,-,,,
"Vander Haar, Paul",2,3,-,-,-,-,-,-,-,-,-,-,,-,-,3,-,,,-,1,3,-,-,12.0
"Walsh, Kevin",3,-,-,-,-,-,-,-,-,,-,-,-,-,3,-,-,-,-,,,,-,-,6.0
"Waterson, Chris",,,,-,-,,,-,-,-,,-,-,,-,-,,,,,,,,,
"Watson, Tim",-,2,-,-,-,-,-,-,3,-,-,-,1,-,-,2,-,3,2,-,2,-,-,-,15.0
"Weston, Paul",-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,1.0
"Williams, Darren",-,-,,-,-,-,-,-,-,-,-,,,,-,-,-,-,-,-,-,-,-,-,
"Winton, Brian",,,,,,,,,,,,,,,,,,-,,,,,,,
"Wood, Bryan",-,-,1,,,,,-,-,-,-,2,-,-,-,,,-,-,,,,-,-,3.0
Totals,5,5,6,2,0,6,0,4,6,5,5,5,6,6,3,6,0,6,2,4,6,6,0,0,94.0
Opponent,HW,RI,FI,CW,FO,CA,NM,GE,ME,SK,SY,RI,FI,HW,CW,FO,CA,NM,GE,ME,SK,SY,HW,HW,
