Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,QF,PF,Tot
"Alessio, Steven",1,3,1,1,-,-,-,1,-,-,-,-,2,1,-,2,-,3,1,,,2,1,1,20.0
"Barnard, Paul",,,-,1,-,3,1,1,1,-,-,-,-,2,-,-,1,-,1,1,1,2,2,-,17.0
"Berbakov, Peter",3,-,2,2,-,2,-,1,,,,,,,,,,,,,,,,,10.0
"Bewick, Darren",1,1,-,1,1,1,-,3,2,-,-,2,-,2,2,1,-,-,1,2,-,1,2,-,23.0
"Blumfield, Justin",1,2,2,-,-,1,1,1,1,1,2,1,1,1,-,-,-,-,-,2,-,4,1,1,23.0
"Bolton, Mark",,,,1,,,,,,,,,,,,,,,,,,-,,,1.0
"Caracella, Blake",1,-,2,-,2,-,-,-,1,-,-,-,3,-,-,1,1,-,4,2,1,-,-,1,19.0
"Denham, Sean",,,,,1,-,,,,,,,,,,,,2,-,1,1,-,,,5.0
"Doolan, Ben",,,-,,-,,,1,2,2,-,-,,,,,,,,,,,,,5.0
"Eastaugh, Simon",,,,,1,2,-,-,,-,,,,,,,,,,,,,,,3.0
"Fletcher, Dustin",1,-,1,-,-,1,,,1,4,1,1,-,,,,1,-,3,2,1,-,1,-,18.0
"Fraser, Mark",1,-,-,-,-,-,-,,-,,,,-,-,1,2,-,,1,-,1,1,2,-,9.0
"Grgic, Ilija",,-,-,,,,,,,,,,,,,,,,,,,,,,
"Hardwick, Damien",1,2,3,2,,,1,1,-,3,1,2,3,1,-,,,1,2,3,-,2,3,2,33.0
"Heffernan, Chris",1,1,1,1,-,1,-,,,-,1,1,2,3,-,1,-,-,1,1,3,-,2,1,21.0
"Hird, James",1,1,,,,,,,,,,,,,,,,,,,,,,,2.0
"Jacobs, Danny",,,,,,,,,,,,,,-,,,,,,,,,,,
"Johnson, Jason",,,,,-,,,,,,,,,,,-,,,,1,-,,,,1.0
"Johnson, Mark",4,-,,,,,,,,,,1,1,-,2,1,1,-,1,-,-,1,3,-,15.0
"Lalich, Judd",1,-,,,,,,,,,,,,2,2,3,-,1,,1,2,,,,12.0
"Lloyd, Matthew",1,-,-,-,1,-,1,1,1,2,-,2,-,,,1,2,1,1,-,1,2,1,1,19.0
"Long, Michael",4,-,-,-,,,,1,-,1,1,1,1,1,-,-,-,-,,1,1,-,1,3,16.0
"Lucas, Scott",3,-,-,3,-,-,-,-,1,1,,,,,,,,,,,,,,,8.0
"McVeigh, Mark",-,,1,-,,,,,2,1,-,,1,3,-,,,,,,,,,,8.0
"Mercuri, Mark",1,-,1,3,-,,-,2,,-,-,2,3,-,1,1,2,-,1,1,4,,-,1,23.0
"Misiti, Joe",1,1,,,,-,-,2,2,3,1,1,1,-,2,-,2,1,3,,,,1,1,22.0
"Moorcroft, Gary",,,,,2,2,1,2,1,1,1,1,,,,-,2,1,2,-,-,1,4,1,22.0
"Prior, Michael",,,,,,-,2,2,-,1,-,-,1,-,-,4,-,-,,,,,1,-,11.0
"Ramanauskas, Adam",,,,,,,,2,-,,,,,,,,,,,,,,,,2.0
"Rioli, Dean",,,-,,1,2,-,-,-,-,-,-,2,1,,,,,-,2,1,2,-,-,11.0
"Solomon, Dean",,,,-,1,1,2,-,1,-,-,-,2,-,1,-,2,,2,,-,-,1,-,13.0
"Somerville, Peter",,,,,,,,,,,2,3,1,1,2,-,-,-,-,1,1,-,2,-,13.0
"Symons, Michael",1,2,1,1,1,-,-,-,,,,,,,-,,,1,1,-,3,3,,,14.0
"Ukovic, Andrew",-,,,1,,,,,,,,,,1,-,1,-,-,,,,,,,3.0
"Wallis, Dean",2,1,-,1,1,1,1,-,-,,1,-,3,1,-,1,1,1,1,1,2,-,1,1,21.0
"Wellman, Sean",,-,2,2,-,-,3,1,1,-,-,-,-,,1,-,-,-,2,2,1,-,-,-,15.0
"Young, Barry",1,-,2,3,,1,-,,-,1,3,-,3,-,-,-,-,,1,1,,3,2,-,21.0
Totals,31,14,19,23,12,18,13,22,17,21,14,18,30,20,14,19,15,12,29,25,24,24,31,14,479.0
Opponent,CA,KA,SY,WC,CW,RI,ME,SK,HW,AD,GE,BL,WB,FR,PA,CA,KA,SY,WC,CW,RI,ME,SY,CA,
