Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,QF,PF,Tot
"Alessio, Steven",1,3,1,1,-,1,1,2,3,1,-,-,-,1,2,1,1,1,-,,,2,1,-,23.0
"Barnard, Paul",,,1,1,2,-,1,3,2,2,-,4,2,5,3,-,1,-,1,1,3,4,4,2,42.0
"Berbakov, Peter",-,-,3,1,3,3,1,-,,,,,,,,,,,,,,,,,11.0
"Bewick, Darren",1,3,2,-,1,7,2,3,2,1,2,2,1,6,2,2,7,2,2,1,-,3,2,2,56.0
"Blumfield, Justin",2,2,-,-,-,1,-,1,-,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,8.0
"Bolton, Mark",,,,3,,,,,,,,,,,,,,,,,,-,,,3.0
"Caracella, Blake",-,-,3,2,2,-,-,-,-,-,1,-,-,-,1,-,-,-,-,1,1,-,-,2,13.0
"Denham, Sean",,,,,-,3,,,,,,,,,,,,1,2,-,2,-,,,8.0
"Doolan, Ben",,,3,,-,,,2,1,1,-,2,,,,,,,,,,,,,9.0
"Eastaugh, Simon",,,,,1,1,1,-,,-,,,,,,,,,,,,,,,3.0
"Fletcher, Dustin",4,7,7,6,2,3,,,7,6,6,5,1,,,,3,7,6,9,3,2,8,5,97.0
"Fraser, Mark",2,1,-,-,1,2,-,,1,,,,1,-,1,1,-,,-,2,-,2,-,-,14.0
"Grgic, Ilija",,-,-,,,,,,,,,,,,,,,,,,,,,,
"Hardwick, Damien",5,3,6,4,,,2,8,1,3,4,8,5,4,1,,,7,3,4,3,2,4,4,81.0
"Heffernan, Chris",2,3,-,4,-,1,2,,,-,1,1,6,-,-,1,1,1,1,3,-,-,2,-,29.0
"Hird, James",4,-,,,,,,,,,,,,,,,,,,,,,,,4.0
"Jacobs, Danny",,,,,,,,,,,,,,-,,,,,,,,,,,
"Johnson, Jason",,,,,-,,,,,,,,,,,1,,,,-,-,,,,1.0
"Johnson, Mark",5,2,,,,,,,,,,1,1,-,1,1,3,1,2,1,1,3,-,1,23.0
"Lalich, Judd",2,1,,,,,,,,,,,,1,-,3,1,-,,-,1,,,,9.0
"Lloyd, Matthew",-,-,-,1,-,-,-,-,-,-,-,-,-,,,-,-,-,-,-,-,-,-,-,1.0
"Long, Michael",-,1,2,-,,,,1,1,-,1,3,-,-,1,-,-,-,,-,-,-,1,1,12.0
"Lucas, Scott",1,-,3,1,-,3,-,2,3,-,,,,,,,,,,,,,,,13.0
"McVeigh, Mark",-,,-,-,,,,,-,-,-,,-,-,1,,,,,,,,,,1.0
"Mercuri, Mark",2,1,-,-,-,,-,1,,-,2,2,1,2,-,1,3,-,-,-,-,,-,-,15.0
"Misiti, Joe",2,1,,,,2,4,2,1,2,3,2,-,5,3,1,1,-,1,,,,2,4,36.0
"Moorcroft, Gary",,,,,2,-,2,1,1,-,1,2,,,,-,3,-,-,1,1,-,-,-,14.0
"Prior, Michael",,,,,,-,6,5,3,9,4,6,6,4,4,5,5,7,,,,,3,-,67.0
"Ramanauskas, Adam",,,,,,,,2,-,,,,,,,,,,,,,,,,2.0
"Rioli, Dean",,,-,,-,-,-,-,-,-,1,-,-,-,,,,,-,-,-,-,-,-,1.0
"Solomon, Dean",,,,1,6,-,3,1,2,3,1,-,2,3,1,1,1,,2,,1,2,3,2,35.0
"Somerville, Peter",,,,,,,,,,,1,1,2,2,1,-,-,1,1,1,2,-,2,-,14.0
"Symons, Michael",1,1,2,3,-,2,2,-,,,,,,,1,,,-,-,-,1,4,,,17.0
"Ukovic, Andrew",-,,,3,,,,,,,,,,1,6,6,-,1,,,,,,,17.0
"Wallis, Dean",5,2,-,-,2,2,3,3,-,,4,-,-,3,-,-,-,4,-,-,3,-,1,2,34.0
"Wellman, Sean",,1,3,3,4,5,2,3,2,4,2,3,2,,4,4,-,8,2,5,5,7,6,2,77.0
"Young, Barry",4,4,1,3,,6,2,,2,3,1,4,2,-,1,1,1,,-,-,,-,2,2,39.0
Totals,43,36,37,37,26,42,34,40,32,36,35,46,33,37,34,29,31,41,23,29,27,31,41,29,829.0
Opponent,CA,KA,SY,WC,CW,RI,ME,SK,HW,AD,GE,BL,WB,FR,PA,CA,KA,SY,WC,CW,RI,ME,SY,CA,
