Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R15,R16,R17,R18,R19,R20,R21,R22,R23,Tot
"Bartel, Jimmy",-,,-,,,,,,,,,,-,1,-,-,-,-,-,-,-,1.0
"Bews, Jed",-,-,-,-,-,-,-,1,-,1,-,-,-,-,,,,,-,-,,2.0
"Blease, Sam",,,,,,,-,,,,,,,,,,,,,,,
"Blicavs, Mark",-,-,-,-,-,1,-,-,-,-,1,-,1,-,1,1,-,-,1,-,-,6.0
"Caddy, Josh",2,1,-,-,-,1,-,-,1,1,1,1,1,2,2,1,2,1,-,,,17.0
"Clark, Mitch",-,-,3,1,,1,1,-,-,,,,,,,,,,,,,6.0
"Cockatoo, Nakia",-,-,-,1,,-,,,,,,,,,,-,-,1,-,1,2,5.0
"Cowan, Josh",,,,,,-,,,,,,,,,,,,,,,1,1.0
"Duncan, Mitch",1,-,-,-,-,-,-,,,,,,,1,1,-,-,,,,,3.0
"Enright, Corey",1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.0
"Gregson, Cory",-,-,1,-,-,2,-,-,-,-,-,-,2,-,-,,1,1,-,1,-,8.0
"Guthrie, Cameron",-,-,1,-,-,-,-,-,-,1,1,-,1,-,-,1,1,-,-,1,-,7.0
"Hawkins, Tom",-,1,,2,2,1,,2,2,-,-,2,1,-,1,2,2,1,1,-,-,20.0
"Horlin-Smith, George",,-,,-,-,,,,,,,,,,,,-,-,-,,1,1.0
"Johnson, Steve",2,1,-,-,1,-,-,2,-,1,-,1,-,2,2,2,,2,3,-,6,25.0
"Kelly, James",1,-,-,-,-,,,-,-,-,-,,1,3,1,1,-,-,,-,-,7.0
"Kersten, Shane",,,,,3,-,2,-,-,-,-,1,,1,-,-,,,,,,7.0
"Kolodjashnij, Jake",,,,,,,,,,,,-,,-,-,-,1,-,-,-,-,1.0
"Lang, Darcy",-,-,-,-,-,-,1,-,-,-,-,-,1,-,-,1,1,1,-,-,,5.0
"Lonergan, Tom",-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,1,1.0
"Luxford, Michael",,,,,,,,,,-,,-,,,,,,,,,,
"Mackie, Andrew",,-,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Menzel, Daniel",,,,,,,,,,,,,,,,,,,,2,-,2.0
"Motlop, Steven",2,,2,2,1,-,1,-,-,-,2,2,1,-,1,-,-,-,-,-,2,16.0
"Murdoch, Jordan",,,-,-,-,-,-,1,-,-,-,1,-,-,1,-,-,-,-,-,,3.0
"Rivers, Jared",-,,,-,-,-,-,-,-,-,-,-,-,,,,,-,,,,
"Selwood, Joel",-,1,-,1,-,-,1,-,-,-,1,-,-,,1,1,1,-,-,-,1,8.0
"Simpson, Dawson",-,-,,,-,,,,,,,,-,,,,,,,,,
"Smedts, Billie",-,-,,,,,,,,,,,,,-,-,,,,,,
"Stanley, Rhys",,1,-,1,,-,-,-,-,,-,,,,,,,,,,,2.0
"Stokes, Mathew",-,-,-,,,,-,-,-,-,-,1,-,-,,,-,-,,,1,2.0
"Taylor, Harry",-,-,-,-,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,1,3.0
"Thurlow, Jackson",,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Vardy, Nathan",,,,,,,,,,,,,,,,,,,-,-,-,
"Walker, Josh",,,-,-,1,,2,,,1,1,-,1,1,1,-,-,2,-,-,-,10.0
Totals,9,5,7,8,9,6,8,6,3,5,7,10,10,11,12,10,9,9,5,5,16,170.0
Opponent,HW,FR,GC,NM,RI,CW,SY,CA,WC,ES,PA,ME,NM,WB,GW,BL,SY,HW,SK,CW,AD,
