Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R15,R16,R17,R18,R19,R20,R21,R22,R23,Tot
"Bartel, Jimmy",-,,-,,,,,,,,,,-,-,-,-,-,-,-,-,-,
"Bews, Jed",-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,-,-,,
"Blease, Sam",,,,,,,-,,,,,,,,,,,,,,,
"Blicavs, Mark",-,-,-,-,-,2,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,4.0
"Caddy, Josh",-,-,-,-,-,-,-,1,-,-,2,-,-,3,-,-,-,-,-,,,6.0
"Clark, Mitch",-,-,-,-,,-,-,-,-,,,,,,,,,,,,,
"Cockatoo, Nakia",-,-,-,-,,-,,,,,,,,,,-,-,-,-,-,-,
"Cowan, Josh",,,,,,-,,,,,,,,,,,,,,,-,
"Duncan, Mitch",-,-,-,-,3,3,-,,,,,,,-,-,-,-,,,,,6.0
"Enright, Corey",-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,1,4.0
"Gregson, Cory",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,
"Guthrie, Cameron",-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,3,-,-,2,-,-,6.0
"Hawkins, Tom",-,-,,-,-,-,,-,-,-,-,-,-,-,2,-,1,-,-,-,-,3.0
"Horlin-Smith, George",,-,,-,-,,,,,,,,,,,,-,-,-,,-,
"Johnson, Steve",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,
"Kelly, James",-,-,1,-,-,,,-,-,1,-,,-,-,-,-,-,-,,-,-,2.0
"Kersten, Shane",,,,,-,-,-,-,-,-,-,-,,-,-,-,,,,,,
"Kolodjashnij, Jake",,,,,,,,,,,,-,,-,-,-,-,-,-,-,-,
"Lang, Darcy",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
"Lonergan, Tom",-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,
"Luxford, Michael",,,,,,,,,,-,,-,,,,,,,,,,
"Mackie, Andrew",,-,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,3,3.0
"Menzel, Daniel",,,,,,,,,,,,,,,,,,,,-,-,
"Motlop, Steven",-,,-,-,-,-,-,-,-,-,-,1,-,-,3,-,-,-,3,-,-,7.0
"Murdoch, Jordan",,,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,,3.0
"Rivers, Jared",-,,,-,-,-,-,-,-,-,-,-,-,,,,,-,,,,
"Selwood, Joel",-,-,3,-,-,1,-,-,-,2,-,-,-,,-,2,3,-,-,-,2,13.0
"Simpson, Dawson",-,-,,,-,,,,,,,,-,,,,,,,,,
"Smedts, Billie",-,-,,,,,,,,,,,,,-,-,,,,,,
"Stanley, Rhys",,-,-,-,,-,-,-,-,,-,,,,,,,,,,,
"Stokes, Mathew",-,-,-,,,,-,-,-,-,-,-,-,-,,,-,-,,,-,
"Taylor, Harry",-,-,-,-,1,-,-,-,-,3,-,-,-,-,-,-,2,-,-,-,-,6.0
"Thurlow, Jackson",,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Vardy, Nathan",,,,,,,,,,,,,,,,,,,-,-,-,
"Walker, Josh",,,-,-,-,,-,,,-,-,-,-,-,-,1,-,-,-,-,-,1.0
Totals,0,0,4,0,4,6,0,6,0,6,5,1,0,3,6,6,6,0,5,0,6,64.0
Opponent,HW,FR,GC,NM,RI,CW,SY,CA,WC,ES,PA,ME,NM,WB,GW,BL,SY,HW,SK,CW,AD,
