Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,EF,SF,PF,Tot
"Anthony, John",-,,,,,,,,,,,,,,,-,-,,,,,,,,,
"Besanko, Neil",,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,,-,-,-,-,-,-,-,-,1.0
"Breen, Barry",-,1,1,1,2,2,1,1,-,-,-,4,-,-,,,,-,2,2,2,-,1,1,3,24.0
"Colling, Gary",-,-,,-,-,-,-,-,-,2,-,-,2,1,-,-,-,-,-,-,-,1,-,-,-,6.0
"Corner, Ian",,,,,,,,,,,,,,,,-,-,,-,-,,,,,1,1.0
"Davis, Allan",3,-,1,3,3,4,4,1,4,1,1,2,1,1,1,-,2,-,-,1,-,1,2,5,1,42.0
"Ditterich, Carl",-,,,,1,1,1,-,-,-,-,1,-,1,-,2,1,-,-,1,-,-,1,3,1,14.0
"Elliott, Glenn",-,-,-,2,-,-,-,,2,2,-,-,1,1,,,,,,,,,-,-,1,9.0
"Ellis, David",,-,-,1,-,-,-,-,,,,,,,-,,-,,-,,,,,,,1.0
"Feldmann, Derek",,,,,,,,,,,,,,,-,-,-,,,,,,,,,
"Galt, Rod",-,-,-,-,-,-,1,2,-,-,-,-,,,-,-,-,-,-,1,-,1,2,-,2,9.0
"Grambeau, Shane",,,-,,,,-,,1,,1,4,-,,1,2,1,-,,2,-,-,-,-,-,12.0
"Judson, Wayne",-,-,-,-,-,-,-,-,-,-,,,,,-,-,-,-,-,-,-,-,-,-,-,
"Lanyon, Mike",,,-,,,,,-,-,,,3,-,-,,,,,,,,,,,,3.0
"Lawrence, Barry",-,-,,-,-,-,-,-,-,2,-,,-,-,,,,,,,,2,2,,1,7.0
"Malthouse, Mick",,,,,,,,,,,,,,,-,,-,-,,-,-,-,-,-,-,
"Manzie, John",1,-,-,1,1,-,-,2,-,-,-,-,-,1,1,-,-,-,1,-,1,1,-,2,1,13.0
"McIntosh, John",1,-,1,-,,,,,,,,,,,,,,,,,,,,,,2.0
"Moran, Jeff",-,1,-,-,1,1,-,1,-,-,-,-,-,-,3,-,,1,-,-,-,-,,1,-,9.0
"Murray, Bob",,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,,
"Mynott, Brian",1,-,-,-,-,-,-,-,,1,-,-,-,2,,,,-,1,-,1,1,-,1,-,8.0
"Neale, Kevin",,-,,,,-,,-,-,-,-,-,-,-,-,-,-,,,,,-,-,-,-,
"ODea, Jim",-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,,,,,,,,,,
"Payze, Travis",2,-,-,4,-,-,-,-,2,1,-,,-,1,,1,1,-,2,1,-,1,-,-,-,16.0
"Rae, Stephen",-,,-,-,-,,,-,3,-,,-,,-,-,3,1,-,-,-,-,,,,,7.0
"Scott, Graham",,,-,,,,,,,1,3,2,-,-,,2,2,1,-,1,-,,,,,12.0
"Smith, Ross",2,1,1,1,1,3,2,-,1,1,-,,1,1,2,1,1,-,-,1,1,-,1,1,,23.0
"Stephens, John",-,3,-,1,2,4,5,2,-,3,2,1,-,1,-,,,2,2,,-,2,4,1,1,36.0
"Theodore, Stephen",1,1,,-,1,2,1,-,,,-,1,,,2,-,1,1,-,1,2,1,-,2,1,18.0
"Trott, Stuart",1,1,-,1,2,1,4,1,1,1,-,-,1,-,-,-,2,1,1,1,1,1,1,-,1,23.0
Totals,12,8,4,15,14,18,19,10,14,15,7,19,6,10,10,11,12,6,9,12,8,12,14,17,14,296.0
Opponent,NM,FI,FO,CW,SM,RI,ES,CA,ME,GE,HW,NM,FI,CW,FO,SM,RI,ES,CA,ME,GE,HW,ES,CW,CA,
