Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,QF,SF,PF,GF,Tot
"Allan, Graeme",2,1,-,-,2,1,,-,,,,1,3,1,-,-,-,1,1,,-,-,-,,-,-,13.0
"Annear, John",,,,,,,,,,-,,,,,,,,,,,,,,,,,
"Atkin, Stuart",,,,,-,,,,,,,,,,-,-,-,-,,-,-,-,1,-,-,-,1.0
"Austen, Geoffrey",,,,,,,,-,-,,,,,,,,,,,,,,,,,,
"Banks, Denis",,,,,,,,,,,,,,,,,-,1,-,1,-,,-,,,,2.0
"Barham, Ricky",1,1,1,-,2,1,,,1,-,1,,,-,,,,1,4,,,-,2,2,-,2,19.0
"Brewer, Ross",-,,,,,-,,-,4,3,3,4,4,1,1,,,,,,,-,,3,-,-,23.0
"Browne, Murray",,,,,,,,,,,,,,,,,-,,,,,,,,,,
"Byrne, Ray",-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,1.0
"Carlson, Leigh",-,,,-,,,-,,-,,,,,,,,,,,,,,,,,,
"Cooper, Ian",,,,-,,,,,-,-,,,,,,,,,,,,,,,-,-,
"Daicos, Peter",6,6,6,,-,7,2,1,2,9,2,3,3,1,2,3,2,-,2,4,3,-,4,3,4,1,76.0
"Davis, Craig",4,5,3,6,3,2,3,3,2,4,1,,,3,1,4,2,1,-,1,3,-,,3,1,-,55.0
"Dreher, Mark",,,,,,,,,,,,-,,,,,,-,,,,,,,,,
"Evans, Barry",,,,,,,2,1,,,,,,,,,,,,,,,,,,,3.0
"Fellowes, Wes",,,,,,,,,,,,,1,,,,,,,,,,,,,,1.0
"Hannebery, Mark",-,1,2,-,1,1,1,1,1,-,-,-,-,-,-,-,-,,,,,,,,,,8.0
"Herbert, Des",,,,-,-,,,-,,,,,,,,,,,,,,,,,,,
"Irwin, Warwick",,,,,,,,,,,-,-,3,1,3,-,3,3,-,1,-,1,-,1,-,-,16.0
"Kink, Rene",2,-,1,,,,3,2,,,,,,2,2,-,,-,1,2,3,-,1,1,3,-,23.0
"Lovell, Noel",,,,,,,,,,,,,,,,,,,,,,,,,-,-,
"Magro, Stan",-,-,,,,-,,,,,,,,-,-,-,-,-,-,-,1,-,-,-,,,1.0
"McCormack, Peter",-,-,1,-,-,-,-,-,-,-,-,-,-,-,,-,-,,-,-,-,-,-,-,-,-,1.0
"Moore, Peter",1,2,-,1,-,-,-,-,-,-,,-,-,-,1,-,-,1,-,-,-,1,-,-,,1,8.0
"Morris, Kevin",1,-,4,3,1,4,1,3,2,-,-,1,,,-,-,1,,,-,,,-,,,,21.0
"Ohlsen, Russell",,,-,,,,,,,,-,,-,,-,,,,,1,-,1,,-,,,2.0
"Picken, Bill",-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,-,-,-,1,-,-,1,-,-,-,2.0
"Shaw, Derek",,,,-,,,,,,,,,,,,,,,,,,,,,,,
"Shaw, Ray",1,2,1,,2,,,,,,,,,,,,,-,3,-,1,,,3,1,1,15.0
"Shaw, Tony",,-,-,-,5,-,1,1,2,-,1,1,-,1,-,1,1,-,1,1,-,-,1,1,-,1,19.0
"Smith, Andrew",,,-,-,1,-,-,-,,,,-,-,1,,-,-,-,-,1,2,-,-,-,,,5.0
"Stewart, Craig",2,3,3,1,,2,-,,,,2,2,3,-,,,,-,-,-,5,-,,,2,1,26.0
"Taylor, Michael",1,2,-,-,1,2,-,-,-,-,-,-,-,1,1,1,1,1,-,,,1,-,1,-,1,14.0
"Twomey, David",-,-,-,-,-,-,1,-,1,-,-,-,-,-,-,-,,,,,,-,-,-,-,-,2.0
"Wearmouth, Ronnie",,,,,,,,,-,-,1,-,-,,-,-,,,,-,,,,,,,1.0
"Weideman, Mark",,,,,2,1,2,2,1,-,1,1,2,1,-,2,4,-,1,-,2,-,1,,-,,23.0
"Williams, Mark",1,2,1,-,1,1,2,,-,1,-,1,-,-,1,-,1,-,1,1,2,-,2,-,1,2,21.0
"Worthington, Kevin",-,-,-,-,-,-,-,,,-,-,-,-,,-,-,-,,-,,-,,-,1,,,1.0
"Young, David",,-,,,,,-,-,-,-,-,,,,,,,,,,,,,,,,
Totals,22,26,23,11,21,22,18,14,16,17,12,14,19,13,12,11,15,9,14,14,22,4,13,19,12,10,403.0
Opponent,FI,FO,SK,GE,ME,CA,SM,ES,NM,RI,HW,FO,SK,GE,ME,CA,SM,ES,NM,RI,HW,FI,GE,FI,GE,CA,
