Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,QF,SF,Tot
"Alvey, Mark",,,,,,,,,,,,,,,,,,,,,,1,1,,2.0
"Brown, Nathan",-,2,-,-,,-,1,-,1,-,-,2,-,1,3,1,1,-,1,-,1,-,-,,14.0
"Cameron, Leon",-,1,2,-,-,-,,,-,2,-,2,-,-,-,1,-,1,,,,,,-,9.0
"Contessa, Adam",,,,,1,3,1,1,-,1,1,-,,,,,,-,1,-,,3,,,12.0
"Cook, James",-,-,,3,-,-,1,1,1,1,-,,,-,1,5,1,2,2,-,1,2,,,21.0
"Cox, Simon",-,1,-,,,,1,,,,,,,,,,,,,,,,,,2.0
"Croft, Matthew",-,,1,-,-,1,1,1,-,2,1,-,3,-,1,-,4,1,2,-,1,1,5,-,25.0
"Curley, Todd",-,-,-,1,-,3,-,1,1,-,1,1,3,-,-,1,1,1,-,-,-,-,2,1,17.0
"Darcy, Luke",1,1,2,-,2,1,1,2,5,2,1,-,1,2,-,-,3,1,1,1,1,2,-,3,33.0
"Dent, Matthew",3,3,,,-,-,1,1,-,-,2,-,2,-,,,,,-,1,-,,,1,14.0
"Dimattina, Paul",1,2,-,-,-,1,4,1,3,1,3,1,3,2,-,2,-,,,,3,1,2,2,32.0
"Ellis, Craig",,1,1,-,3,2,,1,-,,1,-,3,,,,-,,-,1,1,-,2,2,18.0
"Garlick, Simon",2,-,3,2,-,-,2,2,-,-,-,3,1,2,1,1,-,-,-,1,3,,1,-,24.0
"Grant, Chris",1,2,1,2,2,1,1,2,1,3,1,2,5,1,1,3,1,2,2,1,1,1,4,1,42.0
"Hudson, Paul",1,-,-,1,1,-,-,-,-,1,-,,,-,-,1,1,-,-,-,-,2,1,-,9.0
"Hunter, Kingsley",,,,,,,,,,,,1,,,,,,,,,,,,,1.0
"Johnson, Brad",-,1,1,-,-,1,-,1,-,-,-,-,1,-,-,1,2,-,1,1,3,-,2,1,16.0
"Kolyniuk, Steven",,,,,,,,,,,,,,,,,,,,,-,-,3,-,3.0
"Kretiuk, Steven",,,,,,,-,2,-,4,1,,2,2,-,-,-,2,1,2,1,-,-,3,20.0
"Liberatore, Tony",3,1,3,-,2,-,1,1,1,4,,,,-,-,2,1,1,-,1,-,-,-,2,23.0
"Macri, Christin",,,,,,,,,,,,,,,,,,-,1,-,,,,,1.0
"Mahoney, Josh",-,-,1,-,1,1,,,,,,-,,,,,,,,,,,,,3.0
"Martin, Michael",1,-,-,-,,,,,,,,,-,,-,-,,,,,,,,,1.0
"Montgomery, Brett",2,2,-,,1,-,1,2,-,3,2,1,-,-,1,-,-,1,-,-,1,-,1,1,19.0
"Plunkett, Jim",,,,,,,,,,,,-,1,,,,,,,,,,,,1.0
"Powell, Stephen",,,,1,-,3,1,-,-,1,1,3,1,1,2,1,4,-,1,1,-,1,2,1,25.0
"Robbins, Matthew",,,,,,,1,-,-,1,-,1,1,2,-,-,3,1,,,,,,2,12.0
"Romero, Jose",,,1,-,,,,,,,,,,,,,,2,-,-,-,-,4,1,8.0
"Smith, Rohan",3,2,1,-,1,-,-,1,1,1,-,2,1,-,1,-,-,3,1,-,-,-,-,1,19.0
"Southern, Daniel",-,2,1,-,1,,,,,,,,-,-,1,3,3,2,-,1,1,1,-,-,16.0
"West, Scott",-,1,2,-,-,-,2,-,1,-,1,1,1,-,-,2,2,1,,,,-,1,-,15.0
"Winmar, Nicky",-,2,1,1,2,-,-,1,,1,-,-,-,2,2,1,-,,-,-,1,-,-,,14.0
"Wynd, Scott",-,1,3,1,2,4,-,2,-,2,-,-,1,-,1,-,1,-,-,2,-,,-,-,20.0
Totals,18,25,24,12,19,21,20,23,15,30,16,20,30,15,15,25,28,21,14,13,19,15,31,22,491.0
Opponent,AD,GE,CA,SK,RI,WC,PA,ME,CW,BL,HW,FR,ES,SY,KA,AD,GE,CA,SK,RI,WC,PA,WC,BL,
