Player,R1,R2,R3,R4,R5,R6,R7,R8,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,EF,SF,PF,Tot
"Boak, Travis",3,4,4,6,6,5,5,4,7,5,,4,7,6,3,5,2,3,6,5,9,4,5,2,6,116.0
"Broadbent, Matthew",3,1,4,2,1,5,1,1,4,5,4,4,4,2,2,2,1,4,1,5,2,1,-,5,2,66.0
"Butcher, John",3,2,3,,,,,,,,,,,,,,,,,,,,,,,8.0
"Carlile, Alipate",,-,-,1,1,1,,2,-,1,3,1,3,-,,,,1,-,1,1,-,-,-,-,16.0
"Cassisi, Domenic",-,1,1,6,3,2,1,-,-,,3,5,,,1,,2,,,,,,,,,25.0
"Clurey, Tom",-,,,,,,,,,,,,,,,,,,,,,,,,,
"Cornes, Kane",1,3,1,4,5,4,5,3,3,1,2,-,2,2,1,2,3,-,2,2,2,2,2,1,1,54.0
"Ebert, Brad",2,6,10,6,2,5,4,4,4,1,4,8,3,6,3,3,3,2,5,2,1,7,5,2,3,101.0
"Gray, Robbie",-,2,5,4,3,3,6,6,4,3,2,1,3,2,3,2,4,1,3,11,3,5,3,-,2,81.0
"Gray, Sam",,,,4,1,1,,,,,3,,4,3,,2,,,,,,,,,,18.0
"Hartlett, Hamish",2,3,4,2,6,2,,5,3,,3,-,,2,5,4,3,3,4,4,4,5,3,5,2,74.0
"Hombsch, Jack",-,2,4,-,,1,3,1,-,-,-,-,3,-,-,-,1,4,1,-,2,1,-,2,2,27.0
"Impey, Jarman",1,1,2,4,2,-,-,2,-,4,2,-,,-,2,3,-,3,,,,-,,,,26.0
"Jonas, Tom",1,-,-,1,3,1,-,,,,3,3,2,3,-,1,-,1,5,5,2,1,2,-,1,35.0
"Lobbe, Matthew",2,-,1,2,1,1,-,,1,-,3,5,2,2,1,-,2,-,-,2,3,1,2,-,-,31.0
"Logan, Tom",,,,,,,,,,,,,2,,,2,,,,2,,,,,,6.0
"Mitchell, Kane",,,,,,,,3,2,5,3,2,1,4,1,2,,,2,,,,,,,25.0
"Monfries, Angus",5,4,3,,,,2,3,1,,,1,1,2,3,,,2,-,,3,-,1,3,2,36.0
"Moore, Andrew",,,,,,,,,,-,,,,,,,,-,2,5,1,-,2,1,1,12.0
"Neade, Jake",,,,,,,,,,2,,,,,,,,,2,1,6,-,4,3,2,20.0
"Newton, Ben",,,,,,,1,,,,2,,,,,,1,2,,,,,,,,6.0
"OShea, Cameron",,,,1,-,,,,,,,,,,5,1,3,3,1,-,2,,3,1,3,23.0
"Pittard, Jasper",1,2,-,2,4,1,2,3,1,2,-,4,2,3,3,1,2,-,1,6,6,3,1,2,2,54.0
"Polec, Jared",6,5,3,3,5,6,9,1,3,4,2,,6,1,5,4,1,2,2,1,4,2,7,3,5,90.0
"Renouf, Brent",,,,,,,,-,,,,,,,,,,,,,,,,,,
"Schulz, Jay",4,3,2,2,1,-,1,-,1,2,3,2,4,2,1,2,3,1,1,1,2,3,2,5,2,50.0
"Stewart, Paul",,,,,,,4,,,3,,,,,,,-,3,,,,,,,,10.0
"Trengove, Jackson",1,1,1,1,1,-,2,3,2,2,5,2,2,-,,,,,-,,1,1,3,1,-,29.0
"Westhoff, Justin",3,2,5,3,3,2,4,3,4,7,4,5,-,2,3,3,1,-,1,5,2,9,4,5,6,86.0
"White, Matt",3,3,3,6,5,2,6,5,3,6,,6,6,5,6,3,2,,,6,5,1,-,2,4,88.0
"Wines, Ollie",3,4,1,3,5,2,6,2,4,3,4,3,2,6,-,4,5,7,2,2,1,5,3,7,3,87.0
"Wingard, Chad",3,3,-,,3,3,3,3,-,2,7,5,5,3,4,1,5,3,3,3,5,4,6,4,1,79.0
"Young, Aaron",,,,-,2,2,6,-,-,2,-,1,1,,2,3,4,,,3,,,,,,26.0
Totals,47,52,57,63,63,49,71,54,47,60,62,62,65,56,54,50,48,45,44,72,67,55,58,54,50,1405.0
Opponent,CA,AD,NM,BL,WC,GE,GW,FR,HW,ME,SK,SY,WB,AD,ES,RI,ME,CW,SY,GC,CA,FR,RI,FR,HW,
