Player,position,age,games played,dob,origin,height,weight
aaron cadman,Forward,19yr 3mth,9,"March 3, 2004",Greater Western Victoria Rebels,195cm,92kg
aaron francis,"Defender, Forward",25yr 10mth,63,"August 10, 1997",West Adelaide,193cm,92kg
aaron hall,Defender,32yr 7mth,161,"November 9, 1990",Hobart,185cm,85kg
aaron naughton,Forward,23yr 6mth,114,"November 30, 1999",Peel Thunder,195cm,93kg
adam cerra,Midfield,23yr 8mth,108,"October 7, 1999",Eastern Ranges,187cm,86kg
adam kennedy,"Defender, Forward",30yr 11mth,153,"July 12, 1992",Western Jets,184cm,80kg
adam saad,Defender,28yr 11mth,165,"July 23, 1994",Coburg,178cm,77kg
adam tomlinson,Defender,29yr 10mth,173,"August 10, 1993",Oakleigh Chargers,194cm,95kg
adam treloar,Midfield,30yr 3mth,222,"March 9, 1993",Aspendale,184cm,89kg
aidan corr,Defender,29yr 1mth,130,"May 17, 1994",Northern Knights,195cm,97kg
aiden bonar,Defender,24yr 3mth,34,"March 8, 1999",Dandenong Stingrays,188cm,87kg
alex cincotta,"Defender, Midfield",26yr 6mth,7,"December 17, 1996",Newtown,186cm,86kg
alex davies,"Midfield, Forward",21yr 3mth,24,"March 18, 2002",Suns Academy,191cm,86kg
alex keath,Defender,31yr 5mth,96,"January 20, 1992",Murray Bushrangers,197cm,99kg
alex neal bullen,Forward,27yr 5mth,142,"January 9, 1996",Glenelg,183cm,81kg
alex pearce,Defender,28yr,98,"June 9, 1995",Devonport,201cm,99kg
alex sexton,Forward,29yr 6mth,164,"December 3, 1993",Redland,186cm,82kg
alex witherden,Defender,24yr 9mth,94,"September 10, 1998",Geelong Falcons,188cm,86kg
aliir aliir,Defender,28yr 9mth,121,"September 5, 1994",East Fremantle,194cm,96kg
andrew brayshaw,Midfield,23yr 7mth,114,"November 8, 1999",Sandringham Dragons,185cm,86kg
andrew gaff,Midfield,31yr,266,"June 16, 1992",Oakleigh Chargers,183cm,85kg
andrew mcgrath,"Defender, Midfield",25yr,125,"June 2, 1998",Sandringham Dragons,180cm,83kg
angus brayshaw,Defender,27yr 5mth,157,"January 9, 1996",Sandringham Dragons,187cm,92kg
