Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,QF,QF.1,SF,PF,Tot
"Annear, John",1,3,,,,,,,1,-,,,,,,,,,,,,,,,,,5.0
"Begovich, Tony",,,,,,,,-,,,,,,,1,-,-,-,-,-,,,,,-,1,2.0
"Breman, Todd",,,-,1,-,-,-,,,,,,-,1,,,,,,,,,,,,1,3.0
"Brennan, Michael",-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1.0
"Gwilliam, Brad",-,-,-,,,,,,,,,,,,,-,,,,,,,,,,,
"Hart, David",,,2,-,,,,,,,1,-,-,-,-,-,1,1,-,-,1,-,1,-,-,-,7.0
"Heady, Brett",,,,-,1,1,-,2,2,2,1,2,1,-,1,,,,2,-,1,-,-,-,-,-,16.0
"Irving, Dean",-,-,-,,,,,,,,-,-,-,-,-,1,-,-,-,1,-,,-,-,,,2.0
"Jackson, Stevan",,,-,4,2,1,-,1,-,-,-,,1,-,-,,-,,,,,,,,5,2,16.0
"Keene, Laurie",,,,,,,,,,,,,,,,,,,,,,-,1,1,-,-,2.0
"Kemp, Dean",-,-,-,-,-,1,-,-,-,-,,-,-,-,,,1,-,-,-,-,1,1,-,-,-,4.0
"Laidley, Dani",-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,
"Lamb, Dwayne",-,-,-,-,-,1,1,1,-,,-,-,-,1,-,1,-,-,1,-,,-,2,1,-,,9.0
"Langdon, Karl",1,-,-,2,2,1,1,2,2,3,3,1,1,1,2,1,,1,1,1,-,-,1,-,1,-,28.0
"Lewis, Chris",,-,,,,-,-,-,1,-,1,-,1,2,1,1,-,1,4,-,2,-,-,3,-,-,17.0
"Lockyer, Andrew",1,-,,,,-,-,,,,,,,,,,,,,,,,,,-,-,1.0
"Mainwaring, Chris",1,1,,,-,1,,-,1,1,1,-,,,2,1,-,-,2,1,-,-,2,-,1,-,15.0
"Malaxos, Stephen",,,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,1,-,-,2,,,4.0
"Matera, Peter",1,,,,,,-,1,1,-,,,,,,,,,,,,,,,,,3.0
"McGrath, Craig",,,,,,,,,,,1,2,,,1,-,2,1,2,,3,-,-,-,,,12.0
"McKenna, Guy",1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,3.0
"Melesso, Peter",,,,,,,,,,,,,,,,,1,-,-,-,,,,,,,1.0
"Miles, Geoff",,,,,,,-,3,-,1,,,,,-,-,-,-,-,-,,,,,,,4.0
"Narkle, Phil",,,,,,,,3,1,1,-,2,-,2,,,,,,-,-,,,,,,9.0
"OConnell, David",,,,-,-,,,,,,,,,,,,,,,,,,,,,,
"Peos, Paul",-,-,-,,,,,,,,,,,,,,,,,,,-,-,-,-,-,
"Pyke, Don",3,1,,,,,,,,-,,,,,,,,,2,,,,,,,,6.0
"Rance, Murray",-,-,-,-,-,-,-,-,-,-,-,-,-,1,,,,,,,-,-,-,-,,,1.0
"Scott, Phil",-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,1,-,-,2,-,-,-,,,-,-,5.0
"Sumich, Peter",3,1,4,1,4,5,2,3,4,3,-,1,3,-,-,3,,,,5,1,3,3,2,5,5,61.0
"Turley, Craig",,,2,1,1,1,-,,,,-,-,-,-,-,-,1,1,-,-,2,-,-,1,1,-,11.0
"Turner, Dean",,,,,,,,,,-,,,,,,1,-,-,,,1,,,,,-,2.0
"Ugle, Troy",1,1,2,3,-,-,,,,1,1,-,1,-,1,-,1,-,3,-,,,,-,,,15.0
"Waterman, Chris",,,,,,,,,,,,,,,,,,,,3,2,1,1,,2,-,9.0
"Watters, Scott",,,-,-,1,,,-,-,-,,,,,,,,,,,-,-,-,,-,,1.0
"Wilson, Peter",-,-,1,2,-,-,1,3,-,,-,1,-,-,2,1,1,-,-,,,,,-,,,12.0
"Worsfold, John",-,-,-,-,-,-,-,-,-,,-,-,-,-,1,1,-,-,,,-,-,-,-,-,-,2.0
Totals,13,7,11,14,11,12,5,20,15,12,10,9,8,8,12,12,9,5,19,11,15,5,12,10,15,9,289.0
Opponent,CW,SK,FO,CA,SY,RI,ME,BB,GE,NM,ES,HW,FI,CW,SK,FO,CA,SY,RI,ME,BB,GE,CW,CW,ME,ES,
