Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,SF,GF,Tot
"Armstrong, Barry",,,,,,,,,,,,,,,,-,-,,,,,,
"Auchettl, Ron",,,,,,,,,,-,,,,,,,2,,,,,,2.0
"Baird, Doug",,,,,,,,,,5,,-,-,-,,,,1,,,,,6.0
"Barassi, Ron",,,,,,,3,,,,,,,,,,,,,,,,3.0
"Chandler, Neil",-,,,,,,,,,,,,,-,-,,,-,-,,,,
"Collins, Ian",-,-,-,-,-,-,-,-,-,-,,,,-,,,,-,,,-,-,
"Crane, Gary",-,-,-,-,1,1,1,1,-,-,1,-,-,1,-,1,1,1,-,1,-,1,11.0
"Crosswell, Brent",,2,2,1,3,1,,,,,1,-,,,,1,1,1,1,1,-,1,16.0
"Doull, Bruce",,,,,-,-,-,-,-,,,,,,,,,,-,,,,
"Gallagher, Adrian",3,3,1,-,1,-,-,-,4,1,2,-,1,-,-,1,-,5,-,-,2,1,25.0
"Gill, Barry",-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Goold, John",-,-,,,-,-,-,-,-,-,-,-,1,-,-,,-,-,-,,-,-,1.0
"Hall, Kevin",-,1,-,-,-,-,-,-,-,1,,-,-,,-,,,,-,-,-,-,2.0
"Hopkins, Ted",-,,,,,,,,,,,,,,,,,,,-,,-,
"Jackson, Syd",2,1,-,-,-,1,-,3,1,4,3,1,1,2,2,2,1,,1,-,2,1,28.0
"Jesaulenko, Alex",1,12,2,1,-,1,5,1,2,,1,,1,2,6,4,1,3,2,3,2,2,52.0
"Jones, Peter",1,3,1,2,2,-,4,1,1,-,-,-,1,-,1,-,1,-,-,1,-,-,19.0
"Kerr, Peter",-,-,-,-,,-,-,,,,,-,-,,,,,-,,-,,,
"Lofts, Wes",-,-,,,,,1,-,-,-,,,-,-,-,-,-,-,-,-,-,-,1.0
"McKay, David",,,-,,,,,,,1,-,,-,,-,-,,,,,,,1.0
"McLean, Ricky",,,4,3,1,,,,,,2,1,,,,,,,,,,,11.0
"Mewett, Noel",,,,,,,,1,-,,,1,-,1,,,,,,,,,3.0
"Munari, Dennis",1,,,,,,,,,-,1,,,-,,,,,,,-,,2.0
"Nicholls, John",-,1,-,1,3,-,1,3,-,,1,1,5,-,1,-,-,-,1,-,1,1,20.0
"Nicoll, Ian",,1,1,1,3,1,2,-,3,2,-,1,1,4,1,-,1,-,-,-,2,1,25.0
"Pinnell, Phillip",,,,,,,,-,-,-,-,-,,,-,-,-,-,,-,-,1,1.0
"Quirk, Bryan",1,4,-,1,-,1,1,-,-,1,1,-,-,-,1,-,2,1,-,-,-,-,14.0
"Robertson, Ian",2,-,2,-,-,,3,1,2,-,-,2,2,-,1,-,-,,2,1,1,-,19.0
"Silvagni, Sergio",-,-,-,-,1,-,-,-,-,-,-,-,1,1,-,-,,-,-,-,-,1,4.0
"Smith, Peter",,,,-,,,,,,,-,,,,,,,,,,,,
"Stone, Ron",,1,,-,-,-,,,,,,,,,,-,-,,,-,,,1.0
"Thornley, Bert",,,-,-,-,1,,,,,,,,,-,-,-,-,-,,,,1.0
"Waite, Vin",3,-,-,-,,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5.0
"Walls, Robert",-,-,-,-,-,-,-,-,-,-,1,2,2,-,-,1,1,2,-,1,-,1,11.0
Totals,14,29,13,10,15,7,23,11,13,15,14,9,16,11,13,10,11,14,7,8,10,11,284.0
Opponent,SK,HW,FO,CW,SM,GE,ME,RI,ES,NM,FI,SK,HW,FO,CW,SM,GE,ME,RI,ES,CW,RI,
