Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,SF,GF,Tot
"Armstrong, Barry",,,,,,,,,,,,,,,,-,-,,,,,,
"Auchettl, Ron",,,,,,,,,,-,,,,,,,-,,,,,,
"Baird, Doug",,,,,,,,,,2,,2,3,-,,,,1,,,,,8.0
"Barassi, Ron",,,,,,,-,,,,,,,,,,,,,,,,
"Chandler, Neil",-,,,,,,,,,,,,,-,-,,,-,-,,,,
"Collins, Ian",-,-,-,-,-,-,-,-,-,-,,,,-,,,,-,,,-,-,
"Crane, Gary",-,-,-,-,1,-,-,1,-,-,-,-,1,1,-,-,-,1,1,-,-,-,6.0
"Crosswell, Brent",,4,1,3,1,-,,,,,1,-,,,,4,2,4,6,4,2,1,33.0
"Doull, Bruce",,,,,1,-,-,1,-,,,,,,,,,,-,,,,2.0
"Gallagher, Adrian",2,2,1,-,2,1,3,3,2,1,4,-,3,-,2,1,2,2,-,1,3,1,36.0
"Gill, Barry",-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Goold, John",-,-,,,2,-,-,-,-,-,-,-,-,-,-,,-,-,-,,-,-,2.0
"Hall, Kevin",-,-,-,-,-,1,-,-,-,-,,1,-,,-,,,,-,-,-,-,2.0
"Hopkins, Ted",-,,,,,,,,,,,,,,,,,,,-,,-,
"Jackson, Syd",2,-,-,1,-,-,-,2,2,2,-,1,2,3,1,1,-,,1,3,4,2,27.0
"Jesaulenko, Alex",1,6,1,1,1,5,3,5,2,,6,,-,7,2,3,6,1,5,7,3,1,66.0
"Jones, Peter",3,7,2,2,3,1,-,1,1,1,3,-,5,1,3,2,4,3,1,2,1,-,46.0
"Kerr, Peter",-,-,-,-,,-,-,,,,,-,-,,,,,-,,-,,,
"Lofts, Wes",-,-,,,,,-,-,-,-,,,-,-,-,-,-,-,-,-,-,-,
"McKay, David",,,-,,,,,,,2,-,,-,,-,-,,,,,,,2.0
"McLean, Ricky",,,2,3,2,,,,,,2,-,,,,,,,,,,,9.0
"Mewett, Noel",,,,,,,,-,-,,,3,-,-,,,,,,,,,3.0
"Munari, Dennis",1,,,,,,,,,-,-,,,-,,,,,,,-,,1.0
"Nicholls, John",2,2,-,-,3,1,3,-,2,,1,-,2,2,2,5,-,-,1,1,1,2,30.0
"Nicoll, Ian",,2,-,2,2,1,1,1,2,-,4,-,-,2,2,1,-,-,1,-,-,-,21.0
"Pinnell, Phillip",,,,,,,,-,-,-,-,-,,,-,-,-,-,,-,-,-,
"Quirk, Bryan",-,3,3,-,1,2,2,-,-,1,-,-,-,-,1,-,-,-,1,1,-,-,15.0
"Robertson, Ian",-,3,1,-,-,,1,1,1,1,-,-,-,-,-,-,-,,-,-,-,-,8.0
"Silvagni, Sergio",-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,2.0
"Smith, Peter",,,,-,,,,,,,-,,,,,,,,,,,,
"Stone, Ron",,1,,-,-,-,,,,,,,,,,-,-,,,-,,,1.0
"Thornley, Bert",,,-,-,-,-,,,,,,,,,-,-,-,-,-,,,,
"Waite, Vin",-,-,-,1,,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2.0
"Walls, Robert",-,-,-,-,-,-,-,2,3,-,3,2,6,1,4,2,-,1,3,1,2,1,31.0
Totals,11,30,11,13,20,13,14,17,15,10,24,9,22,17,17,19,14,13,20,20,16,8,353.0
Opponent,SK,HW,FO,CW,SM,GE,ME,RI,ES,NM,FI,SK,HW,FO,CW,SM,GE,ME,RI,ES,CW,RI,
