Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R15,R16,R17,R18,Tot
"Atkins, Rory",1,-,-,,,,,,2,,,,,,,,,3.0
"Brown, Luke",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Butts, Jordon",,,,,,,,,,,,,-,,,-,,
"Crocker, Ben",,1,-,-,1,,,,,-,-,,1,,,,,3.0
"Crouch, Brad",-,1,-,-,-,-,-,-,,,,,,-,-,-,-,1.0
"Crouch, Matt",-,-,-,,-,-,-,-,-,-,-,-,-,1,-,-,-,1.0
"Davis, Ben",-,,,,,,,,,,,,,,,,,
"Doedee, Tom",,-,1,-,-,-,-,-,,-,-,,,,,,,1.0
"Fogarty, Darcy",1,1,-,,,,,,,1,-,,-,-,-,-,2,5.0
"Frampton, Billy",-,,,1,1,1,,,,,,,,,,2,,5.0
"Gibbs, Bryce",-,,,,,,,,-,,,,,,,1,,1.0
"Hamill, Will",,,-,-,-,-,-,-,-,-,,,,,,,,
"Hartigan, Kyle",,,,,-,-,-,-,-,,-,-,-,-,-,-,-,
"Himmelberg, Elliott",,,,1,,,,1,-,-,3,1,1,1,2,2,1,13.0
"Jones, Chayce",1,-,-,-,-,-,-,-,-,-,,,-,1,-,1,-,3.0
"Keays, Ben",,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1.0
"Kelly, Jake",-,-,-,-,-,-,-,,-,-,,-,-,-,-,-,-,
"Knight, Riley",,,,,,,,,-,,,,,,,,,
"Laird, Rory",-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1.0
"Lynch, Tom",-,-,-,-,1,1,-,-,1,1,-,,,,,-,1,5.0
"Mackay, David",,,,,,-,1,-,,-,-,-,1,-,1,,-,3.0
"McAdam, Shane",,,,1,-,1,1,-,2,,2,-,1,3,3,1,1,16.0
"McAsey, Fischer",-,-,-,-,,-,1,-,,-,-,1,,,,,,2.0
"McHenry, Ned",,1,-,-,1,-,-,,,-,-,,,,,,,2.0
"McPherson, Andrew",,,,,,-,-,-,-,,-,-,,,-,-,-,
"Milera, Wayne",-,-,,,,,,,,,,,,,,,,
"Murphy, Lachlan",1,-,-,-,1,,,2,-,-,,-,-,1,-,,,5.0
"OBrien, Reilly",-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1.0
"Poholke, Myles",,,,1,1,,,,,,,-,-,1,,,,3.0
"Schoenberg, Harry",,,,,,,,,,-,-,-,-,1,-,-,-,1.0
"Seedsman, Paul",-,-,-,,,,-,-,-,1,-,-,,,,,,1.0
"Sholl, Lachlan",,,,,,,,,,-,-,-,-,-,-,1,-,1.0
"Sloane, Rory",-,-,-,-,-,-,,,,,,-,-,-,-,1,-,1.0
"Smith, Brodie",1,-,-,-,-,-,-,-,-,,-,-,-,-,-,1,-,2.0
"Stengle, Tyson",-,,,,,2,1,-,-,,-,-,-,1,2,-,-,6.0
"Strachan, Kieran",,,,,,,,,-,,,,,,,,,
"Talia, Daniel",-,-,-,-,-,-,-,-,-,-,,-,,-,-,,-,
"Walker, Taylor",1,-,1,1,-,,2,1,,1,-,-,-,3,-,,-,10.0
Totals,6,4,2,5,6,5,6,4,5,4,5,3,4,14,8,11,5,97.0
Opponent,SY,PA,GC,BL,FR,WC,SK,ES,NM,ME,CW,WB,GE,HW,GW,CA,RI,
