Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,SF,GF,GF.1,Tot
"Allanson, Noel",-,-,-,-,-,-,-,-,,,-,-,-,-,-,,-,-,,,,,
"Bigelow, Doug",,,,,-,,-,-,1,-,-,-,-,1,-,-,-,-,2,4,-,,8.0
"Bradley, Bob",-,-,-,,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,1,1,-,3.0
"Brittingham, Bill",2,-,-,1,-,-,-,-,-,-,3,1,5,6,4,5,6,,1,1,2,2,39.0
"Bryar, Dick",,,,,,,,,-,,,,,,,,-,-,,,,,
"Bushby, Percy",,,,,,,,,,,,,-,1,-,-,-,-,,-,-,-,1.0
"Buttsworth, Wally",-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,-,,-,,
"Equid, Harry",-,1,1,,,4,2,4,2,-,,,,,-,,,,,-,,-,14.0
"Fisher, Vic",,,,,,,,,-,-,-,,-,-,,-,-,-,2,-,-,-,2.0
"Gardiner, Les",,,-,-,-,-,-,,,,,-,-,-,-,-,-,-,-,,,-,
"Goninon, George",,,,,,,,,,,,4,3,,,,,,,,,,7.0
"Goodingham, Ivan",2,2,-,4,1,-,,2,1,1,2,-,,,,,,-,-,,,,15.0
"Harper, Bert",-,-,-,,,,,,,,,,,,,,,-,-,-,-,-,
"Hassell, George",-,-,-,-,-,-,1,-,-,-,,,,,-,-,-,-,-,-,-,-,1.0
"Hutchison, Bill",3,3,2,3,6,5,1,-,4,5,2,3,5,1,,-,,2,3,1,2,1,52.0
"Jones, Jack",3,2,5,1,-,-,1,1,-,3,-,-,1,1,1,1,1,4,-,-,-,1,26.0
"Lambert, Chris",,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,
"Lambert, Harold",-,-,-,-,,,,,-,-,,-,-,1,-,-,-,-,-,-,-,,1.0
"Lane, Gordon",1,,4,5,,,,,,,,,,,,,,,,,,,10.0
"Leehane, Ted",1,2,-,1,1,1,3,1,1,2,5,1,2,1,3,1,2,-,1,1,-,-,30.0
"May, Wally",-,-,-,-,-,1,-,,,,,,,,-,-,-,-,-,-,-,-,1.0
"McClure, Bob",-,-,-,-,-,-,-,-,-,2,-,-,1,-,,-,-,-,-,-,-,-,3.0
"McDonald, Norm",-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"McEwin, Ron",,,,-,,-,1,-,-,-,-,-,,,,,,,,,,-,1.0
"Newton, Ken",,-,,,2,5,2,-,1,4,-,,,,,,,,,,,,14.0
"Rawle, Keith",1,1,2,4,-,1,1,-,1,1,-,1,-,2,-,-,1,1,-,1,2,-,20.0
"Reynolds, Dick",-,-,2,1,3,2,-,-,1,-,2,2,1,1,2,-,1,2,1,3,-,1,25.0
"Ruddell, Cec",-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,,-,-,-,-,
"Syme, Bob",,,,,,,,,,,2,1,-,1,1,1,2,1,,1,-,2,12.0
"Tate, Greg",-,-,,-,-,,-,1,,,-,,,-,-,-,3,,,,,,4.0
"Ward, John",,,,,,,,,,,,,,,-,,,,,,,,
Totals,13,11,16,20,13,19,12,9,12,18,17,13,18,16,11,8,16,10,10,13,7,7,289.0
Opponent,ME,HW,CW,SM,RI,CA,GE,FI,NM,FO,SK,ME,HW,CW,SM,RI,CA,GE,FI,ME,ME,ME,
