Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,Tot
"Albiston, Ken",,,,,,,,,,,,,-,,,,,-,5,5.0
"Balfour, Don",,,-,-,,,-,,,,,,,,,,,,,
"Bourke, Frank",5,2,6,5,7,6,2,6,1,,,,,,,,,,,40.0
"Broadstock, Jack",,,,,,,,,-,,,2,,-,-,-,1,-,2,5.0
"Burge, Fred",1,1,1,2,-,5,1,1,-,,2,2,-,3,-,4,,,,23.0
"Calverley, Des",,,,,,,,-,1,-,-,-,-,-,-,-,-,-,-,1.0
"Colls, Kevin",,,-,,,,,,,,,,,,,,,,,
"Cook, Fred",-,-,-,,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,
"Cook, Keith",-,,,,,,,,,,,,,,,,,,,
"Deagan, Kevin",,,,,,-,1,,,,,,,,,,,,,1.0
"Durham, Ron",,,,,,-,-,-,,,,,,,,,,,,
"Dyer, Jack",-,2,-,1,-,3,1,2,6,1,2,4,-,2,2,4,3,2,2,37.0
"Eames, Jack",,,,-,-,-,-,-,-,-,1,-,-,-,-,-,-,,,1.0
"Evans, Ron",,,,,,,,,,,,,,,,-,-,,,
"Fraser, Don",,2,1,4,1,2,-,-,1,-,3,-,2,4,2,2,2,7,1,34.0
"Jones, Les",-,-,-,,,-,1,,3,2,1,-,1,-,-,-,-,-,-,8.0
"Kemp, Arthur",-,-,,,,,,-,-,-,,,,,,,,,,
"Maguire, Leo",-,-,-,-,-,-,,-,-,,-,-,,1,-,-,-,-,-,1.0
"Merrett, Leo",-,-,1,-,-,-,-,1,-,-,-,-,-,-,1,-,-,1,-,4.0
"Mooney, Arthur",4,2,4,1,4,3,3,-,-,3,2,2,4,4,2,2,4,3,2,49.0
"Morris, Bill",-,-,-,-,1,-,1,-,-,-,-,-,1,,1,1,1,1,2,9.0
"Murray, Sel",,,,,,,,,,1,,,,,,,,,,1.0
"Nagle, Phil",-,2,,,,,,,,1,1,-,,,,,2,-,-,6.0
"Nelson, George",,,,,,,,,,,,,,-,,,-,,,
"Oppy, Max",-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,,,,
"Perkins, Bill",-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,
"Poulter, Ray",,,,,,,,,,,-,4,2,-,,,,-,-,6.0
"Priestley, Charlie",,,,,,,,,,,,,-,-,-,,,-,-,
"Rae, Keith",,,,,-,1,,,,,,,,,,,,,,1.0
"Roach, Bill",,,,-,,,,,,,,,,,,,,,,
"Ross, Noel",2,4,1,2,-,1,-,-,-,1,-,,,,,,,,,11.0
"Rowe, Des",,,,1,-,,1,-,2,-,,,,,,,,,,4.0
"Russell, Wally",-,-,1,-,,,,,,,,,-,,-,,,,,1.0
"Smeaton, George",-,-,-,-,-,,-,-,-,-,,,-,-,,1,-,-,-,1.0
"Stokes, Ray",,,,,1,-,-,-,,,-,-,-,1,-,-,-,-,-,2.0
"Sullivan, Jack",-,-,-,-,-,-,,,,,,,,,,,,,,
"Turner, Jack",-,-,-,-,-,,,,-,-,-,-,-,,,,,,,
"Wiggins, Bob",,,,,,,,,,-,-,-,-,-,-,-,-,-,-,
"Wilson, Bill",-,-,1,1,-,-,-,-,1,-,2,-,1,1,1,3,3,1,2,17.0
"Wright, Roy",,,,,,,,,,,,,,-,3,1,-,1,2,7.0
Totals,12,15,16,17,14,21,11,10,15,9,14,14,11,16,12,18,16,16,18,275.0
Opponent,FI,NM,SK,FO,CW,GE,CA,ES,SM,ME,HW,FI,NM,SK,FO,CW,GE,CA,ES,
