Player,R1,R2,R3,R4,R5,R6,R7,R8,R10,R11,R12,R13,R14,R15,R16,SF,GF,Tot
"Abbott, Gordon",-,1,,,,,-,3,-,-,,-,1,-,-,-,-,5.0
"Betson, Norm",-,-,-,-,-,1,-,-,1,2,-,-,-,-,1,-,-,5.0
"Brittingham, Bill",,-,1,-,2,,,,,,-,,,-,,,,3.0
"Bushby, Percy",1,,,1,-,-,-,1,-,2,,-,-,-,-,-,-,5.0
"Buttsworth, Wally",-,-,-,-,,-,-,-,-,-,-,-,-,,,-,-,
"Cassin, Jack",1,1,-,-,,,,4,-,-,-,1,1,-,2,1,-,11.0
"Cockburn, Jack",,,,,,,,,,,,1,-,,-,-,-,1.0
"Coward, Ernie",-,-,-,-,-,1,-,,-,-,-,-,1,-,1,1,-,4.0
"Dearle, Laurie",-,-,1,-,,,,-,-,-,-,-,1,-,1,2,-,5.0
"Drummond, Bob",,,,,-,4,5,,1,1,-,,,,,,,11.0
"Edwards, Maurie",,,,,,-,,-,-,,,,,,-,,,
"Exelby, Murray",,-,2,-,2,-,-,1,-,1,1,,-,1,-,,,8.0
"Farrell, Jimmy",,,,4,4,-,1,,,,,,,,,,,9.0
"Gardiner, Les",-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,
"Green, Fred",,,-,-,-,,,,,,,,,,,,,
"Gregg, Bill",,,,,,,,-,,,,,,,,,,
"Harper, Bert",1,,,,,,,,,,,,,,1,,,2.0
"Hird, Allan",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Hutchison, Bill",2,1,1,-,-,1,2,1,-,-,-,-,-,-,-,1,-,9.0
"Lane, Gordon",6,3,,,3,2,3,4,5,-,-,-,2,1,-,-,1,30.0
"Langley, Gil",,,,,,,,,,,,,1,-,,-,-,1.0
"Leehane, Ted",2,4,,,,,,,,,,,,,,,,6.0
"Plummer, Elton",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Powell, Ray",-,-,3,,-,-,,3,-,,,2,,,,,,8.0
"Rawle, Keith",2,-,1,3,3,-,-,-,1,1,-,-,,1,-,4,1,17.0
"Reynolds, Dick",3,1,1,2,1,2,4,3,1,2,3,1,1,3,1,2,-,31.0
"Reynolds, Tom",,,1,2,1,,,,,,2,,,,3,2,7,18.0
"Ruddell, Cec",-,-,-,-,-,-,-,-,-,-,-,-,-,,,-,-,
"Silk, Sid",,,-,,,,-,,,,,,,-,,,,
"Smith, Noel",,,,,,-,-,,,-,-,-,-,-,,,,
"Torney, Hugh",-,-,-,2,-,-,-,-,-,-,3,6,1,-,-,-,2,14.0
Totals,18,11,11,14,16,11,15,20,9,9,9,11,9,6,10,13,11,203.0
Opponent,SM,HW,NM,RI,FO,CA,CW,SK,ME,FI,HW,FI,CA,FO,RI,RI,RI,
