Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,SF,GF,Tot
"Angus, Geoff",-,,1,5,2,1,4,5,1,4,1,1,2,-,5,4,,,,,,1,,3,40.0
"Beck, Ken",,,,,,,,,-,-,-,,,,-,-,,,,,,1,,-,1.0
"Bremner, Ian",-,-,2,-,3,1,-,1,2,2,4,-,1,3,1,,,,,,,,1,-,21.0
"Bussell, Norm",-,1,2,,1,2,-,-,1,1,1,1,1,2,2,2,1,,-,-,1,3,2,1,25.0
"Chilton, Peter",,,,,,,,,,,,,,,,,-,1,1,,,,,,2.0
"Chiron, Gene",1,4,-,2,4,-,1,,,,,,,,,,,,,,2,,,,14.0
"Crimmins, Peter",3,1,3,4,3,3,6,1,1,4,2,-,2,4,3,4,2,2,-,4,6,2,2,1,63.0
"Day, Robert",,4,3,4,-,1,3,1,-,2,3,7,1,-,-,4,4,3,5,2,1,3,2,-,53.0
"Douge, Brian",,-,,,,,,,-,,,,,,,,-,-,,-,1,1,,,2.0
"Grummisch, Charlie",2,3,2,-,1,-,-,2,,1,-,2,-,,,,,,,,,,,,13.0
"Hawken, Les",-,,2,3,5,3,1,8,6,,1,1,1,-,5,2,-,1,4,1,2,1,3,-,50.0
"Heath, Kevin",4,1,-,2,2,2,1,-,1,-,1,2,-,3,-,2,1,4,2,-,2,2,1,2,35.0
"Hudson, Peter",-,1,4,2,4,2,1,3,3,2,1,3,2,7,2,6,1,2,-,3,2,1,2,3,57.0
"Johnson, Ross",,,,1,,2,,,,,,,,,,,,,,,,,,,3.0
"Keddie, Bob",4,2,-,3,2,-,2,1,3,2,-,2,2,3,2,4,5,2,2,3,2,,-,1,47.0
"Knights, Peter",1,1,2,-,4,-,1,-,1,4,1,-,1,3,1,,1,3,4,4,2,2,-,,36.0
"Martello, Alan",3,3,4,3,3,1,4,4,5,1,4,1,2,2,1,4,4,2,5,2,-,5,-,1,64.0
"Matthews, Leigh",1,5,-,2,1,1,1,2,3,3,3,5,-,3,3,,2,2,4,3,5,1,-,5,55.0
"Meagher, Des",3,2,4,1,2,4,1,-,1,5,-,3,1,2,1,1,,,,1,,,5,5,42.0
"Moncrieff, Michael",,-,,,,,,,,,,-,,-,,4,5,3,1,2,-,,,,15.0
"Moore, Kelvin",2,1,2,2,,,3,1,2,2,-,1,2,-,2,-,-,-,-,,2,2,1,4,29.0
"Parkin, David",2,3,,4,2,2,4,1,-,2,3,-,3,3,1,3,,-,-,2,4,1,3,4,47.0
"Porter, Michael",1,,3,2,1,1,1,,1,-,,,,,,,5,4,-,3,-,-,2,-,24.0
"Rice, Leon",,,,,,,,1,,,,-,3,2,-,2,3,3,1,3,2,4,1,3,28.0
"Scott, Don",4,5,2,1,4,3,4,1,6,5,5,3,2,3,3,5,3,5,1,7,1,1,2,10,86.0
"Shinners, Brian",,,,,-,,,1,,,,,-,1,-,1,-,1,-,,,,1,,5.0
"Smith, Geoff",1,4,1,,,,,,,,2,,,,,2,,,,,-,1,,,11.0
"Stevenson, Bruce",,,,,-,,3,-,1,3,-,-,-,1,1,5,1,1,2,7,2,2,2,2,33.0
"Stubbs, Ron",1,3,1,-,,-,,,,1,,,,,,,,,,,,,,,6.0
"Tipping, Lindsay",,,,,,,,,,,,,,,,,,,,-,,,,,
"Wilson, Ray",,,,,,,,,,,,,,,,2,1,4,3,3,,1,-,-,14.0
Totals,33,44,38,41,44,29,41,33,38,44,32,32,26,42,33,57,39,43,35,50,37,35,30,45,921.0
Opponent,ES,FI,GE,SK,SM,FO,RI,NM,CA,CW,ME,ES,FI,GE,SK,SM,FO,RI,NM,CA,CW,ME,SK,SK,
