Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,QF,QF.1,SF,GF,Tot
"Alexander, Colin",-,1,-,,,,,,,,,,,,-,,,,,,,,,,,,1.0
"Banks, Denis",-,-,1,-,1,-,,,,-,1,-,1,-,2,1,2,-,,,,,,-,-,-,9.0
"Barwick, Doug",1,3,2,1,2,3,3,,1,,,1,-,2,-,-,1,2,1,3,1,1,3,-,3,2,36.0
"Brown, Gavin",1,-,1,,,,2,3,7,,,,3,1,3,3,,,5,1,-,5,3,4,5,2,49.0
"Christian, Michael",,,,-,-,-,-,-,,,1,,,1,3,1,-,-,-,1,,,,1,-,-,8.0
"Croall, Jason",,-,-,,,,,,,,,,,,,,,,,,,,,,,,
"Crosisca, Gavin",-,2,2,-,2,2,-,1,1,-,-,-,,,,1,1,3,-,-,1,1,-,2,1,2,22.0
"Daicos, Peter",1,7,3,6,2,,3,6,7,6,4,2,4,6,5,3,3,4,1,1,4,6,4,4,3,2,97.0
"Francis, Tony",-,,,,,,,,,2,-,1,1,-,,3,1,,1,2,-,1,-,2,1,-,15.0
"Gayfer, Michael",,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Hrysoulakis, Athas",,,,,,,,,,,,-,,,-,,,,,,,,,,,,
"Keays, Terry",,,,-,-,1,,,,,,,,,,,,3,-,1,,,,,,,5.0
"Kelly, Craig",-,-,-,,,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1.0
"Kerrison, Shane",-,,,,,1,-,-,-,-,-,-,-,,,,-,-,-,-,,,,,,-,1.0
"Manson, James",-,4,3,1,2,-,1,3,3,-,3,2,-,-,2,2,-,-,2,2,-,-,1,2,-,-,33.0
"McGuane, Mick",,,,,-,1,-,1,-,2,1,1,-,-,1,1,1,1,1,-,-,-,-,1,-,1,13.0
"McKeown, Ron",,,,-,-,-,-,1,-,-,-,3,-,-,-,-,1,3,-,,-,-,-,-,,,8.0
"Millane, Darren",-,-,,,,1,-,-,1,1,-,-,1,3,-,-,1,-,-,-,-,-,-,1,-,-,9.0
"Monkhorst, Damian",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,1,3.0
"Morwood, Shane",-,-,-,-,-,-,-,-,-,1,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,3.0
"Richardson, Alan",,,,1,1,-,,-,2,-,-,,1,-,-,1,-,-,,,-,1,-,-,-,,7.0
"Russell, Scott",-,1,1,-,-,-,-,-,3,1,-,-,1,-,1,2,-,-,-,-,1,-,-,1,2,2,16.0
"Saunders, Darren",,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,
"Shaw, Tony",-,-,-,-,1,-,1,-,-,-,-,2,-,1,-,1,-,-,-,1,-,-,-,-,-,-,7.0
"Shephard, Heath",,,2,-,,,,,,,,,,,,,,,,,,,,,,,2.0
"Starcevich, Craig",1,,,,1,,1,-,-,2,3,2,1,,,,,,,-,-,4,-,,2,1,18.0
"Tarpey, Andrew",,,-,1,,,,,,,,,,,,,,,,,,,,,,,1.0
"Taylor, Brian",2,-,,,,,-,,,,,,,,,,,,,,4,1,2,,,,9.0
"Tranter, Brendan",,,,,,,,-,,,,,,,,,,,,,,,,,,,
"Tuddenham, Paul",2,-,4,4,-,-,,2,1,1,,,,-,,,,,,,,,,,,,14.0
"Turner, Jamie",-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1,-,-,-,-,3,-,-,-,-,-,5.0
"Wright, Graham",-,1,1,-,-,1,2,-,-,-,-,-,1,-,-,1,1,-,-,-,1,3,-,-,-,-,12.0
Totals,8,19,20,14,12,10,13,17,26,16,15,14,14,15,17,21,12,16,11,12,17,23,13,19,17,13,404.0
Opponent,WC,CA,SY,FO,SK,ES,HW,FI,NM,ME,BB,GE,RI,WC,CA,SY,FO,SK,ES,HW,FI,NM,WC,WC,ES,ES,
